"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00352353070541485,0.00556278962271233,0.00415046495205861,0.00432394076808713,0.0086538813135282,0.0188606784264106,0.0311922026197433,0.0378490544443204,0.0390422583784781,0.0368240958141583,0.0284834284978042,0.0158061939339145,0.00652254649857541,0.00250998958165193,0.00111251216952773,0.000602021890788258,0.000448003464991333
"[5,10)",0.00610090893977445,0.014047815305202,0.010696917508378,0.00872988275381057,0.0181994228616191,0.0344338267887691,0.0466221050290118,0.0495560080293641,0.0494813456740401,0.0485915384574622,0.0416793308167988,0.027389116012229,0.0138720943854678,0.00637198092482685,0.00315429303910767,0.00185949936481969,0.00142325333118688
"[10,15)",0.00500760092469708,0.0117676488284927,0.0352300844187277,0.0302239953013375,0.0410086331880843,0.0563179390381042,0.0622836214243059,0.060299480731806,0.0593265996495762,0.0596390765882666,0.0532819265725203,0.037754127485435,0.0219781291494144,0.0121291275992935,0.00696812135002164,0.00441753705635962,0.00338332596838911
"[15,20)",0.00562851224640048,0.0103614463624275,0.0326086479639686,0.139906402338396,0.177249675030492,0.175674404599021,0.168141451457854,0.154503829732245,0.149965998181472,0.150503312460123,0.133659231483543,0.0935207915267699,0.0552709401133231,0.032815695057973,0.0214540001733873,0.0149696013560699,0.0113084651809442
"[20,25)",0.0113071365072321,0.0216819036150327,0.0444103335629542,0.177915288429376,0.501553785875173,0.503701062778709,0.440080152111083,0.389166203078675,0.3655746558454,0.355605181385056,0.306842766443842,0.208210496292564,0.120125588993249,0.0717337535560463,0.0505607647755074,0.0395333493194653,0.0322152890491537
"[25,30)",0.022830430825542,0.0380049512681765,0.0565028806645688,0.16336213761933,0.466646446562179,0.753776047888304,0.69185823738151,0.590292691512604,0.531297661527002,0.495308221870857,0.413838844560089,0.274806030223564,0.155928882801374,0.0918750729244354,0.0660208524929537,0.0559393675110268,0.0548097815511549
"[30,35)",0.0333580194897274,0.0454615444838359,0.0552071224392349,0.138138624615093,0.360200487430219,0.611243894749036,0.73541127262049,0.645703284159421,0.554971148875353,0.496596745644451,0.403789791617166,0.264739140555186,0.149292989432859,0.0868875725637707,0.0616471205973935,0.0536061351686739,0.0671897789409355
"[35,40)",0.0359411673378045,0.0429073360545864,0.0474589096625654,0.112710016620824,0.282833313002023,0.463071181111201,0.573344861697402,0.640150890460718,0.565495730891964,0.491911903868612,0.393154707022253,0.254934955121848,0.142214864674775,0.0813905385479459,0.0565476434359091,0.0490727752758769,0.0802453726938834
"[40,45)",0.0342911542049494,0.0396265959746773,0.0431880573158192,0.101187320411057,0.245743223728466,0.385503459582354,0.455788500100968,0.523045365645665,0.571503075515618,0.514665066356991,0.406739582793059,0.259049714168075,0.140665865625791,0.0782225904933524,0.0534948054027178,0.0470262583638615,0.100937396309193
"[45,50)",0.0304205624600521,0.0366010791332557,0.0408350506121084,0.0955140646381676,0.224833762039823,0.338028943719452,0.383605479540366,0.427942417593076,0.484075013937801,0.523048133620536,0.427826716696832,0.264347252631642,0.137910965898521,0.0742477987501824,0.0507267605203141,0.0465262048566353,0.121225163408025
"[50,55)",0.0215095664624698,0.028698435657362,0.033349271648128,0.0775397638668217,0.177342808798364,0.258174800426082,0.285128424305336,0.312655252505081,0.349710490634681,0.391085890252873,0.393545748342962,0.249632551585195,0.125432980277208,0.0663621786881913,0.0460733541933643,0.0440817551195687,0.109889108988371
"[55,60)",0.0102901590520372,0.0162581411557823,0.0203716524960816,0.0467723376286439,0.10374225887722,0.147796531890952,0.161160542715151,0.174778104294552,0.192013041437829,0.208321663443604,0.21520710410005,0.171156769735547,0.0900872158659039,0.0479976522069802,0.0337150317890069,0.0316443804313525,0.0561028736706128
"[60,65)",0.00346678759615905,0.00672279979555468,0.00968206092673992,0.0225679973725397,0.0488656724586641,0.0684667669910136,0.0741985212149708,0.0796008853927125,0.0851239173337581,0.0887306581005031,0.0882840804227061,0.0735492814429545,0.0522741842596134,0.0309126060665759,0.0207176276646137,0.0167786843665904,0.0167609453750801
"[65,70)",0.00105767788758828,0.0024482404322094,0.00423621614261336,0.0106230502075694,0.023134672812265,0.0319832362629323,0.0342361527542735,0.0361175501053654,0.0375289599061584,0.037873020308333,0.0370307704483634,0.0310675294810022,0.0245079550608703,0.0244631040498506,0.0166537665110359,0.00989657017243252,0.00506519754297416
"[70,75)",0.000367634499845773,0.000950411363275534,0.00190850909948364,0.00544635430364879,0.0127874345373415,0.0180233626379992,0.0190489074325065,0.0196783579602916,0.0201268555514828,0.0202914681401775,0.0201614575878217,0.0171135568476381,0.0128807592542413,0.0130599782950421,0.0124576754578407,0.00533498451762517,0.00154046210437785
"[75,80)",0.000153908042623629,0.000433454143439861,0.000936044019170132,0.00293998684660443,0.00773518919874463,0.0118143487461526,0.0128147256799806,0.013211511502248,0.0136880721295575,0.0143983097513389,0.0149234252814174,0.0124265578839992,0.00807043391592159,0.00600415968250364,0.00412734436014603,0.000703786774841757,9.90263741580096e-05
"[80,Inf)",0.00015962587500871,0.000462383384791806,0.000999154848123235,0.00309536383278596,0.0087850097869005,0.0161332993655212,0.0223857121689898,0.030109585173513,0.0409474483522554,0.0522852932752786,0.0518486169620448,0.0307052221338972,0.0112359650187102,0.00428288880844095,0.00166096869546209,0.000138014197373184,1.62760593591408e-07
