"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.31236256546145,0.690510253776038,0.251126289049683,0.149437636241934,0.180394682670246,0.380632025898013,0.675464846528657,0.649227226005845,0.421341364047046,0.307833259009415,0.283227805477961,0.259846827692277,0.225288847307753,0.198309091474723,0.15961941058932,0.101268869934462,0.0527735278285686
"[5,10)",0.648649674021978,2.84258765470466,1.10888916973934,0.289217868434356,0.181175183370504,0.229917212286838,0.39502118272423,0.493319645059074,0.373623004791864,0.241852623173721,0.204268334235488,0.21815472731885,0.233395589630842,0.238763631280602,0.217843080244429,0.158761750386217,0.0973319615436843
"[10,15)",0.222894645308785,1.04774482887581,4.20133786005375,1.22180778530013,0.345629799325216,0.23736282096631,0.269888893535305,0.348642390024496,0.352651603857517,0.252635389790155,0.160802862572494,0.126672980725646,0.127931608022593,0.134435498706138,0.123572653158253,0.0927147088738691,0.0654435317502808
"[15,20)",0.128534247127568,0.264815814758188,1.1840070829748,3.90346457061468,1.24055889688666,0.479412855938024,0.363028563394044,0.354607421843762,0.389909486475059,0.379071308683813,0.26663576963324,0.154098881968896,0.111053224951872,0.110253889193599,0.109750056077863,0.0894653114742102,0.0731511063182333
"[20,25)",0.156350394727774,0.167160586926038,0.337504037647234,1.25006837699592,2.71495207787061,1.03873856501988,0.565227286307172,0.435501597197529,0.401034589856456,0.446783142817511,0.4438604760621,0.300635470350065,0.17242832564762,0.131986849295553,0.13224577212028,0.118795529660677,0.10133242371385
"[25,30)",0.340137140043348,0.218715792270531,0.238975823962066,0.498080496768235,1.07097599155791,1.60810475902746,0.815339315620903,0.522699552823786,0.4149444563098,0.411971925031275,0.490096025912833,0.481836262148249,0.327430648130723,0.197685487224756,0.149145300239724,0.126001271235808,0.105905717784583
"[30,35)",0.611600749078399,0.380754960197282,0.275323203028771,0.38216172204093,0.590490787185045,0.8261424002238,1.13171221457894,0.682465302932475,0.476083530855387,0.414773593465242,0.437001171522906,0.504045357760769,0.482929172436,0.330726357490325,0.189473212734679,0.116276608702631,0.0893694502965616
"[35,40)",0.564326045678232,0.456479952477174,0.341433480059796,0.358362306575675,0.436765044246345,0.508436558210997,0.655161985529167,0.936861871875637,0.601906763997659,0.450276897948393,0.402951696144516,0.40122639624085,0.446939752884281,0.431357483774067,0.28201313458203,0.133659527401295,0.0728950277341204
"[40,45)",0.319258239426268,0.301371065933203,0.301055402056023,0.343489092407249,0.350602170467766,0.351843275369553,0.398406044504949,0.524691308742716,0.707279677161251,0.458720670852446,0.348068540241721,0.297801975955749,0.296110349069653,0.343913267646168,0.318440539408098,0.170929321314503,0.0645432113728096
"[45,50)",0.181115410699821,0.151478360121125,0.167465980287392,0.259299638171492,0.303292306357895,0.271243135710767,0.269516716619412,0.304779785756153,0.356188716922588,0.456822362896766,0.307954673238743,0.233435252934027,0.205542154386807,0.213181393944791,0.231134604426109,0.172132756620456,0.0716501491681119
"[50,55)",0.118224653902198,0.0907680779490254,0.0756237977348797,0.129399234046676,0.213768341915392,0.228931005431115,0.201460314849488,0.193504817319881,0.191747150340393,0.218483728250037,0.331052466503793,0.237194407286605,0.18261747825213,0.161786626730902,0.15453881787922,0.139702594355685,0.093970495095465
"[55,60)",0.075871986331796,0.0678091953925946,0.0416716376944543,0.0523124010708362,0.101281238710352,0.157439893305162,0.162543047226829,0.134778358000027,0.114758164278483,0.115848552843801,0.165919074169918,0.280205176522456,0.196192026690428,0.153094328643713,0.134519730403529,0.116857252717768,0.106991121043256
"[60,65)",0.048016479827734,0.0529545397851475,0.030719986990528,0.0275183842905943,0.0424017700190656,0.0780946393368534,0.113676006692371,0.109588816978975,0.0832906389757258,0.0744580510805401,0.0932439799739314,0.143208218992044,0.212088596552348,0.156130832885945,0.131150025466552,0.102069909732587,0.07937596903082
"[65,70)",0.0320916885745889,0.0411318314389026,0.0245107415382698,0.020743641281891,0.0246436683803525,0.0357994209734333,0.0591089840723441,0.0803070939451826,0.0734498405401256,0.05863533044314,0.0627220725126571,0.084848664674302,0.118546297825667,0.184454908884395,0.139694279411951,0.084329889415013,0.0497466803207006
"[70,75)",0.0199699526960448,0.0290131598236754,0.0174183193321195,0.0159638344546075,0.0190896462254071,0.0208810424759177,0.026180256403116,0.0405907707811527,0.0525789206732565,0.049149198442382,0.0463187419591053,0.0576385818336667,0.0769855270869305,0.107999068814787,0.167564013471816,0.0831233355654662,0.0442166943299749
"[75,80)",0.00898600284880937,0.0149967238552859,0.00926897628213531,0.00922967476962515,0.0121622922948681,0.0125117133456858,0.0113950881237215,0.0136444846970174,0.0200170069069706,0.0259605714039188,0.0296977054556038,0.0355125800183847,0.0424949863333044,0.0462404630989061,0.058955213593473,0.0701844643937654,0.0342834925425218
"[80,Inf)",0.00403367010989626,0.00791953447344987,0.00563564362285259,0.00650049277434356,0.00893629362857224,0.0090584716330692,0.00754411117205194,0.00640986354959288,0.0065106867795128,0.0093081095063331,0.0172069382793157,0.0280070878096493,0.0284657522439863,0.0234962422162555,0.0270133961697107,0.0295310384975618,0.00838287179621385
