"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.530715979674719,0.439634239595162,0.219354655041251,0.147420060323504,0.210129605875381,0.400285763459846,0.5458500386228,0.416626567529134,0.22567672834873,0.149515614834372,0.153668806147974,0.178640067744519,0.167213024223351,0.12177588640841,0.0837949450161,0.0634784260101066,0.0415140976614874
"[5,10)",0.456770897296195,0.738823201300445,0.486607381471632,0.176694187594508,0.11506364405765,0.19997076682307,0.441975485150326,0.587689986007889,0.397817922828241,0.198396009298571,0.131707393091007,0.135561498795792,0.152707513788881,0.141129580825819,0.106916448300765,0.0786728997117327,0.0538440475145996
"[10,15)",0.235266094427933,0.502324387793989,0.822766177192846,0.425484759726716,0.144653064101951,0.108096578872529,0.214092712465977,0.455390658365332,0.539637535695263,0.338956930680132,0.169593873618407,0.112745930710292,0.110543131899667,0.119995554862567,0.112208829664304,0.0879356447911767,0.0569851398482156
"[15,20)",0.164041905993575,0.189240274322213,0.441438028201441,0.709743431008524,0.357126354184638,0.135161016349406,0.115177176112978,0.219670015333052,0.418052195397594,0.464176933456835,0.290800544092234,0.143486956112,0.0883599657721781,0.0804591636227422,0.0867669397451951,0.0831013107696419,0.0568624485175088
"[20,25)",0.242327273346717,0.127716279030412,0.15553573988681,0.370116739642194,0.583269020339845,0.315651633102812,0.136830882225766,0.114501047321418,0.194818499641015,0.347435939875078,0.382310407235887,0.234746197681214,0.10819710129448,0.0621753810301516,0.0576420005573242,0.0660076106771851,0.0589565391309041
"[25,30)",0.473531296136887,0.227686949336243,0.119227930149092,0.143691728698651,0.323796040553593,0.510101364516703,0.305261421016841,0.131982515006917,0.0986590536327745,0.158293998443506,0.283861002520902,0.310323466490464,0.183769855100127,0.0819137021297855,0.0495121934414725,0.0504767030104065,0.0591576642187285
"[30,35)",0.653751463636034,0.509484051035254,0.239072005988962,0.123967411522182,0.142104688247346,0.30905281765878,0.489967956839679,0.291197293347386,0.114735038056121,0.0819018582889675,0.1353771896795,0.245585873265833,0.265213834858342,0.156451473477034,0.073935854668281,0.0489298921047857,0.0528213212722305
"[35,40)",0.487248585769695,0.661523079257189,0.496564029213377,0.230874615309765,0.116117595992686,0.130479259553535,0.284348951836982,0.449705146159701,0.253260099618778,0.0974549569991968,0.0735707290461595,0.124683784283702,0.221796797166676,0.236451031990617,0.14405768033286,0.0717712074294599,0.0462742782956835
"[40,45)",0.253600669460562,0.430269980863105,0.565396715308792,0.422178298113181,0.189836082509396,0.093717786124755,0.10765156645381,0.243347430701206,0.398628086600911,0.228568730053804,0.0935725236903617,0.0721092078047797,0.115697676098277,0.196379529080951,0.211233439145801,0.13238554577682,0.0564306102955382
"[45,50)",0.165782047422984,0.211727350693592,0.350415234006143,0.462526138470422,0.334049356388533,0.148366842494029,0.0758237701233548,0.0923955926409797,0.225529909007716,0.399318787510419,0.242600876878264,0.0993674770841045,0.069799948056234,0.10299943884251,0.177279272913067,0.199606878990191,0.103818173786782
"[50,55)",0.175182545552512,0.144513477747879,0.180261419865516,0.297921679857355,0.377925491240703,0.273547219546466,0.128857968701388,0.0717144296139916,0.0949270183063172,0.249428763577543,0.459988547602223,0.273821764183079,0.102486399945028,0.0660798664343468,0.101137188738371,0.18699172669064,0.184487278694514
"[55,60)",0.202669708562537,0.148026480490157,0.119260975271101,0.146293209800185,0.230936981485553,0.297608988105816,0.232634446032326,0.120952908676242,0.0728009546227326,0.101672448793018,0.272503959488911,0.493219167609587,0.27881327638263,0.0998987357146871,0.0681578381809353,0.112471225518825,0.205103840363981
"[60,65)",0.170533933742198,0.149897433948594,0.105113860246448,0.0809837765185724,0.095684432302571,0.158429641135625,0.22583827866179,0.193415979924336,0.105003004482776,0.0642014534470011,0.0916857476785529,0.250636426694377,0.463349190467509,0.261720148887169,0.097261124393758,0.0697807454195777,0.133220721887417
"[65,70)",0.0990312888165224,0.110464381829732,0.0909837435726066,0.0588015024861932,0.0438444409955976,0.0563104688284388,0.106231046675738,0.164417756858425,0.142116246098626,0.0755431416999412,0.0471384363900978,0.0716079358988939,0.208692855654665,0.399912187212262,0.225293261913107,0.0837377798435536,0.0669141121653366
"[70,75)",0.0536794864882499,0.0659216605996712,0.0670201008870128,0.0499512764244412,0.032019498666588,0.026811687926324,0.039546340462787,0.0789084155546274,0.120417493686097,0.102423012734409,0.0568324389916376,0.0384854324662905,0.06109267052361,0.177471084688445,0.330545178250564,0.180520417158875,0.0555558668402248
"[75,80)",0.0329237385256449,0.0392736472715436,0.0425241321411213,0.0387340265823262,0.0296867022882762,0.022130714305824,0.0211893641024103,0.0318294856244766,0.0611026359634746,0.0933700412501076,0.0850746695372995,0.0514179139928282,0.035487703033061,0.0534064000894869,0.146156720790579,0.255657181680238,0.100180939672008
"[80,Inf)",0.0223261745608842,0.0278708038935453,0.0285737896998817,0.0274818552546941,0.0274938554648859,0.0268937391615161,0.0237185778240077,0.021279172779177,0.0270065956472798,0.0503548319207904,0.0870322122083381,0.0972260265533281,0.0702505595053356,0.0442512254119087,0.0466399535659751,0.103877339974108,0.152447521076131
