"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.955324716654888,0.395653447907659,0.0698712980897296,0.0348374556261502,0.0451826032803875,0.0745075711987716,0.0959574085311379,0.0968479830721305,0.0934000543129125,0.0870888964316949,0.068766057631275,0.0419728557355499,0.0186521245475939,0.0056512178475904,0.001303459011181,0.000396493313485278,0.00234938487114302
"[5,10)",0.395102888556227,4.72724607232702,0.437789203054252,0.045660163762721,0.0529698393437563,0.111083676120719,0.181268390537289,0.18442398402182,0.169626023373827,0.185106725363127,0.180987447320288,0.111612472594713,0.04628335497854,0.0184676511023768,0.00819885594588438,0.00401635414788672,0.00483808451503008
"[10,15)",0.0699197176397712,0.438848572634337,7.2074934849873,0.519185691960776,0.0838819371870695,0.0901132393595608,0.156133625280748,0.202174176695574,0.193691377727132,0.202438947439726,0.217308458656436,0.14193126254276,0.0469111350604178,0.0134803331887176,0.00661923299951329,0.00509414819609455,0.00315365095087717
"[15,20)",0.0358500403332478,0.0470567137470871,0.531722921686523,5.95474777926597,0.404699286107186,0.0956366469596979,0.0868236667691664,0.125019372687403,0.153457298155149,0.157204933464373,0.14442544420493,0.0904815085958,0.0280272464111197,0.00578080480108515,0.00188125466445725,0.00162626221197783,0.00149549701722981
"[20,25)",0.0474461555725802,0.0557056625431191,0.0880232452476666,0.412327460584642,1.93906605662029,0.259044789726573,0.0787281210707302,0.0624389928106817,0.0858095225188788,0.108184380517735,0.0918858364684894,0.0479061657927619,0.0143883283683796,0.00301456447611212,0.000742629605416721,0.000471062718515133,0.000636483611146347
"[25,30)",0.0755911328116879,0.112865601509976,0.0913604426468336,0.094286945892343,0.250408705376682,0.552178499547169,0.156093658551162,0.0472896986884721,0.0374720888914563,0.0556742618134121,0.0632663031238656,0.0356861061176973,0.0105596052022988,0.00255162806857476,0.000711846541799012,0.000336362458293164,0.000277616059058981
"[30,35)",0.0914518197175297,0.173012240080672,0.148699473413099,0.0804097559391014,0.0714519275114715,0.14667602214165,0.272373164063253,0.0894428700357239,0.0301734194676567,0.0302059587628189,0.0479127273734089,0.0436567001292006,0.0164959593774013,0.00405614775810564,0.00113680944715663,0.000454304946953786,0.00015501059798477
"[35,40)",0.0902517408523051,0.172116821112964,0.188273777471345,0.11321373084715,0.0554103785851916,0.0434371284035084,0.0874633280335441,0.147703321845949,0.0600172853234136,0.0317805790683286,0.039943745288131,0.0517906749026527,0.0297809772398157,0.00794950298811421,0.00176325943135121,0.000568173431028402,0.000140410019525008
"[40,45)",0.0907204361702628,0.165002829365968,0.188004149615038,0.144844606503826,0.0793713391259686,0.035875293036661,0.0307516689197577,0.0625510910775335,0.096758959719809,0.0614363427382601,0.0428388944048673,0.0398200475889485,0.0272168654141307,0.00962850018740069,0.00222946743317559,0.000667802625024963,0.000207363266580649
"[45,50)",0.0882313025938908,0.187811858922486,0.204952452803493,0.15476860020601,0.104374567201124,0.0555960483284098,0.0321098804000027,0.0345506882324415,0.0640790427289279,0.0955609164286446,0.0664603793473108,0.0304683006887969,0.0138156897521102,0.00647130037042271,0.00270036121701783,0.00126494216621879,0.000559194918331434
"[50,55)",0.0694970870063507,0.183181596126784,0.219466507180431,0.141838120042177,0.0884323709851512,0.0630223342948062,0.050807699006038,0.0433187834064001,0.0445730884934204,0.0662972278256225,0.0827265366247093,0.0401953914074014,0.0109156700916768,0.004598786939107,0.00349551615255181,0.00315352610952487,0.00173926408055727
"[55,60)",0.0396556996072954,0.105606521155506,0.134002934668447,0.0830718171287121,0.0431021299684871,0.0332327142134813,0.0432786955505298,0.0525077804874929,0.0387329764181885,0.0284135453428379,0.0375774156602156,0.0465780714196473,0.020658832694112,0.0063158679340634,0.00367259028552276,0.0039301080674253,0.00310532908094028
"[60,65)",0.0156651955304362,0.0389290006845536,0.0393715579659971,0.0228741373750707,0.0115076879143966,0.00874147555294725,0.0145368815234033,0.026839934456521,0.0235335593995664,0.0114530242888225,0.00907121457671836,0.0183646850798589,0.0321145102178056,0.0141398714317027,0.00348161238583359,0.00204143725532707,0.00308747743189874
"[65,70)",0.00403086088438062,0.0131919297944467,0.00960849864521088,0.00400682934217459,0.00204762564040625,0.00179391839923088,0.00303567788618818,0.00608458175026113,0.00707060218331079,0.00455603881528867,0.0032456865468454,0.00476816969708613,0.0120087791719145,0.0182486390641547,0.00514723290247211,0.00143397693477394,0.00222760844366402
"[70,75)",0.000730062314208504,0.00459892913442341,0.00370483922933185,0.00102392211143887,0.00039610017298332,0.000392987271516564,0.000668092175008293,0.00105977521975238,0.00128559946770728,0.00149287866080955,0.00193723091374373,0.00217719804434804,0.00232185693963003,0.00404188359391973,0.00492149847712126,0.00185583167371121,0.000756610533664874
"[75,80)",0.000164239718431497,0.00166615436084802,0.00210869148894031,0.000654620610560271,0.000185819496784694,0.000137334419042733,0.00019745855256474,0.000252556318597404,0.000284795055621819,0.000517193538331041,0.0012925468115538,0.00172309697125313,0.00100686407854119,0.000832777013805566,0.0013725237947508,0.000520064946081292,5.27770630691022e-05
"[80,Inf)",0.00131701868458048,0.00271613985950022,0.00176665008268893,0.000814666953326944,0.000339777968554775,0.000153395248081504,9.11770043851458e-05,8.4463847641661e-05,0.000119677247853602,0.000309414798524414,0.000964741191661287,0.00184250341499341,0.0020607914652015,0.00175073681109949,0.000757264503575617,7.14234360418939e-05,4.59353136614031e-08
