"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",5.27881764003771,3.24092887637932,1.25865437439274,0.785068641999557,1.05390029647168,2.04261009930582,3.0520575762649,2.65500753107078,1.70556185762827,1.26913644517294,1.17224864753287,1.10603343242853,0.931217179929862,0.709410809797152,0.521250473464335,0.361364224259672,0.225630577476356
"[5,10)",2.75002359554595,11.0790453675131,3.51660977745503,0.979830870792075,0.699616234034999,1.13257909117064,2.1373835964418,2.65020886214457,1.98185615525736,1.3368759349636,1.10069590345869,0.954933753200969,0.851465900068566,0.756265231546689,0.616294454198287,0.448458566842164,0.305124313857911
"[10,15)",0.899481695676559,2.97594551326159,14.8860734417515,3.25494944660789,0.966357879245296,0.77980135614666,1.16156937683153,1.82252239103138,1.97346815544563,1.46076829886015,1.02593436507072,0.710563991549801,0.51089401974346,0.461912659008034,0.412295304094735,0.317564050381947,0.223623242381243
"[15,20)",0.471444858011087,0.6946605062479,2.7459018592016,12.2072087238337,2.78339695052025,1.11523628792413,0.926418927202843,1.12593448931218,1.51886533271223,1.58292233314561,1.13832813592352,0.649019285803467,0.375165528435399,0.303502341308231,0.294371511082433,0.257823163292053,0.199511137794869
"[20,25)",0.53546755471116,0.419654350981474,0.687045953262998,2.3587762715796,6.08752780844433,2.23448059197243,1.24995262183741,1.0248845438937,1.10139222803139,1.36275953943104,1.33707375821773,0.854704347224167,0.440538700871557,0.282755054186631,0.254687791794786,0.241599401744768,0.213863898474062
"[25,30)",0.890689941495557,0.583052726160796,0.475816193923978,0.809812903666092,1.91821285569843,3.15367824862911,1.78442868063218,1.14551012850286,0.956845281757929,1.00785026886753,1.14623523525132,1.01316772670616,0.615103261264318,0.334908591342902,0.236346987661793,0.208772685764838,0.201726376431391
"[30,35)",1.1433527887965,0.945296876272454,0.60890122349835,0.577925263780475,0.921610577766341,1.53310381820338,2.14889522899092,1.38733726462106,0.942840939676912,0.819698338931271,0.82418330090858,0.84975809917652,0.725125135994667,0.452993116279274,0.256018868444526,0.173631950698258,0.162921518383211
"[35,40)",0.835831634834366,0.984988968444536,0.802860477446218,0.590259379597361,0.63503016641254,0.827010279308537,1.16590125119499,1.57903228576378,1.07759583909225,0.777697126924759,0.657491558349846,0.596305952052836,0.591316843927526,0.524331844962727,0.336739457440216,0.181224891829089,0.133618666140145
"[40,45)",0.438328531707489,0.601315796669774,0.709702848009208,0.650022309913234,0.55710959568929,0.563940015947381,0.646819589511459,0.879719373994389,1.14872850339459,0.824213681455393,0.581476823995011,0.431579895952235,0.367652345739996,0.392421402413062,0.366215066115165,0.224777149615269,0.129664381279591
"[45,50)",0.262540427054229,0.326495496190715,0.422847109879893,0.54528582174236,0.554847288640932,0.478126499588589,0.452641525154671,0.511028732597915,0.66343762062545,0.859401607182688,0.61108054500751,0.37062820561729,0.252597969140211,0.232708690004156,0.267032679291518,0.242620978573772,0.157489570226557
"[50,55)",0.195464909322547,0.21667790591729,0.239377208941184,0.316077265743047,0.43880421742817,0.438310367748959,0.366847310716032,0.348246047591645,0.377267336613462,0.49256485059203,0.668731424615044,0.429380223527377,0.240145432575429,0.176426323207854,0.174553350787696,0.199138964715944,0.194939442635938
"[55,60)",0.147676337200264,0.150526900482457,0.132757789452921,0.144303540570613,0.224607852691428,0.310229384856717,0.302865940685547,0.252905779723143,0.224218579952669,0.239217668182859,0.343825064310277,0.490220545213269,0.3007780885204,0.180059301643294,0.146897098779595,0.146315446048244,0.179667590444555
"[60,65)",0.0970575925598411,0.104771705249354,0.0745115355971584,0.0651145718842641,0.0903709749403643,0.14702307159781,0.201745548982505,0.195769818533595,0.149102048693419,0.127268380600586,0.150107988101207,0.234791936078001,0.34985550089793,0.227577642164832,0.150044419866459,0.115199289662642,0.111596641120233
"[65,70)",0.0547003058602512,0.0688437161165516,0.0498386163863267,0.0389700287293949,0.0429110058973821,0.0592211952493314,0.0932386597519063,0.128423688973283,0.117736839297475,0.0867394537152771,0.0815842403775072,0.103983601906544,0.168361836378788,0.275984237865383,0.186135013894653,0.0981866100373815,0.0607070092546746
"[70,75)",0.0263799340732568,0.0368225381365877,0.0291977772716858,0.0248084566842979,0.0253689058718726,0.0274306590301307,0.0345869036396716,0.0541337613595172,0.0721159261032034,0.0653286652485887,0.0529793189914424,0.0556798176899413,0.072856542427224,0.122169706680618,0.198378498694473,0.103107076207289,0.0442399781492961
"[75,80)",0.00964887810703365,0.0141368356125183,0.0118652572285138,0.0114638455325513,0.0126967885180204,0.0127839266726265,0.0123758140945376,0.0153707998602725,0.023353477524506,0.0313164225331594,0.0318888493372986,0.0292603275833832,0.0295122914888585,0.0340010225888945,0.0543992566069802,0.0762426667421187,0.0352799557708553
"[80,Inf)",0.00288898903969261,0.00461235761590876,0.00400662815942603,0.00425394442699836,0.00538954105068522,0.00592337944189592,0.00556850809102931,0.00543453042177341,0.00646005723439096,0.00974791796156716,0.0149692002186169,0.0172295932694231,0.0137094656385698,0.0100807959523058,0.01119271897456,0.0169178163536251,0.0160445802495662
