"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.156103352617,0.960416628864888,0.480344562791005,0.324402093926025,0.46281712298727,0.877140922573234,1.19470822986366,0.912657510493726,0.494797758987033,0.328380681345062,0.337036333901429,0.392202403304422,0.366945498917393,0.266153847366926,0.183712667915606,0.13944074373032,0.0921411059327766
"[5,10)",0.860940444935941,1.39199767164953,0.918113596630967,0.33355570434953,0.21800056165741,0.377709633809373,0.833447215868009,1.11159096253475,0.753130971559916,0.376474108953931,0.249698841991096,0.256576901041183,0.289469269463287,0.266847932444706,0.202436282183665,0.149330523076874,0.102959319878085
"[10,15)",0.394135522366241,0.840379943212999,1.38042966212922,0.713413097871638,0.242858913374588,0.181054306451461,0.357054054833721,0.762590870544638,0.906568111546356,0.571484464240805,0.286525829064732,0.189654637340171,0.185805254226202,0.201779697676857,0.188666002725219,0.148318405528837,0.0968327283142335
"[15,20)",0.252324888069084,0.289421888615943,0.676277314895737,1.08834772547179,0.54841909918567,0.20775087158589,0.175928504589997,0.335332506399469,0.640003010683003,0.713175226265059,0.449536625071057,0.221580373643902,0.135670776410372,0.123614992604636,0.1332190948019,0.127848728359014,0.0883680519860092
"[20,25)",0.341064694476565,0.179213829546689,0.218116587996382,0.519593222746919,0.818626491161323,0.443884227252414,0.192274591422541,0.160328560576811,0.272788710432221,0.486354807583308,0.537697629688151,0.331508603769283,0.151814157557789,0.0870933090975048,0.0808744716233703,0.0924581435672027,0.0833629173370857
"[25,30)",0.58664558201793,0.28180653084545,0.147578329799366,0.178637587562007,0.402855036201951,0.632988528651805,0.378941344335736,0.163652399867561,0.122532375873039,0.196310452956623,0.351583308176093,0.385961175211319,0.227466789188275,0.100819664863514,0.0613822001706999,0.062448652429106,0.0734006825900157
"[30,35)",0.685010637712877,0.533089490887865,0.249503550761131,0.12968663781786,0.149599454677796,0.324863576177886,0.514364960320674,0.30520421310253,0.120319877599808,0.0860823233744612,0.141754831403222,0.257719653891636,0.278193559484061,0.162611374567878,0.0773646135603406,0.05134155713613,0.0552895039672161
"[35,40)",0.436338540895241,0.592853394260519,0.44433921702316,0.206117543306997,0.104015794169701,0.116985406967134,0.254490049934973,0.403318043742127,0.226948419457226,0.0875185831202964,0.0658081866893779,0.111301368840171,0.199170074645483,0.211349318336876,0.128947814605041,0.064630493846272,0.0415715834967254
"[40,45)",0.198526713752706,0.337091885281054,0.443301263508484,0.330138980815666,0.148521824386328,0.0735081771131819,0.0841963278866033,0.190459504125112,0.312116987097876,0.179368782801257,0.0735368150258841,0.056329826182167,0.0907868154729599,0.154432710152855,0.165422190136523,0.104288374161059,0.0447921991019943
"[45,50)",0.112066904546899,0.143324835235174,0.237690325810469,0.312910102410122,0.225229691852364,0.100169791690814,0.0512363632886618,0.0624718420396483,0.152565173734328,0.269097073452773,0.163996473736344,0.0670906583998532,0.0471470713342738,0.0701631808166895,0.119869099798145,0.134791006583662,0.0711950955580519
"[50,55)",0.0962183884326843,0.0795214783489474,0.0996901925929931,0.164994701079281,0.208301372395006,0.150073210561162,0.0705803432052577,0.0392957459807126,0.052323277828485,0.137187988947581,0.251905296738642,0.149860912621492,0.0557527212391968,0.0363298895674171,0.0557538487656643,0.102326655061425,0.102187127281758
"[55,60)",0.0891834631800634,0.0650845937249285,0.052558728393271,0.0647782083799407,0.102291969262071,0.13122339552579,0.102208299168779,0.0529369413957299,0.0319242912099707,0.0447029681075319,0.119366125921561,0.2164895354884,0.121227269117726,0.043239971636684,0.0298949851844384,0.0491350924610656,0.0899719408080691
"[60,65)",0.0642180040197189,0.0565124666468518,0.0396296767314173,0.0305256631884822,0.0360528967586086,0.0595205320101448,0.0849115657078797,0.0729060520507396,0.0395992345425522,0.0241774326446987,0.0341774731986619,0.0932999643370886,0.174096786769753,0.0976419464857933,0.0366194198944691,0.0261620332789097,0.0493264150771808
"[65,70)",0.0361418116825372,0.0404229098363078,0.0333934998241446,0.0215810155142443,0.0160485062186486,0.0204699126089817,0.0385116947566003,0.0600291617225562,0.0522667183981499,0.0279181517113443,0.0172806427309914,0.0258219174432799,0.07576320888241,0.146348690058426,0.0832807847441661,0.0311295955614104,0.0241863386552884
"[70,75)",0.0187720060490163,0.0230752542327334,0.0234948420753013,0.0175009498077135,0.0112138744770201,0.00937794327313317,0.0137872763774944,0.0275594042074958,0.0421283178150746,0.0358904619795758,0.0199556132076687,0.0134337060656706,0.0213809896542431,0.0626670455039705,0.115697533998136,0.0637581306381506,0.0197123658612248
"[75,80)",0.00943130665293165,0.0112672342162612,0.0122260037347957,0.0111173722490469,0.00848594079392468,0.00631537022945284,0.0060564167403321,0.00914331973228418,0.0175803227001814,0.0267142702615448,0.0242431805956001,0.0146150353689583,0.0101111005911946,0.0155052396646319,0.0422032765067138,0.0733391207406165,0.0292053705844142
"[80,Inf)",0.00496087536208618,0.00618382400521089,0.00635381205758234,0.00611679233091988,0.00609046501327265,0.00590879010219086,0.00519173035791887,0.00468150746007139,0.0060105754129814,0.0112319508905036,0.0192716868050292,0.0213028594386981,0.0151750178391577,0.00958954175703581,0.010386567909975,0.0232479916626614,0.0343353670376116
