"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",4.91463085166897,2.98371648404582,1.15433313277805,0.718946405877755,0.962971106697547,1.86636514694061,2.79543032522011,2.43685692280252,1.56592568239239,1.16432766869399,1.0747672205116,1.01439276226098,0.854874319576429,0.652241057838277,0.47998480663139,0.333271377528285,0.210022895025486
"[5,10)",2.69480083016491,10.9509774027517,3.44105987414678,0.958444699753773,0.682589624214677,1.10174787160289,2.07967639181331,2.58440544293274,1.93613552474781,1.30583121468048,1.07406872629072,0.930758173110716,0.829357236460678,0.736934147495562,0.60101521039951,0.437833453433875,0.300649651432154
"[10,15)",0.921996403093406,3.05323804046875,15.0798240381376,3.32731562410543,0.99159652610782,0.798266490209186,1.18683383449245,1.86274085140509,2.0203899879029,1.49775045514641,1.05140208824278,0.727419217190912,0.522319761285143,0.472199525526575,0.421804726981791,0.325343480527262,0.231040798451619
"[15,20)",0.496765144878369,0.734083648714032,2.88751637582213,12.5616461261931,2.93126540399117,1.17689531156925,0.97651860298292,1.18574460881931,1.5994292698183,1.66885800204162,1.20149459020763,0.684565083090735,0.395318949394207,0.319740860977231,0.310164856307181,0.271930948129505,0.211802920467376
"[20,25)",0.567764530589505,0.446106524169899,0.731967725766996,2.50490127309833,6.38467008436958,2.37467500702395,1.32852982437039,1.08906864043922,1.17004695617813,1.44753289013481,1.4216015694543,0.908781636240259,0.468051873182026,0.300473233390051,0.270642023326197,0.256822169175915,0.228187299908064
"[25,30)",0.938375759373043,0.614025314039555,0.502492978915772,0.856373851286424,2.02554194845766,3.32194608173747,1.88403541138588,1.20944998242038,1.01024044598147,1.06386740796097,1.21019115559067,1.06995950463743,0.649124949611679,0.35355105923308,0.24961339882676,0.220494619807148,0.213139160020311
"[30,35)",1.19405667693963,0.984681825671984,0.634699451017368,0.60367361040202,0.962481912018714,1.60070659857691,2.24223457082136,1.44845962961523,0.984478995751403,0.855894754314995,0.860513828359944,0.887357786019582,0.756943352318999,0.472875340829059,0.267495099456706,0.181454132929382,0.169387448739482
"[35,40)",0.865386812071762,1.01733685941055,0.82819883526782,0.609420137854258,0.655964736829255,0.854255905243197,1.20427284180359,1.63072734874135,1.11330265845711,0.803573832444103,0.679357787949078,0.616059066118417,0.610891763779345,0.541611343433581,0.348150805557452,0.187586637925258,0.137103686565859
"[40,45)",0.448902711275052,0.615234563960666,0.725133924942173,0.663577300810229,0.568891403882119,0.576004224809828,0.660710588665073,0.89871773423426,1.173419691648,0.84227227795079,0.594261410134981,0.440962583739894,0.375642282761678,0.400939267275386,0.37425944621096,0.23013656640252,0.131980017210356
"[45,50)",0.262889044468094,0.326819684761434,0.423388116942209,0.545333347588151,0.554332968959166,0.477754305455659,0.452419551834356,0.510908130597666,0.6633974415972,0.859071186736962,0.610926742187583,0.370431267720909,0.252441822492335,0.232692908958802,0.266983833299619,0.242752413800867,0.157729703204601
"[50,55)",0.189568908477611,0.209994857519037,0.232179283672084,0.306704337151855,0.425280617842547,0.424547714415408,0.355331968289774,0.337420149715582,0.365636164652881,0.477253351582438,0.647894720388786,0.415673252300423,0.232412926556516,0.170844308030568,0.169075517210158,0.192823883169242,0.189489948130561
"[55,60)",0.139978690921173,0.142369360886812,0.125673147053915,0.136714925527667,0.212696492091832,0.293658761102706,0.286667382411705,0.239385531097464,0.21226404930412,0.226394646974097,0.325205110986413,0.463992889890355,0.284448219678838,0.170362360001589,0.139019590069561,0.138387757060498,0.16973399208638
"[60,65)",0.0916806573770374,0.0985918411876226,0.0701316148842099,0.0613576165094236,0.0851362337688803,0.138459763307897,0.190047673515337,0.184484326788023,0.140529932330254,0.119905604969946,0.141313297246592,0.221067072142065,0.329634367305211,0.214493705149706,0.141464997307047,0.108648077067088,0.104440160806678
"[65,70)",0.0517345394249759,0.0647925429790306,0.0468921271947117,0.0367042195564786,0.0404225067909684,0.0557756231996449,0.0878097723852943,0.120970635807435,0.110935351614804,0.0817444605943297,0.0768281313837407,0.0979242638032144,0.158639830545898,0.259962984876983,0.175513049491902,0.0927301177644679,0.0569927414538993
"[70,75)",0.0246168250050426,0.0341675549987535,0.0270843192841366,0.0230219727952035,0.0235420771332848,0.0254619861222022,0.0321176757043148,0.0502795880247857,0.0669570385550662,0.0606446148600246,0.0491623433272269,0.0516683705552781,0.0676516036698546,0.113485843359402,0.184204589305257,0.0959496793516433,0.0411348403520639
"[75,80)",0.00866262816872771,0.0126149196704881,0.0105875554962829,0.0102295303286348,0.0113221568063688,0.0113990717958104,0.0110418603932268,0.0137300878091155,0.0208668168593977,0.0279458899100278,0.0284157932502954,0.0260671494201131,0.026332873534374,0.0303878528467454,0.0486284827553299,0.068205163741857,0.0319408199646388
"[80,Inf)",0.00233466948247139,0.00370461739486574,0.00321550639173047,0.00340750193087341,0.00430224594720894,0.00471239678614496,0.00440822469739512,0.00429168320691086,0.00511783010887678,0.00776559938287771,0.0119424173857092,0.0136732516164672,0.0108255719321101,0.00798740784085832,0.00891587629358478,0.0136600777380733,0.0133190528217948
