"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.863057368366722,0.345790273649963,0.0544895151427419,0.0272187064990382,0.0355107876707127,0.0584313718200615,0.0748307133878351,0.0754961253527718,0.0728221624075776,0.0678889039428703,0.0534755667711348,0.0325653267372497,0.0145330116070459,0.00442423896068349,0.0010143823362781,0.000307685634289548,0.00147103820376939
"[5,10)",0.336070910249533,4.66320736413132,0.400022519364045,0.0345619758888723,0.040525170685192,0.0851822685858057,0.137795740053341,0.139946823210739,0.128649077411751,0.140300396327804,0.137098892960696,0.0842543699667942,0.0351346037168006,0.0140713060763974,0.00622258841206832,0.00304173821069877,0.00332504236748724
"[10,15)",0.0525326574970128,0.398722401302132,7.12404721550533,0.461057579519362,0.0629183635231714,0.0683410998846226,0.118073498717826,0.152292114081081,0.146040580793437,0.152409441563222,0.163656944129626,0.106436057543217,0.0353796528306262,0.0102026583544128,0.00498535847487167,0.00383540706479435,0.00250723726105583
"[15,20)",0.0284249123620538,0.0372509245055793,0.493894030315675,5.8097272866302,0.337147607363171,0.0755461553187409,0.068792339880684,0.09853411600338,0.121230757635689,0.124421354156539,0.114028971295337,0.0710776514297948,0.0221516514255017,0.00459436224281845,0.00148089647166982,0.00127688692942672,0.00126900037450886
"[20,25)",0.0433098275328367,0.051010295859876,0.0795952478258485,0.389391350049293,1.84952949567244,0.23453172679651,0.071426974766874,0.0562012572111418,0.0767959866240588,0.0975460727024349,0.0829023214380607,0.0429782030666486,0.0129857898232145,0.00274512376328829,0.00067194545651831,0.000423203821859402,0.000604190956454467
"[25,30)",0.0824683488297449,0.124078707191832,0.100047617978018,0.102099104306591,0.270826834668607,0.580672208290343,0.169669814327117,0.0517849091952655,0.0402974300926708,0.0598282984408586,0.0685188465595256,0.0386463043690786,0.0115258525754193,0.002805236939541,0.000780412646081493,0.000367086393949024,0.000316998048004195
"[30,35)",0.115080736636286,0.21870835810482,0.188347019545757,0.101305069193215,0.0900655810591006,0.184817756123893,0.331399345824521,0.113955802887772,0.0384537195858457,0.037922009862363,0.0604393450399253,0.0550785059282935,0.0209731433249395,0.00518811114420382,0.00144472273257009,0.000575649293125251,0.000213682644302731
"[35,40)",0.117062458040177,0.223956082127213,0.244936757129876,0.146301220374881,0.0714517480128516,0.0568924947699263,0.114894070362823,0.188037898771742,0.0786316711887135,0.0413159338428526,0.052084422192408,0.0673814505447489,0.0387499838954086,0.010407560527802,0.00229790808840032,0.000739720102611626,0.000202630310171931
"[40,45)",0.105341610620973,0.192065738476111,0.219125796149116,0.167925848298125,0.0910853976996739,0.0413021364541557,0.0361702899919717,0.0733643149075433,0.112204775588869,0.0712139398317484,0.0497480215728378,0.0466224326580338,0.0319507178338852,0.0113283728268583,0.00260101283071596,0.000776152221022807,0.000263628769558661
"[45,50)",0.0909095997171888,0.193899499155129,0.211692948787519,0.159541701842271,0.107101262101502,0.0567644433129151,0.0330201884594811,0.0356808790947967,0.0659263452233193,0.0986307611443084,0.068338787214776,0.0313535403073998,0.0143522030279583,0.00674238389175782,0.00279285257095973,0.00130165400090827,0.000623604261958041
"[50,55)",0.0705538017522212,0.186683447832466,0.223966484977353,0.14406171441656,0.0896820583263779,0.0640521704948995,0.0518515837493706,0.0443179740550969,0.0453737271218796,0.0673321482464955,0.0842957402574354,0.0408227776701496,0.0111696643543187,0.00470790598846148,0.00357267129026696,0.00322904245849447,0.00193189164181385
"[55,60)",0.042892130740952,0.114530579349036,0.145410086593072,0.0896444895611018,0.0464134964271959,0.0360652489543534,0.0471717061520026,0.0572360377202204,0.0424502965181137,0.0308388247765257,0.0407529597238929,0.0505985652085036,0.0226620010351714,0.00694926595518176,0.00400472683548096,0.00427879432088972,0.00362126254660998
"[60,65)",0.0175909209885601,0.0438909375669857,0.044419134974737,0.0256748204146669,0.0128876928854852,0.00988472977281291,0.0165072122162647,0.0302490338538443,0.0267348156673362,0.0129730047893699,0.0102472670935522,0.020826366578215,0.0361997244003716,0.0160412414299071,0.0039313956501797,0.00230226674457156,0.00353942880343108
"[65,70)",0.00432484229779314,0.0141962275107013,0.0103449552497761,0.00430056268534631,0.00220022695290964,0.0019429428765533,0.00329775375597861,0.00656126637042968,0.0076553112015758,0.00492191634384496,0.0034881444187818,0.00515760943461287,0.0129551760403598,0.0196712173563367,0.00551367046458851,0.0015342375903369,0.00239153722353012
"[70,75)",0.000742028681822416,0.0046978260446385,0.00378267455943006,0.00103731835104332,0.000403020267904872,0.000404484697433769,0.000687196237764048,0.00108407341011837,0.00131530092523425,0.00152565408684714,0.00198082929464778,0.00222417897555785,0.00237592545062904,0.0041260238200049,0.00504130014800011,0.00189633444851403,0.000827267213496779
"[75,80)",0.000163956242388251,0.00167282076657864,0.00211990194279158,0.000651540664418949,0.000184903090064408,0.000138595078157706,0.000199460068934896,0.000254211493453068,0.000285911259041888,0.000517970881487802,0.00130415577275174,0.00173109127024198,0.0010135458961458,0.000836337665038639,0.00138139604556214,0.000524754001870682,6.00114885025817e-05
"[80,Inf)",0.000906805711809205,0.00211540886340792,0.00160313206557322,0.000749066532572875,0.000305378436308894,0.000138454050769484,8.56518597118212e-05,8.05567114033165e-05,0.000112343180427397,0.000287070404650415,0.000902626406162266,0.0016948377432829,0.00180256327462226,0.00150811944720347,0.000697135330967767,6.94231062636075e-05,5.18634412898354e-08
