"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.431061221494376,0.357503820767015,0.178926318210959,0.119658251029065,0.170827027505993,0.326893106777013,0.443323943817902,0.335814185569343,0.182807783570673,0.121493492319379,0.124500536400509,0.144907563100021,0.13568066045716,0.0985075992881067,0.0679226387207682,0.051446297944684,0.0300702449432921
"[5,10)",0.371269146960003,0.599340563290839,0.396553907486162,0.143800548125718,0.093456611759787,0.164000907122797,0.362781788629991,0.476368440916962,0.32164223043025,0.161418945451429,0.10704474745675,0.109940783499336,0.123985826333171,0.114299510748613,0.0865893373613498,0.0636871326802473,0.0399940799765885
"[10,15)",0.18234564921542,0.389148392688744,0.635214909665011,0.328154875130124,0.11088780113561,0.0838438462013837,0.168455949748182,0.355355271733811,0.4159906074652,0.261716808741542,0.131325113484701,0.0871212407982503,0.0855056139682114,0.0928080520992569,0.0865583078324394,0.0676703167285344,0.0404693886555532
"[15,20)",0.1173755685387,0.135827412358169,0.315858623780307,0.508208393021267,0.253670905268129,0.0957705323147292,0.0830464997287129,0.159603828327377,0.300604814501227,0.332594464060997,0.209128723350646,0.10301308727759,0.0632301216990012,0.0577377279260873,0.0622397961221003,0.0594495216609419,0.0373268388302435
"[20,25)",0.171911983284936,0.0905631303946576,0.1094995056159,0.260246661672125,0.412749999949814,0.221956585945243,0.0961995758957215,0.0813209389451419,0.138032560176598,0.245078541438807,0.271430252487518,0.167458132879149,0.0766388320991141,0.0439186026605906,0.040811711458747,0.0467577667805848,0.0388708694482836
"[25,30)",0.369794461388984,0.178645761700953,0.0930689152776402,0.110446379172691,0.249501470099241,0.395511470578082,0.235828528221186,0.102109756983409,0.07633839012908,0.121246675861369,0.217890849096642,0.241404142534071,0.1432616980118,0.0635116404022017,0.0384362318737976,0.0391562264659725,0.0444103174708792
"[30,35)",0.60479568680125,0.476567917467137,0.225503180622264,0.115497815835537,0.130410057959551,0.284399742129616,0.45288654221678,0.269373208444726,0.106780393334332,0.0752992443952237,0.122656056824788,0.224443880940353,0.245626307739501,0.145165844978678,0.0688368797469054,0.0453310498818117,0.0489118566602871
"[35,40)",0.546793176247413,0.746893805933866,0.56776109652175,0.264930704574148,0.131576056550938,0.146972692827567,0.321507382881735,0.507905008583759,0.288549357613689,0.111622353308438,0.0827116538475191,0.138767408431758,0.249305798892055,0.267311943454851,0.163749589879484,0.0814228124136059,0.0518880588387684
"[40,45)",0.321488858492524,0.544673361965518,0.71784980780301,0.538929699291568,0.241214394045399,0.11867509853784,0.137649697899596,0.311650126107098,0.506583248716448,0.293058493032985,0.120087662303195,0.0914204087432264,0.14678138491594,0.24991523358851,0.268260574950544,0.167752178369233,0.0662376215614256
"[45,50)",0.208892567874814,0.267249133517775,0.441550528298785,0.582974999475103,0.418721916382832,0.184282957616185,0.0949015036640054,0.117868321417782,0.286518745644874,0.502640503552172,0.306540698633079,0.125232928559559,0.0879686483093677,0.130939209020804,0.224254838442818,0.250629774485824,0.11390180175023
"[50,55)",0.197757360578534,0.163726366482651,0.204685952970954,0.338641409086627,0.428420376427758,0.305946709180818,0.142811419540447,0.0806870970802804,0.108464740524933,0.283191102785486,0.519672881297167,0.308735251122718,0.114790498000142,0.0748823189996544,0.11557438498727,0.213128979609565,0.185023340091345
"[55,60)",0.203809347252514,0.148896229463257,0.120236386881496,0.147703365124656,0.234039802514898,0.300139478699548,0.231394652099453,0.119866127364864,0.0731147434168945,0.102442839819961,0.273374392069156,0.496155109142583,0.277831331248246,0.0991202899388439,0.0686739680185054,0.114375714238246,0.198174715326945
"[60,65)",0.164878127342361,0.145080473885574,0.101957351858207,0.0783310695885932,0.0925431777911733,0.153893597477555,0.218792524816568,0.186060176786398,0.101424957587962,0.0621731746195851,0.0878192255244746,0.240045335918995,0.448006123915784,0.251380563899504,0.0939126934495952,0.0676102467141529,0.136569820274776
"[65,70)",0.104137219813872,0.116351622220934,0.0962721612394157,0.0622244226126576,0.0461354956900015,0.0593519420959057,0.11248981255303,0.173552374112321,0.150230367550093,0.0805074339471441,0.0498372528411599,0.0745016279312047,0.218686937530872,0.42228052820693,0.238989906564936,0.0885588533232905,0.0774059371866384
"[70,75)",0.0625650091352805,0.0768021196924595,0.0782356221496853,0.0584453637731799,0.0373552978610322,0.0312970301331551,0.0464783435754463,0.0926345797276803,0.140508491251191,0.120140327711356,0.0670219592658941,0.0449755061677139,0.0711862576470098,0.208238141183744,0.385895659402166,0.210148144166082,0.0617134388979464
"[75,80)",0.0409786108428765,0.0488479820456267,0.0528907995836023,0.048274347213472,0.0370089954582779,0.0275707954040018,0.0264674062682373,0.0398313617472838,0.0759801293091769,0.116108975775381,0.106876980258148,0.0647744713794785,0.0443170176861689,0.0667265766062196,0.18172375390564,0.318172756444062,0.105434523732258
"[80,Inf)",0.0380242799945048,0.0486980500475739,0.0502145410136472,0.0481182901845782,0.0488425940787118,0.0496424573942677,0.0453367814009879,0.040296507642655,0.047627470815316,0.0837692553489798,0.147295376800368,0.178171908287673,0.142112956378666,0.0925895690670468,0.0847201699278411,0.167380079861908,0.237506631610704
