"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.542171890298102,0.450045255239025,0.224698001319176,0.151554969667482,0.217515306540614,0.411642218423864,0.559263129868536,0.424577485052005,0.229811187762531,0.15332326349436,0.157758909858895,0.183504874674772,0.170941248415856,0.123964111862848,0.0857993765566607,0.065051392489221,0.0374058843830134
"[5,10)",0.426625527664411,0.689567483995131,0.454093794095208,0.164024196242551,0.107916050982047,0.187854960284937,0.414445747182079,0.549345607654088,0.369416146022136,0.185144054226465,0.123332297329487,0.127113693449844,0.143198809921839,0.131638102443857,0.0999358729793278,0.0735998352268274,0.0456220652195392
"[10,15)",0.203841852028694,0.434559313967861,0.713645072895509,0.366194720861633,0.124524974403733,0.0938154633882804,0.185926603891516,0.396755469463754,0.467444640047456,0.293668685876805,0.14742044482047,0.0978046090806932,0.0961441241787022,0.104269966842079,0.0973861706756666,0.0763490759851498,0.0451221856705649
"[15,20)",0.141944940725663,0.162056704483581,0.378066039554625,0.611899542036651,0.307332951914366,0.117072187837724,0.0992048692495735,0.189568787124889,0.360804143094012,0.40072788454648,0.252537049842454,0.124031369647437,0.0759857930410839,0.0693714109768299,0.0747514431456646,0.0716996808451726,0.0446469254064881
"[20,25)",0.227292043487512,0.118956945226911,0.143435523763026,0.342889195866658,0.541205109935692,0.295134069419928,0.127724981656371,0.106249311263756,0.180719325538709,0.321367454633334,0.355637332115829,0.218626895907361,0.0998214056736891,0.0574893380959469,0.0534167355878907,0.0611768371315907,0.0505626025254571
"[25,30)",0.451503249821399,0.217356677338394,0.113428255169936,0.13710237222076,0.309788938901057,0.485112042023586,0.290377142769159,0.12499827314091,0.093919387527122,0.15054607591828,0.26940630289019,0.29495968638969,0.17283300962151,0.0769637363535824,0.0470594839656715,0.0479659682763988,0.0540305971071722
"[30,35)",0.59757655766045,0.467147898801147,0.218990236618127,0.113177635533598,0.130604699040997,0.282877770432167,0.448131983444084,0.264847082734789,0.104347984025265,0.0749524553824398,0.123521422773947,0.224929149619889,0.241623647878214,0.141328945379614,0.0675579873863925,0.0447654282951501,0.0483766220541188
"[35,40)",0.446662375367713,0.60964556155582,0.46009889082928,0.212931300500888,0.106968061361701,0.119890688335341,0.260759561007309,0.414509971260323,0.233097697552617,0.0902065161962927,0.0677042314379478,0.11469251719719,0.205165748782056,0.217411022259766,0.133299062083432,0.0665203060271637,0.042368203207344
"[40,45)",0.248428487508894,0.421265069752095,0.557014197827506,0.416439587835867,0.18695643386376,0.0925645105553461,0.105569126372261,0.239522215824695,0.393109962216871,0.226925411193745,0.0930834793532576,0.0710647053560389,0.114595849746927,0.194219166769858,0.20859924022647,0.131379034861982,0.051305815548306
"[45,50)",0.16870268817218,0.21489834291725,0.356186488426092,0.470775416344781,0.338393047512013,0.151022765053836,0.0771831411813699,0.0943472938271649,0.230975997502836,0.406374855680793,0.247887947773722,0.100970579448855,0.071114142220473,0.105808740536274,0.180432301722944,0.203165692022487,0.0915064838039365
"[50,55)",0.167774977291157,0.138362838299739,0.172821138701216,0.286753454831677,0.361948037508107,0.261216179708762,0.122941416946447,0.068442630642198,0.0915747354231531,0.239593347850455,0.439546239118145,0.260158088713054,0.0965345935841495,0.0633016395956016,0.0970486801067084,0.178930565536984,0.154721286357431
"[55,60)",0.185091328655989,0.135250897071024,0.108743583868522,0.133573489346136,0.211031675269556,0.271244012198293,0.212327792957976,0.109964154915383,0.0663074305865826,0.0925591521750507,0.246741675042111,0.449373970059773,0.250968005003324,0.0900018351547417,0.0621103781533927,0.102236559441446,0.177348229949974
"[60,65)",0.167262042169994,0.147808456279413,0.103700087797948,0.0793840383583144,0.0934716255017855,0.154182912642165,0.221264936275928,0.19082398990063,0.103726371282373,0.0632401004862134,0.0888178393443936,0.243461567851559,0.455823254507284,0.257277110675697,0.09682887506943,0.0685801991395784,0.138134047268406
"[65,70)",0.116909869843108,0.130962261498504,0.108397756086469,0.0698531500965864,0.0518857504571334,0.0661759792210258,0.124740924545821,0.194901127202329,0.169440436840109,0.09069070969851,0.0561354063267725,0.0841527090005309,0.247973818649406,0.476131273599065,0.272317229738989,0.101083681266554,0.0879631628871535
"[70,75)",0.0696775718707741,0.0856129841614265,0.0871790270750657,0.0648154769990198,0.0415137351271273,0.0348429618802422,0.0513461890527924,0.102899569652335,0.156708072970258,0.133170863848415,0.0741080211624275,0.0500074352963499,0.0803643133900001,0.234492411239602,0.429960988584187,0.235327531030514,0.0688567234821918
"[75,80)",0.0403592032407606,0.0481695043321382,0.0522150411630348,0.0474956103619673,0.0363227395709177,0.0271317765541699,0.0259926983695484,0.0392299553638017,0.0754018194682532,0.114557205264136,0.104384791691296,0.0628859671811069,0.043484472359278,0.0664984974417193,0.179783507480335,0.313564295390342,0.101852558550692
"[80,Inf)",0.0331107458342092,0.0426003656039463,0.0440276005414058,0.0421959585723943,0.0428315751799258,0.0436041507924415,0.0400762625447718,0.0356489441773749,0.0420112306743029,0.0736151083765098,0.128779226349013,0.155638639980878,0.124962368877522,0.082560947700305,0.0750527333938915,0.145316521333192,0.204525850528894
