"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.20442407594024,1.0011812314431,0.500519217945391,0.338954961654046,0.485037855096423,0.91691964520732,1.24637385165261,0.951083103660551,0.514751313353413,0.342486835622483,0.352215369830212,0.409516783721556,0.384279532393279,0.27936183814671,0.191470005736085,0.144819362555445,0.0909564130860233
"[5,10)",0.861060945327315,1.39240448106793,0.917286218587023,0.332739227095768,0.2184953690497,0.378905159074243,0.834286923538458,1.11281933639366,0.751712299264505,0.37562425795388,0.249935669488001,0.256922708365052,0.289852853107579,0.268107470163496,0.202477892326139,0.148742070386374,0.0988090913635616
"[10,15)",0.385022218947112,0.82044356277494,1.35040034843171,0.696068492802545,0.237101587045085,0.177132602621914,0.348573717312606,0.745901010117733,0.886446944482625,0.557666462524465,0.279993210716871,0.185709579818401,0.181535461999003,0.197332904965748,0.184521043107547,0.144353587371923,0.0909504716554577
"[15,20)",0.250236048819758,0.285621364694166,0.668028235677966,1.07752833832858,0.542965166731748,0.20610842838295,0.173966069978839,0.331316350696113,0.633746864020521,0.705856173614551,0.445245179584254,0.220386250016627,0.134908554392231,0.122207403537934,0.131834685032714,0.126244436383549,0.0838400279116933
"[20,25)",0.349422511902756,0.183019047703686,0.22204687852714,0.52983340597186,0.834634915323949,0.453828749725099,0.196726887295612,0.163394196226855,0.278199720077454,0.496115033047439,0.548317981582157,0.339758549219479,0.156771365356323,0.0892711432834997,0.0824542762437206,0.0944355378968398,0.0821930718497978
"[25,30)",0.607781665511244,0.292028773001723,0.152633472836365,0.185056434569035,0.417573639870287,0.654793053592705,0.392728395522398,0.169317045704499,0.126794419866577,0.203567571508962,0.363968572552921,0.399742576539022,0.238034532964538,0.105516520318806,0.0634715049803618,0.0648147559044451,0.0749568469433185
"[30,35)",0.691685003816302,0.53833705627522,0.251471998657965,0.130772583904061,0.151547405133214,0.328803185897703,0.519641902443616,0.307795550480264,0.121099031007569,0.0870712611485594,0.143660751682142,0.260166228504646,0.282135281915963,0.165985155095556,0.0779347060320011,0.0517214406983559,0.0561441958383062
"[35,40)",0.428166122596573,0.582501847290969,0.436525879171224,0.202036030143282,0.102106929206635,0.114994799570608,0.249687121218313,0.396299081653551,0.222310915780516,0.0857390034584723,0.0647006469528532,0.109036399703196,0.194629068654385,0.208551753200451,0.126494646433496,0.0628308807255971,0.0406213670645628
"[40,45)",0.196662550898204,0.333929408906486,0.440262724473384,0.327968512087182,0.147538596121063,0.0730815968891122,0.0833690479333499,0.188664920410797,0.310061394863696,0.178084672256675,0.0731291236506379,0.0558923165148102,0.0891501730958913,0.152346199779414,0.16433576373679,0.102615115856723,0.042590485751986
"[45,50)",0.115683064835455,0.147522526795021,0.244869895056914,0.322949221656742,0.232612497090047,0.103733297025363,0.0529957090509051,0.0643295478428449,0.157444770347604,0.278001414712971,0.169732594969331,0.0697272088352238,0.0485955824131235,0.071570292204573,0.123685736497256,0.138853035857927,0.0688114901903102
"[50,55)",0.103022457523653,0.0850022948036029,0.106464806042645,0.17640664876507,0.222628542731547,0.160609477789463,0.0757184483117928,0.0420376460732762,0.055987331212977,0.146981592906615,0.269418463218196,0.161254189644385,0.0604317264141743,0.0387923022701965,0.0596368383702197,0.110231931123084,0.103525425381481
"[55,60)",0.0938622686143344,0.0684700492873545,0.0553335601013355,0.0684220304361218,0.108097210742356,0.138223991900543,0.107450943047167,0.0555132953397804,0.0335310571702338,0.0473146594705682,0.126359164706506,0.227816172903813,0.128831337425316,0.0458856613244436,0.0314657454433354,0.0524887305427832,0.0935864200243994
"[60,65)",0.0597005937467829,0.0523585709207672,0.0366629862844778,0.0283898440575789,0.033808265544537,0.0557898311096624,0.0789821161332832,0.0671653474298123,0.0362517839337096,0.0223512741361342,0.0320976174255161,0.0873239899703585,0.161375643784612,0.0903801969582591,0.0334119904500533,0.0243245400794753,0.0477848083610215
"[65,70)",0.0269863943102353,0.0301137960514573,0.024780625025172,0.0159906979781345,0.0119705369681599,0.0153773650960973,0.0288926249328546,0.0447504896430491,0.0385199045947858,0.0204684364713372,0.0128114927588081,0.0193390633661535,0.0561978458521836,0.108569038727975,0.0606245252299356,0.0224964563809381,0.0188698773108422
"[70,75)",0.0124682673300177,0.0153306925587161,0.0156201867118145,0.0116285927862859,0.00745320887260406,0.00623545047021234,0.0091448424088849,0.0182971591173497,0.028010008320575,0.0238450957876771,0.0132768902292834,0.00893972251924153,0.0140047805129326,0.0408672978847996,0.0768505799018221,0.0417480028759769,0.01265738794499
"[75,80)",0.00713660449202472,0.00852270836293712,0.00924756820881651,0.00842692961908557,0.00645989128364447,0.00481861879238081,0.00459277933962924,0.0068777171176459,0.0132358590162941,0.0202579023730621,0.0185715782013662,0.0112852640676968,0.00771575161017774,0.0114762851133178,0.0315933258750978,0.0555679175444583,0.0205552028881063
"[80,Inf)",0.0049911979404624,0.00630444966362954,0.0064880081738371,0.00623182147952708,0.00626082310424394,0.00620535255018047,0.00555157617023398,0.00495144737153648,0.00611730108841247,0.0111790919415755,0.0194220420417299,0.0224060324926037,0.0168783473336512,0.0107192095825547,0.0106662118251621,0.02288907479905,0.0330772635745194
