"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.915900676230689,0.760497303831454,0.379442076547499,0.256819108969352,0.368154263210709,0.695857914974399,0.946128847739761,0.722604713088953,0.39133628705358,0.259809107564863,0.267006290369297,0.310401052911671,0.291640481104943,0.212149364399991,0.145384333584396,0.110019318124262,0.0675599104278778
"[5,10)",0.691508439507714,1.11849674552428,0.735348877999511,0.266144230969288,0.175210008951143,0.304100107908826,0.669458307163117,0.892778590097243,0.60421745761865,0.301600280314439,0.200415319962454,0.205870918517959,0.232255463621461,0.215055652576678,0.162493596377603,0.119444153797444,0.0778820071592533
"[10,15)",0.326081914788425,0.694984073342901,1.14399154491052,0.588136645672368,0.200515949086119,0.150131794335737,0.295356474920348,0.631114274707933,0.751351595200876,0.473227053348193,0.237378086669887,0.157353017759262,0.153582159320986,0.166975345043085,0.156281796967385,0.122415135944065,0.0758213019136479
"[15,20)",0.228021267920122,0.259875460536169,0.607638156575802,0.982165882515359,0.495106085059344,0.188353140615049,0.158658678163877,0.301096144952742,0.576002791246925,0.643917804867186,0.406803209653514,0.201518549164441,0.123085231959795,0.111182704623607,0.119958286718942,0.115074819801704,0.0752302835319461
"[20,25)",0.348344627136321,0.182321711114539,0.220773519182474,0.527630053874254,0.830440935134061,0.452809191723916,0.196311497396101,0.16253652938488,0.275697162754664,0.492660332541063,0.545974252067617,0.339246089479211,0.156732208701481,0.0889323946280534,0.0819713053989924,0.0939037291671374,0.0807274835646786
"[25,30)",0.648060790364959,0.311466930414145,0.162699652630514,0.197569553946334,0.445688190269168,0.697664440375101,0.418814233990806,0.180732242932812,0.134961902760589,0.216406657267069,0.38741676270069,0.426065239385415,0.254536430532102,0.11275151436233,0.0676814781988028,0.0690111411591156,0.0791909888234529
"[30,35)",0.780265944504917,0.60717809680387,0.283437715904938,0.147369692724109,0.171103471490145,0.370867371577052,0.585806899497594,0.347595317040625,0.136853191202628,0.0980904870648073,0.161812609975554,0.292892666393262,0.3183781634023,0.187636610925771,0.0880512599442673,0.0583719177671047,0.0631592776489676
"[35,40)",0.503559794194313,0.684217563664643,0.511772607426499,0.23632378362623,0.119707664336067,0.135235503146852,0.293718841555613,0.465415358136496,0.261499313796091,0.100718073608845,0.0760106963155393,0.128000013695821,0.228325328552505,0.245030675679292,0.148681690678077,0.0739480462889952,0.0476523523005661
"[40,45)",0.234620910940191,0.398391496054141,0.524177753377885,0.388949451220518,0.174690629897194,0.0868825610787811,0.0994899374359973,0.224976363473058,0.369198165143952,0.211778494708729,0.0869186435038196,0.0665657805120724,0.106074728792272,0.181387879313538,0.195653943498524,0.122319848142804,0.0500722469063536
"[45,50)",0.139213314846405,0.177729016769506,0.295062993215391,0.388605386446044,0.278993905765075,0.124509315522916,0.0637324959321885,0.0774432475575254,0.189274306742657,0.334642011137515,0.204116473129773,0.0839712476043377,0.0584791793695872,0.0860627695668891,0.148819528130617,0.167232037814213,0.0810173093177841
"[50,55)",0.128225787869519,0.105848569607863,0.132651841725202,0.220034222317036,0.277106531806093,0.199773149443111,0.0942266776468629,0.0523815489689114,0.0696225982382998,0.182938677578405,0.335767608671363,0.201270094865038,0.0755207849999254,0.0483177458082033,0.0741971731482864,0.137091593900734,0.126198772072062
"[55,60)",0.120261170065183,0.0877197600931028,0.0709408015762732,0.087936514073085,0.138911373982918,0.177248744709057,0.137599979512565,0.0711642698441716,0.0430166584647354,0.0607164598280711,0.162378156773999,0.292232966060177,0.165601221748563,0.0589149117815733,0.0403614127314334,0.067211559500157,0.118492756804994
"[60,65)",0.0769128261114781,0.0673623293821751,0.0471314182730993,0.0365602275882008,0.0436847580708179,0.0720784997102982,0.101812679889905,0.0864081679624601,0.0466601678865213,0.0287823221343368,0.0414728208643049,0.112722927932202,0.207888419980634,0.116289822446854,0.0429725542358939,0.0313259864709438,0.0619225522715135
"[65,70)",0.0344875946849085,0.0384478648544398,0.0315858301950416,0.0203568409720408,0.0152792443009008,0.019681055216605,0.0369867680159202,0.0571598882393416,0.0491827533415658,0.0261101931910892,0.016355881386092,0.0247197550742871,0.0716822972158151,0.138609435392443,0.0773624735863781,0.0287639379754712,0.0245644043719119
"[70,75)",0.0161872678204403,0.0198972193097528,0.0202480457859527,0.0150431288417822,0.0096458057352482,0.00809152914659151,0.0118877359302154,0.0237554452872628,0.036335233164003,0.0309235583289215,0.0172024149068276,0.0115989870086013,0.0181424588636141,0.0529864860155787,0.0997185249379569,0.0542873592007945,0.016358480979782
"[75,80)",0.00920845807581582,0.0109946917567104,0.0119226243649929,0.0108480142829011,0.00830656606304273,0.00620214621477724,0.00592419793665159,0.00888166550640159,0.0170764780011024,0.0261222778527075,0.0238932324801677,0.0145197687445307,0.00994195421414632,0.0148096617338014,0.040809449844416,0.0716255187347821,0.0257083909468018
"[80,Inf)",0.00654970526671155,0.0083036688600121,0.00855347726707509,0.00821442879783137,0.00827132003187261,0.00824353115231329,0.00742467552901857,0.00662928635120307,0.00809679560057549,0.0146583168274392,0.0254761582693924,0.0296498333587805,0.0227630565453144,0.0146493299028063,0.0142435985090166,0.0297775951928489,0.0424430759324615
