"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.92114001126557,1.01317892529799,0.36880865513974,0.219595413302743,0.263738338248631,0.552534661488322,0.988105687112138,0.9603853863727,0.621522583133688,0.45227179491323,0.416070314038866,0.380966274616408,0.330237753724571,0.29080806819948,0.234809369711375,0.14935162194962,0.0775109412086481
"[5,10)",0.917623837385145,4.01873665289674,1.57086406746306,0.410358145249017,0.256837432631178,0.323365386060492,0.555410757566927,0.700718022327872,0.531492732081838,0.342195836244315,0.289985130452018,0.310083618858951,0.331395878928148,0.338948242406393,0.310185694361453,0.22667401202356,0.139124603647263
"[10,15)",0.30519551278999,1.43528156243479,5.7589541306977,1.68007882350594,0.47613763899675,0.325409903048342,0.368010799862406,0.476656806967181,0.484001490435448,0.344882361170348,0.219169102155444,0.173642751739087,0.175659715210178,0.184528911742071,0.17009873300949,0.12790015476877,0.0900250930879544
"[15,20)",0.168274701216768,0.347200292496877,1.55577999067506,5.11903702783534,1.63760078846125,0.630661184824446,0.475496306376598,0.46354635217193,0.510166109565266,0.494913730447988,0.345532650233806,0.200208470124085,0.145264634612069,0.144333202540624,0.143901212805268,0.117502653640768,0.0955442092624636
"[20,25)",0.185163719975714,0.199095943989014,0.403959760760043,1.50035872159503,3.26378632477315,1.24766306493887,0.6753486602344,0.519474138517137,0.477747388273541,0.532991352998873,0.525560349205665,0.353464541882538,0.20373456115268,0.15680288684188,0.157308884023551,0.141595700567885,0.120298766265733
"[25,30)",0.333876579003698,0.215745337265077,0.237618447243792,0.49730974176948,1.07384380135357,1.61816166456459,0.815380312519647,0.521252097555269,0.412619855459379,0.410937496632398,0.489341561135418,0.476045024160048,0.321798344891803,0.195442187786082,0.148439344166297,0.125853629291921,0.105574180800877
"[30,35)",0.476421361772581,0.295681106814968,0.214422991920472,0.299184721487969,0.463802663209327,0.650611328067429,0.891714371647987,0.53477715728931,0.371962125318326,0.324059904215126,0.343637235936375,0.396177412571668,0.37652571600647,0.257329892800835,0.148455047451968,0.0915340414764662,0.0702778984857574
"[35,40)",0.349424095312026,0.281495887737289,0.20957335514097,0.220092331386368,0.269208399539707,0.313854741707133,0.403545331554889,0.578417571225195,0.369151301476636,0.276280526946572,0.247815156636675,0.248099385587919,0.276286171520985,0.265387784096279,0.173972843045244,0.0826319838858406,0.0450873216497025
"[40,45)",0.167797259540455,0.158433399577032,0.157905628174621,0.179739691455804,0.18371458666233,0.184353609496587,0.208275815460086,0.273920822941866,0.371086913987682,0.239198298789333,0.18192603610692,0.155954139500377,0.155492352724977,0.180348128669357,0.167656040489259,0.0904166206577183,0.0341910421021594
"[45,50)",0.0950872637911125,0.079436303684576,0.0876227318851718,0.135786559686984,0.159610102798061,0.142978978208867,0.141305907281523,0.159648857549764,0.186274318052704,0.239627165297274,0.161355944464857,0.12257133009752,0.108051591808801,0.111827134626108,0.121402986670697,0.0912802667605918,0.0384438785892186
"[50,55)",0.0718045429375532,0.0552563738607359,0.0457075013100725,0.0778177589040142,0.129188885660767,0.139756130281769,0.12299786735242,0.117545430207996,0.116292604785405,0.132448582699838,0.201678291234324,0.144852160381026,0.111533846989295,0.0987653957900066,0.0941260895972795,0.0853146348831234,0.0582389643524225
"[55,60)",0.0542536343932144,0.0487576302986557,0.0298828438415387,0.0372073885035447,0.0716977500455033,0.11219252123335,0.117015714676132,0.0971092696218206,0.0822642725896431,0.0830248994835599,0.119531423279414,0.201195235460125,0.141308788308721,0.110264390244947,0.0970156520717083,0.0841305561546241,0.077039025648261
"[60,65)",0.0376298512176131,0.0416940750588556,0.0241880531586051,0.021600813751924,0.0330664716438421,0.0606824571698082,0.0889841375369239,0.0865281904964675,0.0656276516555627,0.0585617576654388,0.0736422874965291,0.113066161038083,0.166729441208372,0.123130065926202,0.10344717690633,0.0806496316394153,0.0623212455544769
"[65,70)",0.0248319641208694,0.0319565191348988,0.0190410985839295,0.0160833052764686,0.019071113152308,0.0276182723809968,0.0455729385110665,0.0622842504661694,0.0570411549967096,0.0454181010091877,0.048867963142731,0.066114633599388,0.0922705167828319,0.142894525305273,0.108760114674044,0.0659293236502628,0.0386541899756079
"[70,75)",0.0134442027821424,0.0196093345912684,0.0117691113231559,0.0107519818470011,0.0128289245205928,0.0140650807819556,0.0176289632551482,0.0273774998945997,0.0355558353695691,0.0330617743087247,0.0312280205728197,0.0390048968138381,0.0519795475809544,0.0729263819682227,0.113230367692697,0.0562924447163254,0.0295481098281812
"[75,80)",0.00502418260600226,0.00841935195112223,0.00519935537861546,0.00515831172342688,0.00678457905096801,0.00700639775319638,0.0063863142225215,0.00764005254693177,0.0112661568466892,0.0146052678848579,0.0166300600453815,0.019873159894322,0.0238095989799586,0.025973439963772,0.0330739412487116,0.0397903901350685,0.0192396889261612
"[80,Inf)",0.00186878081333705,0.00370357170056476,0.00262290098143326,0.00300610511932566,0.00413117790367288,0.00421237133365591,0.00351419854971917,0.00298773783702234,0.00305337217496597,0.00440858996018734,0.00813624107327718,0.0130425896958124,0.0131863834636153,0.0109140845077737,0.0124424363859857,0.0137891637738947,0.00413121587591428
