"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.0073002687235818,0.0121311775564143,0.00914285073839908,0.00941330758650358,0.0188222471989059,0.0411558831129053,0.068232659984939,0.0831084701117755,0.0859559382941334,0.0812185988234161,0.0627969549236687,0.0346569721862253,0.0142314393648973,0.00545528116935368,0.00241410592285271,0.00130942657714359,0.000960284808747991
"[5,10)",0.0104889294674415,0.0238812776626683,0.0185578553087406,0.0148915514959801,0.0315908710594172,0.0603143826079985,0.0819972579900976,0.0874467028185713,0.0873443103814079,0.0858767605891935,0.0737100554119764,0.0482876113231841,0.0243558851422461,0.0111381466460108,0.00550249794810512,0.0032503788439256,0.0024794049609633
"[10,15)",0.00691530988627141,0.0162341515211729,0.0490318776911816,0.0412176046690299,0.0565253211006281,0.0780597234511861,0.0865589097466526,0.0839584729921316,0.0824951349156672,0.0830021084555628,0.0742738851288647,0.0525685817704904,0.0305409572726911,0.0167997212868276,0.00962869087304188,0.0061152792637683,0.00473909670731457
"[15,20)",0.00641224921605087,0.0117322115461436,0.0371211033471665,0.158520283173462,0.203509149839254,0.202511380505372,0.19420961097169,0.178687542985131,0.173206814325832,0.174072536700193,0.154959083356965,0.108395877011824,0.0640389442685499,0.0379888863833073,0.024815345814213,0.0173437264228015,0.0133870707672556
"[20,25)",0.0118018629830401,0.0229093354060297,0.0468589029683137,0.187324633729422,0.536194277255979,0.538662383742696,0.471028995634071,0.41698244013724,0.391213197003424,0.380899673355129,0.329309022692145,0.223278548389743,0.128735285299005,0.0768182834099654,0.0541360235452554,0.0423876836629653,0.0352811820956717
"[25,30)",0.0234038488781637,0.0396687066383583,0.0586884110997627,0.16905835971637,0.488531884095197,0.791111758482526,0.7267428522283,0.620937142407905,0.558391220028259,0.520826739944775,0.435767330180697,0.289052033236284,0.163889792059312,0.0964894649499362,0.0693281153551695,0.0587710129001836,0.0577321571572871
"[30,35)",0.0330492405756284,0.0459346388575465,0.0554307740670058,0.138093029486075,0.363862860314184,0.619005618942405,0.744286362920684,0.654792771479696,0.56261741489155,0.503591635593338,0.409890420186532,0.268408083602358,0.151251589250927,0.087964026866648,0.0624094056484141,0.0542570247879716,0.0652192672043113
"[35,40)",0.0310282976129882,0.0377596442471166,0.0414426172886622,0.0979351954740637,0.248285485372587,0.407666419772057,0.504716328008514,0.56300913947936,0.497258656808628,0.432582560261694,0.346005048930067,0.224095254219849,0.124952038603745,0.0714805145342549,0.0496721687416996,0.04308376237249,0.0632087551227904
"[40,45)",0.0228121890199082,0.0268100417641405,0.0289460559075532,0.0674819939788833,0.165586709965122,0.260599931329826,0.308272698880067,0.353476680509618,0.38610637378014,0.347576249444228,0.274904256201037,0.174930751593249,0.0949959459130058,0.0528267745128669,0.036130868933652,0.0317111159380751,0.0569761566204566
"[45,50)",0.0152145063502911,0.0186058630955162,0.0205570826080043,0.0478701168799777,0.113797803062006,0.171569579303672,0.194765351402227,0.217049464679315,0.245336061805816,0.265293008730186,0.217144295058076,0.134060179214847,0.0699411617013749,0.0376427422044936,0.0257067785166925,0.0235149762788878,0.0497316209752704
"[50,55)",0.0087746971772712,0.0119122029648024,0.0137214395804649,0.031786480778335,0.0733868230313958,0.107076177815974,0.11824754653057,0.12949807957874,0.144738457638063,0.161971872654152,0.16346803230504,0.103530057037979,0.0519893717316882,0.0274808441477396,0.0190683009310996,0.0182010227845466,0.0380986197000128
"[55,60)",0.00379605017308338,0.00611714595349068,0.00761267992130921,0.01742954084084,0.039004007449419,0.0556752267808536,0.060697071118979,0.0657447873265018,0.0721965445874062,0.0783860443274512,0.0811548028144592,0.0646082320137802,0.0339661293138074,0.0180777080076073,0.012694660305018,0.0119009505966606,0.0191896436882302
"[60,65)",0.00122553371804335,0.00242578412341227,0.00347719516087364,0.00809566368236911,0.0176805162651342,0.0248183543995281,0.026891015438181,0.0288208724319075,0.0308241020078665,0.0321519195307511,0.0320403649629967,0.0267042982768125,0.0189661215384557,0.0112022298746862,0.00750882878973086,0.00608911301684691,0.00608595814893655
"[65,70)",0.000361687172266226,0.000854084209529477,0.0014726109549646,0.0036974676776537,0.00812271975132355,0.0112496887019901,0.0120407041909203,0.0126937802636112,0.0131971145154061,0.0133227797194265,0.0130392461355169,0.0109425366035912,0.00862470023536006,0.00860217937360678,0.00585998755260561,0.0034998112260469,0.00193922548944333
"[70,75)",0.000123759913876954,0.00032625363598547,0.00065262078956357,0.00186756559786068,0.0044261989809596,0.00624996681178212,0.00660548242268696,0.006820624464407,0.00697928618987321,0.00703507869248984,0.00699587629750215,0.00594160032825445,0.00447012266911866,0.00453110789363925,0.00433210700745605,0.00187284204023352,0.000613707555618272
"[75,80)",4.77571511999188e-05,0.000137108076405951,0.000294878792157119,0.000928606099705092,0.00246557291259791,0.0037693379468837,0.00408548907981688,0.00420879935490247,0.00435790451625029,0.00457824925037903,0.00475072073539803,0.00396275832672286,0.00257890211372042,0.00192524460046379,0.00133240033623449,0.000234011306097171,3.86622393105338e-05
"[80,Inf)",3.24017245692447e-05,9.6758099058161e-05,0.000211413940952039,0.000663109856348191,0.0018985939809572,0.0034255514322609,0.00454333541297001,0.005712584587975,0.00724386155601048,0.00895773704285168,0.00919991376364793,0.0059114449843536,0.00238462773720481,0.000986916503725516,0.000403929768446236,3.57682597795716e-05,5.43309061103377e-08
