"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.05901348229024,0.462535003540167,0.0894280935963576,0.0444720580350583,0.057597676502022,0.095063316115107,0.122275354531039,0.123450755333891,0.119072045992616,0.111093891246712,0.0877060245211721,0.0534458834863939,0.0237519768100237,0.00718838772562808,0.00165102732075811,0.000503285798879172,0.00296283211704075
"[5,10)",0.453480194193164,4.78428015742931,0.479744787883355,0.0571131579529876,0.0662650361075929,0.139367910523253,0.22697130824323,0.231018846200014,0.212254818815215,0.231361563634232,0.226628562303835,0.139594529435671,0.0579262307148926,0.0231115331971251,0.0102351296243171,0.00501468681600507,0.00601983664912395
"[10,15)",0.0856332605816959,0.470504618172777,7.28000880143423,0.568417973830264,0.102282077987622,0.110304015406661,0.191119754013964,0.247029584787811,0.236774082842464,0.246997170594431,0.265659442465009,0.173400430647179,0.057366279617589,0.0165068034013878,0.00810497227641156,0.00623609337245599,0.00386032790445423
"[15,20)",0.0416530039700976,0.0546411359634573,0.55751569542902,6.05806028371512,0.44968274485054,0.110738846829941,0.101197399626871,0.145407092513868,0.178513719663299,0.183056082795065,0.168436729896682,0.105482666280034,0.0326882014200495,0.00674454332405663,0.00219613074807275,0.00190263301944027,0.00174556037415242
"[20,25)",0.053032731435194,0.0623229376370136,0.0983490267154928,0.442445112704235,2.01508465032077,0.286360393259032,0.0880336605263344,0.0698561406333374,0.0956645060001117,0.121102586995028,0.103099708444318,0.0536562272756165,0.0161236907895065,0.00337702399859088,0.000830103227514442,0.000527994325825891,0.000710512595003252
"[25,30)",0.0856918041320652,0.128325676051038,0.103836284842424,0.106577915876104,0.28042505043122,0.603811602590791,0.176726422805576,0.0539807938156635,0.0423026022735792,0.0627673156149628,0.0717876290179206,0.0404853396297266,0.0119875344222831,0.00289678379981812,0.000806584890689066,0.000381637118162239,0.000313435236432694
"[30,35)",0.10689038838018,0.202672642791124,0.174476441148209,0.0944517431412036,0.083581363816247,0.171405244803431,0.311796636185656,0.105726806575215,0.0356519022994996,0.0351928374180454,0.0560290839938236,0.0511501991417924,0.0193435041072665,0.00475538234811895,0.00132932415915336,0.000531875374710424,0.000182257782122527
"[35,40)",0.10211108805779,0.195187053556674,0.213382899871555,0.128412009737084,0.062754476222737,0.049532710353026,0.100049759154334,0.166224716245067,0.0685535046450011,0.0359534697346212,0.0452282352405766,0.0587258813564882,0.0336760914933985,0.00897415082766452,0.00198786305881195,0.000642765255736939,0.000160201827933072
"[40,45)",0.0884266920683642,0.161011007290686,0.183628132700754,0.141542239333644,0.0771587821743474,0.0348509258698031,0.0302870201283258,0.0615601471701653,0.0951111665818685,0.0597708343508589,0.0417288076473946,0.0391577143020451,0.0268074115538635,0.00943232385716951,0.00216642472067248,0.000648863501292,0.000201673840474915
"[45,50)",0.0730199991294252,0.155334277104051,0.169541146218197,0.128462600488052,0.086450206211258,0.0457676773766341,0.026460996988214,0.0285702013433273,0.0529057061008221,0.0796181804870026,0.0549528210679764,0.0252435146847222,0.0115332762448445,0.00539338271702446,0.00222731661865266,0.00103713536462495,0.000458710932559867
"[50,55)",0.0523050187898019,0.138055281375217,0.165451491041573,0.107248601478426,0.0667778361073145,0.0474938328632955,0.0382232608644931,0.032609521513487,0.033510148236969,0.0498620051565682,0.0627558398895852,0.0302318089033486,0.00821710382547631,0.00346599226610693,0.00263052341728912,0.00236796885506586,0.00130839337431283
"[55,60)",0.0292204054196125,0.0779587417730758,0.09900420495074,0.0615735191293287,0.031860536014199,0.0245551978068935,0.031990393430445,0.0388170357620807,0.0288280819063973,0.0209976239843771,0.0277160740156443,0.0345126792118262,0.0152762179978429,0.00466819431790047,0.0027131334756668,0.00290421227361686,0.00229501856795081
"[60,65)",0.0115850257899109,0.0288600420410205,0.0292203505590927,0.0170227283918807,0.0085412743855682,0.00648635605957552,0.0107927637359104,0.0198581950799818,0.0176067242825895,0.00855851259655582,0.0067205076905125,0.0136285734696595,0.0238572733151926,0.0104853580654315,0.00257564194644826,0.00151400396219227,0.00227278489238873
"[65,70)",0.00296282215849349,0.00973032379636599,0.00710507327137369,0.00296802489148333,0.00151171250418656,0.00132453624352236,0.00224212492735741,0.00447186106466188,0.0052350306776551,0.00338207850832391,0.00239545348969811,0.00351925745294362,0.00886068999137118,0.0134738551820465,0.00378449647272294,0.00105743839462895,0.00162602857780381
"[70,75)",0.000543429421472726,0.00344117437517594,0.00278594099118625,0.000771770155440303,0.000296744008176958,0.000294518543041408,0.000500518415476021,0.000791035908484364,0.000960193866671623,0.0011153706202079,0.00145183453755096,0.00163338314913212,0.00173810949733132,0.00302222527452196,0.00368223714632337,0.00139141208760693,0.000565669792229384
"[75,80)",0.000125688843270332,0.00127923494225746,0.00162639546455676,0.000507315326235597,0.000143209647890959,0.000105731972495477,0.000151947028814605,0.000194068609453286,0.000218203562137825,0.000394063174804117,0.000991617317916093,0.00132659523491221,0.000775196531016641,0.000640712266008488,0.00105572489237727,0.000398634067115463,4.09193949529196e-05
"[80,Inf)",0.000985750639750896,0.00204582827144589,0.00134126845949349,0.000620062973144486,0.000256739548512991,0.000115686189269546,6.93659567182163e-05,6.44389327032371e-05,9.03516378574984e-05,0.00023219211647381,0.00072993539549978,0.00139660711657596,0.00155031915637334,0.00131254471594215,0.000571786797660657,5.45139028257885e-05,3.60042442705768e-08
