"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00223344482381074,0.00359355377561173,0.00268754364102713,0.00280782509982101,0.00564673033449852,0.0122914940602281,0.0202604407373345,0.024545856191729,0.0253076800504589,0.0238324209744465,0.018406477803859,0.0102026021591352,0.00418633802937164,0.00160215555616382,0.000712619097205426,0.00038739481474733,0.000290122828628807
"[5,10)",0.0036221642482023,0.00831988228640224,0.00635869226834432,0.00523091572161984,0.0109657270648926,0.0207095411145782,0.0279735737778487,0.0297066885692382,0.0296719034660213,0.0291103314164406,0.024944344222026,0.0163810712340646,0.00825919032627954,0.00377392029204074,0.00187312984838215,0.00110889117970652,0.00085609227367026
"[10,15)",0.00282605305367798,0.00663358963247803,0.0199927993093513,0.0171953783278258,0.023374246692174,0.0320301709024968,0.0353605397814764,0.0342177504702763,0.033690825742526,0.0338459221685063,0.0302154684252333,0.0214096970440525,0.0124290449557767,0.0068359247990695,0.00393486664701485,0.00250374389137094,0.00194140907173122
"[15,20)",0.00324891080529698,0.00600484038676656,0.0189214618546882,0.0824390713852717,0.103676947750339,0.102541063912191,0.0980201948541389,0.0900486682437607,0.0874695253064864,0.0877185667095464,0.0778283697135284,0.0544484885476696,0.0320989402524479,0.0190207460935801,0.0124677756363659,0.00872906841959529,0.0066889293955704
"[20,25)",0.0073725242786996,0.0142040634654557,0.0290223116373523,0.11698592946565,0.329995576576889,0.330755536871911,0.288934132136734,0.25547761486942,0.240079563291209,0.233326722937079,0.201131312822747,0.136456554533037,0.0785186563805996,0.0468138728596123,0.033098809631897,0.0259663702389978,0.0214893438847906
"[25,30)",0.0173465403236997,0.0289957721776461,0.042987547118137,0.12506571692844,0.357516552710284,0.57415138567451,0.52701824903967,0.449587940251568,0.404692499331884,0.376986235180527,0.314754477729458,0.209021857221243,0.118298954314155,0.0695937416111921,0.0501582656768418,0.0426038616703895,0.0423381445463173
"[30,35)",0.029183271762728,0.039975053425562,0.0484372179889639,0.122020532469694,0.318760703087502,0.537901245911836,0.645768174078081,0.566898866395009,0.487278466121821,0.435842488097974,0.354286648129729,0.232333348322278,0.130685774833091,0.0759301971362762,0.0540311421029571,0.0470752036041566,0.059422866178325
"[35,40)",0.0355651014344138,0.0427027769608685,0.0471490053867844,0.112760092634775,0.283517294418119,0.461585677871141,0.570251404934915,0.636377514322615,0.562291308120998,0.489098461689701,0.390903011704905,0.253535448457554,0.141049658503554,0.0805680337684086,0.056146106182866,0.0488266752681139,0.0792816747799803
"[40,45)",0.0389805475993998,0.0453416182881122,0.0493494674579943,0.116435291183156,0.283225028752723,0.441684909237643,0.521059992709474,0.597738328149082,0.65316460749617,0.588250115537119,0.46490333435189,0.296119311680217,0.160293911484456,0.0889382640200175,0.0610264427508047,0.0537832878967812,0.112582938278148
"[45,50)",0.0399968303339822,0.0484686108364711,0.0540180596471718,0.12722756181236,0.299918138712926,0.448306166758677,0.507810747784941,0.566510344877221,0.640949532013528,0.692358523334773,0.566307469319971,0.349924170689339,0.18195899715852,0.0977578821344139,0.0670540973753951,0.0616643650532701,0.155005491991846
"[50,55)",0.0309954457913513,0.0416730507637067,0.0483873392434085,0.113265433701949,0.259410601365138,0.375570020847751,0.414187406805876,0.454307959510743,0.508269741654408,0.568227268574366,0.571020171860927,0.362332609708461,0.181503892438986,0.0958692181752457,0.0668422538628263,0.0640813509973848,0.155477605449593
"[55,60)",0.01536038934841,0.0244674990157663,0.0306532839696722,0.0708450260103103,0.157349914054175,0.222984553559178,0.24283860681269,0.263441442254873,0.289442568053347,0.31391191473353,0.32394516220468,0.257494492818959,0.135150599530146,0.0719052234562373,0.0507107035924562,0.0476742945149064,0.0840041791265378
"[60,65)",0.00538490796431902,0.0105399238917343,0.0152039686523815,0.0356834592956391,0.0773566560677779,0.107824313929047,0.116704396836946,0.125218980890229,0.133864499406918,0.139463356280282,0.138644529957494,0.115470407009082,0.0820184399053269,0.0484535583169699,0.0325626482588581,0.0263940615166262,0.0265923593108096
"[65,70)",0.00183397492328166,0.00428585471316533,0.00744151229879579,0.0188169193960133,0.0410434747184853,0.0564482788921426,0.060341784491274,0.0636510557702017,0.0660970018782709,0.0666780795707084,0.0651689468928835,0.0546711086763984,0.0431191704325725,0.0432151079522097,0.0294365836110772,0.0174824477194363,0.0090689855098817
"[70,75)",0.000732933619837181,0.00191130976950921,0.00384868546665965,0.0110822623883813,0.0260735639610257,0.0365545552026952,0.0385803571332814,0.039854830195716,0.0407501903489095,0.0410936855468082,0.0408254590439103,0.0346430045512962,0.0260365185563544,0.0264487942706466,0.0250045722044841,0.0107233464255875,0.00315644077999863
"[75,80)",0.000326929493142805,0.000928421598868001,0.00200939545215652,0.00636649582738115,0.0167838805310388,0.0254765765848155,0.0275808352414893,0.0284388207970574,0.0294680939205011,0.0310082422026986,0.0321147659629242,0.0267234977411269,0.0173165962124866,0.0128888397209829,0.00879880002718544,0.00150474051128628,0.000216609090278731
"[80,Inf)",0.000338917798468833,0.000992176781581511,0.00215677451312755,0.00675307151436582,0.0192272186897433,0.0350458098698617,0.0481926689223359,0.0639203910419385,0.0853865471802204,0.10789520521334,0.107858188365785,0.0651811613076743,0.0241504569109681,0.0092551288361286,0.00358511369117859,0.000299839506387047,3.6149302334404e-07
