"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.21304642453329,0.570023958489484,0.119779141967922,0.0595548050564377,0.0770115622136788,0.126639208232095,0.162678924887765,0.164516482317363,0.158660949021094,0.147996244491138,0.116987068011019,0.0715066447135079,0.0319384590710222,0.00967849872277222,0.00221385363577426,0.00067180057802181,0.00234708176056005
"[5,10)",0.525610214238395,4.84911971337362,0.529710974672139,0.0714578220950769,0.0833312488627096,0.175201251150099,0.28468841826633,0.290464648066807,0.266521000964711,0.290141026934168,0.284862775491103,0.176347729949537,0.0735517957965658,0.0293232721604402,0.0129355124907353,0.00633967733888306,0.00605930541609496
"[10,15)",0.103411850489372,0.501963492620843,7.36316065522842,0.614233968800111,0.123491340248119,0.13341533244172,0.230528342397524,0.298671219406176,0.286502526416479,0.2983333381006,0.32160195454687,0.211443928185276,0.0705066335836169,0.0202326334096976,0.00986157746963715,0.00757923089914451,0.00523888102314225
"[15,20)",0.0503122267598518,0.0658052261702401,0.602340156629861,6.18247623195671,0.516910872229971,0.134099684678724,0.122118063969451,0.175097922512667,0.215681692482972,0.221447531228959,0.204065720577715,0.128578041542593,0.0402355663158551,0.00829881851578883,0.00267103999816495,0.00228984321688751,0.00243808465323228
"[20,25)",0.0650989722458309,0.0767856328878723,0.120910938173219,0.517140971933991,2.17086442852782,0.349225304939179,0.108943940604692,0.0857783306641039,0.11721221493625,0.148933610094002,0.127404571245442,0.0666530667086112,0.0201895649312697,0.00423649108839489,0.00103312037050367,0.000648128015778736,0.000954048188310978
"[25,30)",0.105843881097037,0.15962049442984,0.129155885246265,0.132668736964223,0.345317271266729,0.712800756017171,0.22087257999208,0.0677063525031967,0.0524978880741584,0.0777682907379945,0.089481036823406,0.0508443985177265,0.0151614317335028,0.00366379038380282,0.00101505111519209,0.000478277950696516,0.000431654775456095
"[30,35)",0.126603772981819,0.241512177302101,0.207802405464912,0.112496376395323,0.100299839058128,0.205707636016789,0.366081567370058,0.127245271599111,0.0427345888653906,0.0419168770527638,0.0667922821525646,0.061300839694153,0.0233563714259775,0.00574702324270796,0.00160066458074725,0.000643216959350145,0.000265816236785557
"[35,40)",0.107463752020666,0.206823434762034,0.225973154311277,0.135386963017229,0.0662844986860699,0.0529156862850989,0.106841837241002,0.17658195350311,0.072747005652271,0.0379447991505694,0.0477729665466843,0.062311849715629,0.0360008649695402,0.00962568076172887,0.00212918950089811,0.00069279474054208,0.000215346911877555
"[40,45)",0.0805319742965104,0.147463186105504,0.168437056229951,0.129585034800856,0.070380601238439,0.0318817800694306,0.0278716367860212,0.0565503471615701,0.0880906108483764,0.054716112998086,0.0382272331690459,0.0361410392671685,0.0249733679780083,0.00881853082788436,0.00201557881848507,0.000603956198824615,0.000226908244945393
"[45,50)",0.0581040438353949,0.124170573361576,0.13566516251857,0.10291289019461,0.0691719759366609,0.0365309232130189,0.0211460486803421,0.0228063264982522,0.0423308705427659,0.0643581106482514,0.044129147120573,0.0203967378564462,0.00939080690208592,0.00439224733659697,0.00179890858562223,0.000833923835642115,0.000432778451733312
"[50,55)",0.0368336468586861,0.0977679352905273,0.117283368540291,0.0760536722407612,0.0474540928004991,0.033708567852068,0.027022018758395,0.0230269537721588,0.0237127231229009,0.0353939968735493,0.0450119537352321,0.0215872019827962,0.00588675772418726,0.00247086252131563,0.00186128748099081,0.00167147186945863,0.00109001874623303
"[55,60)",0.0183296723887581,0.0492756151784197,0.0627790022421846,0.0390138111368364,0.0202120442237754,0.0155938677586522,0.0201910717044812,0.0244526741848543,0.0182520075969624,0.0133172132134631,0.0175764705682556,0.0219746745472347,0.00967458734775845,0.00294870564172258,0.00170883119182946,0.00182775061285119,0.00164496949447738
"[60,65)",0.0063652294475623,0.0159789141643553,0.0162757485519355,0.00949190736198179,0.00476002096830674,0.00361528674971892,0.00598122475943066,0.0109839982494069,0.00980570722692968,0.00476702413807682,0.00372622781387616,0.0075224495045615,0.0131721232801452,0.0057820945996254,0.00142409803799029,0.00083631450132129,0.00125145547759394
"[65,70)",0.00138772112739972,0.00458311245165345,0.00336014101648841,0.00140848990521618,0.000718591873580139,0.000628531795172235,0.00105881918507949,0.00211287143921786,0.00249110562313655,0.00160407742772108,0.00112521605894588,0.00164936707703796,0.00416014421487585,0.00639879846687937,0.00178294035322122,0.000495938090678771,0.000724936548977203
"[70,75)",0.000219129622597296,0.00139569236973885,0.00113060125855543,0.000312950641059791,0.000120972014179962,0.000120210534654995,0.000203580963687219,0.000322636811462988,0.000393055314626208,0.000453529578645223,0.000585138640870755,0.000659846695235132,0.000707280964029873,0.00123086140312337,0.00151481221130174,0.000570627045064573,0.000263702038564952
"[75,80)",4.18836398713668e-05,0.000430848988005963,0.000547318426313264,0.000168986907957341,4.78020629274274e-05,3.5676877208584e-05,5.15283427962003e-05,6.61235316083281e-05,7.41841607872306e-05,0.000132426459172708,0.000330975808756341,0.000444541877333851,0.000261621581458536,0.000215643963787332,0.000359428410492593,0.000142645955375903,1.95241345383546e-05
"[80,Inf)",0.000108370511666799,0.000304971761086771,0.000280176902120134,0.000133252373796369,5.211167320042e-05,2.38463484471317e-05,1.57706304733566e-05,1.52219036593495e-05,2.06411972241783e-05,5.08970803731284e-05,0.000159849031395551,0.000296300545701361,0.000289933370712347,0.000233447215545152,0.00012301107300648,1.44594339490825e-05,1.37910751954014e-08
