"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00228264543946066,0.00368671349225673,0.00276435063398027,0.00287675681821926,0.00581758565849973,0.0126703930600134,0.0208268921675837,0.0251890046491118,0.0259729505709791,0.0244809007226853,0.0188475426951784,0.0103574571208874,0.00425399796138203,0.00164625600337299,0.000733676652777472,0.000397467301856276,0.000293176683087617
"[5,10)",0.00360867407462349,0.00823592860555382,0.0063423690367761,0.00518173172226588,0.0109571817751905,0.0207052945838269,0.0279289734555272,0.0296459298638808,0.0296121896776024,0.0290666761508367,0.0248549943447922,0.0162103070611905,0.00817138400580361,0.00376465809995712,0.00187107568510127,0.00110405195719046,0.000847057800935865
"[10,15)",0.00260870189693781,0.00611469166247282,0.0183789073999285,0.0156923619216626,0.0214593796121665,0.0294360002933811,0.0324916389593837,0.0314510987759438,0.0309615534050342,0.031113690487231,0.0277357698845855,0.019546080362084,0.0113487705856304,0.0062782648853515,0.00361570420807646,0.00229380375714454,0.00178928242289124
"[15,20)",0.00278528470992007,0.00512546293112847,0.0160999094935454,0.0703585776546509,0.088742320511282,0.0878469875511671,0.0839833189705284,0.0771907189243185,0.0749757656808785,0.0752247541867959,0.0666566047020855,0.0463954608653798,0.0273860490984166,0.0163298075351732,0.0107139688120253,0.00748651941325732,0.00581679652293709
"[20,25)",0.00649423656917024,0.0124961409024934,0.0253846485744471,0.102317437563561,0.291127104444474,0.291467167095995,0.254641059498563,0.225266730324329,0.211689606474763,0.205750774551444,0.177025310413471,0.119432627420031,0.0688107490773477,0.0412860536380512,0.0292158509167485,0.0229043871589956,0.019217386092677
"[25,30)",0.0166856570675967,0.0278564884066611,0.0410771873726538,0.119485073491337,0.34384090984385,0.551169829039676,0.505929650309148,0.431864552441097,0.388862600507863,0.362176679316589,0.301678634733535,0.199207212009986,0.112900695789043,0.0668480238169417,0.0481941824204921,0.0409024808838751,0.0405545423591753
"[30,35)",0.0303883487731171,0.0416321975654575,0.0502369109916601,0.126563717743715,0.332832516097061,0.560556690305787,0.672047035992361,0.590452078691417,0.507951834576938,0.454240417646128,0.368279012289393,0.24015765601498,0.135280425984224,0.0791198186664849,0.0563106460381655,0.048995496875248,0.0594103377975041
"[35,40)",0.0388015380534126,0.0466546289687813,0.0513384120812906,0.122810804462048,0.310849140964968,0.505163853075581,0.623361472065371,0.695066605091219,0.614941784751669,0.534819213582562,0.426285322217446,0.274932782338446,0.153177542569687,0.0880959171873485,0.0614132121550427,0.0533259215741307,0.0785987658916081
"[40,45)",0.0400645798369199,0.0466661051079941,0.0506093454313378,0.119452094516977,0.292518623341634,0.455493573561869,0.537006080207831,0.615793886785479,0.672110591616585,0.605242241352163,0.477021462949865,0.302129446898476,0.163847291273917,0.0915956775072304,0.0628760483477878,0.0553092803269514,0.0989571658784485
"[45,50)",0.0364350835366496,0.0441956451129355,0.0490696068863616,0.115634309176724,0.27431435649221,0.40931685979621,0.463335437241326,0.516727343505158,0.583958930097414,0.630901254468974,0.51456922422021,0.3160627820028,0.164671422486986,0.0891656674465979,0.061165202699765,0.0561354543002788,0.117278366802038
"[50,55)",0.0275159522542775,0.0370710774579679,0.0429080434330138,0.100509371106076,0.231515385547965,0.334442252379207,0.368488677018355,0.404010131678934,0.45146951234575,0.504755712289327,0.507460325058148,0.319889648675052,0.160521293839376,0.0854563290064515,0.0595848095801803,0.057043582590812,0.117994701234302
"[55,60)",0.015244795587813,0.0243753820655956,0.0304857452453078,0.0705305889827679,0.157473010297975,0.222648766299415,0.242260307278962,0.262698174115159,0.288285111277296,0.312571547577472,0.322506770943336,0.255234195217032,0.134317080520681,0.0720400829759035,0.0507987165022043,0.047642352997231,0.0763181162470489
"[60,65)",0.00623900676611169,0.0122434983810665,0.0176374449302502,0.0414840470002788,0.0904043122237645,0.125736559259733,0.135978581853366,0.145839559088117,0.155782310781075,0.162272168335732,0.161257907246451,0.133838469392571,0.0952838377202146,0.0567621663211882,0.0381300777536198,0.0307931473593947,0.030672836099367
"[65,70)",0.00224234707737613,0.00523869039310864,0.00906178539669173,0.0229731255128686,0.0503759811014305,0.0691418205273931,0.0738597975024878,0.0778974624062682,0.0808799993273973,0.0816038692117123,0.0797296549261431,0.0666670450908189,0.0527164608451465,0.05286365176574,0.0360757195468409,0.0213987582430944,0.0118497408526856
"[70,75)",0.000837405092364992,0.00218179520191054,0.00437313080627781,0.0126303339133889,0.029871987573148,0.0417707516117688,0.0440492759929946,0.0455045451268681,0.0465239771905872,0.0469075706023794,0.0465839856006563,0.0393926481006166,0.0296742950255955,0.0302301594126776,0.0287273515766679,0.0123169274532146,0.00403908518056434
"[75,80)",0.000355625608255633,0.00100918981906208,0.00217478612881596,0.00691839144615232,0.0183579836046489,0.027789967857358,0.0300445118640128,0.0309736263635371,0.0320811792505886,0.0337471020424811,0.0349597728204825,0.0289611872154659,0.0187857059881642,0.0140564201194465,0.00965524069633659,0.0016514021265441,0.00027065937194774
"[80,Inf)",0.000286029772824943,0.000844280170763143,0.00184981963281481,0.00586137141724103,0.0167954177860973,0.0300447153177834,0.0397247526795252,0.0497805403979485,0.0625878105343428,0.076878932914963,0.0788523258056104,0.0505872411176682,0.0204041058998866,0.00848760585255831,0.00345250191203006,0.00029512993621899,4.39010411269117e-07
