"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.55115956771308,0.791267361908282,0.184661709205217,0.0909686649883715,0.116495254046369,0.191585064022697,0.247027918255717,0.250085050754168,0.241165304790477,0.224752308262561,0.177793013376839,0.108820549416545,0.0484196658138288,0.014597204979072,0.00335631975410131,0.0010189865381078,0.0027594878760355
"[5,10)",0.686812876066557,4.99897562043856,0.648328057312159,0.102230744920959,0.118615262681344,0.249790208650316,0.40823019521781,0.416761131556391,0.38261157625971,0.416390602205817,0.408621316142571,0.253434245603784,0.10548224697748,0.0420055197627116,0.0185619904756351,0.00909252471381302,0.00794073490220639
"[10,15)",0.135985772128738,0.561994693334272,7.50349090905713,0.71964490332388,0.160574103783187,0.173245717712448,0.300782668502115,0.389761778743982,0.373133458555623,0.388979612155955,0.419708610315951,0.27669100209365,0.092070296495204,0.0265094985046093,0.0130051582327023,0.00997085110658846,0.00710831424687118
"[15,20)",0.0565292918074794,0.0736543437021254,0.617757702390699,6.32488236917776,0.574511136082963,0.150815204787759,0.138098303676648,0.19893912507317,0.244178354081659,0.250301988271047,0.231490612159967,0.146541481348908,0.0456751453309824,0.00941020363616405,0.00306182372230506,0.00262045158771473,0.00289463138032477
"[20,25)",0.0606359610896518,0.071580993698377,0.113496094943462,0.485235891490981,2.15771972069194,0.331163904368112,0.102459605223403,0.0814601310426676,0.111699688823399,0.141231757973157,0.120785516457786,0.0634577481221039,0.0191525750451046,0.00399895370705672,0.000982065839334791,0.000616596181426769,0.000925205058219581
"[25,30)",0.0832335328680209,0.125819283114326,0.102207453581387,0.105438710282163,0.276999390323882,0.604312875460577,0.175842687631737,0.0536051194372694,0.0420534238452588,0.0623192438563541,0.071393416575506,0.0405363630844228,0.0120223915074872,0.00289514079795251,0.00080587837517241,0.000380564943664505,0.000353947986802903
"[30,35)",0.0889020555575704,0.170335827267934,0.146994793218613,0.0799783397879051,0.0708429128135278,0.145776574270841,0.27190775264544,0.089798264094155,0.0300915002584366,0.0296907731579297,0.0472154745475198,0.0433462331168182,0.0164281612903896,0.00403229800794319,0.00113177433249724,0.000456925826597322,0.000200434663455633
"[35,40)",0.0731037970330398,0.141245469607317,0.154715858376413,0.0935816467665076,0.0457483331078608,0.0360679775579777,0.0729829832414193,0.125807327063289,0.0498172904289378,0.0259645078255741,0.0326232583059573,0.0426411782014039,0.0246196882363082,0.00656467007990592,0.00146339658663977,0.000478190073949502,0.00015946219630844
"[40,45)",0.0561975878649151,0.103370369315646,0.118072951578467,0.091564743952843,0.0500072275159453,0.0225562825847207,0.0194841257266526,0.0397329360419263,0.0635291514530638,0.0385258298936952,0.026860908945949,0.0253398639974828,0.0174905343938644,0.00616621886050753,0.00142185339578396,0.000427849008652727,0.000170805166892977
"[45,50)",0.0414664890868432,0.0890695256394756,0.097454819955171,0.0743148629193691,0.0500614514643717,0.0264654083865705,0.0152211984358365,0.0163878128869879,0.0305105036190673,0.0470604937448984,0.031823110593656,0.0147020996114388,0.00674261433644908,0.00314893038864561,0.00129646483071395,0.000602832940098407,0.000328386020442032
"[50,55)",0.0257048557952413,0.0684946442909749,0.0824008590537614,0.053858237981992,0.0335500605928195,0.0237586613150082,0.0189678923369893,0.016135246804694,0.0166654996552289,0.0249421388885702,0.0320515237745174,0.0152157395428839,0.00412564970619222,0.00173267787551103,0.00130598018996467,0.00117218614052619,0.000804301431772519
"[55,60)",0.0121333679058289,0.0327620347396218,0.0418937144176564,0.0262935548527804,0.013593555851005,0.0104034779999001,0.0134293827035008,0.0162647519766787,0.01212472466046,0.00888498518550606,0.0117361936938901,0.0147777980206044,0.00641145489038721,0.00195072268614363,0.00113672969052046,0.00121547453416549,0.00113718617338875
"[60,65)",0.00408844580459744,0.0103264475941734,0.0105569722203819,0.0062063272567757,0.00310700246249001,0.00233663374224131,0.00385442546113994,0.0071115915223078,0.00633777314023938,0.00308582769280612,0.00240950774914357,0.00485603445255831,0.00858133045855188,0.00373707233412751,0.000925853827016241,0.000541483935311834,0.000800478360235049
"[65,70)",0.000909824328653345,0.00303549356999505,0.00224374103445965,0.000943854688058977,0.000478863993410314,0.000415356344066168,0.000698352506423755,0.00139974376179109,0.00164931621085258,0.00106379463106447,0.000746973488192524,0.00109046798987325,0.0027588128061283,0.00425753021909408,0.0011936868068351,0.000331500701266303,0.000463215800252128
"[70,75)",0.000143571634374831,0.000920587293097859,0.000755447581728094,0.000210767563640842,8.07093569397011e-05,7.93483932583671e-05,0.000134523882012425,0.000214148555783001,0.000261010084964266,0.000300588907754692,0.000386403830932003,0.000436106004914156,0.000469041514789311,0.00081927554428625,0.00100860571332145,0.000380182931012527,0.000181595506882987
"[75,80)",2.52701438851731e-05,0.000261432077223751,0.000335780041706069,0.000104576399525616,2.93777185778061e-05,2.17235785161487e-05,3.14861246334133e-05,4.05683759401779e-05,4.55330719419735e-05,8.10294961153393e-05,0.00020106448660965,0.000270342720759796,0.000159033415853137,0.000131897292453342,0.000220415453362874,8.95788431603303e-05,1.35028435535383e-05
"[80,Inf)",4.0139684578751e-05,0.000133918716387484,0.000140409167252076,6.77574428750464e-05,2.58560054588682e-05,1.18508153487654e-05,8.10125928436421e-06,7.93507440692487e-06,1.06621213825601e-05,2.58902963048038e-05,8.09214816339605e-05,0.0001483565015845,0.000137898201953154,0.000108103807589915,6.17511782622478e-05,7.92013815297425e-06,8.57777549833497e-09
