"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.480904566006709,0.398598023986775,0.1985910794836,0.134065096785643,0.191988354657498,0.364349261781598,0.495462906181936,0.377220165528332,0.204043155919789,0.135672863415569,0.139741048817454,0.162366856588856,0.151785447810501,0.110405359885193,0.0761782621754263,0.0576369249364248,0.0331448298820664
"[5,10)",0.394857265439422,0.638970545052429,0.419702835444675,0.151969366435107,0.0997489151265702,0.173571360050986,0.383042107815988,0.508644384670698,0.342998586065361,0.171099596895129,0.114017834002306,0.117448356790861,0.132318664166241,0.122145493873104,0.0927144392384856,0.0681429583531429,0.0422151144435616
"[10,15)",0.200188970977256,0.427087953470778,0.701907076157046,0.361325382085824,0.123089527427439,0.0922212305081446,0.182367664017354,0.388582911102232,0.460149459854848,0.288649441381821,0.144761750371906,0.0962473756967148,0.0943085203156249,0.102367677610828,0.0958532580547933,0.075118271671203,0.0443631839075267
"[15,20)",0.146738975210371,0.167911645040696,0.392326655137185,0.633331704043497,0.31903811983073,0.121135410707803,0.102659590886566,0.195466212562994,0.372756570026006,0.414267196069586,0.260335194824848,0.128602182616261,0.0788658716368817,0.0716893853988826,0.0772844382573505,0.0741751378659318,0.0461800700749564
"[20,25)",0.233093681211054,0.122252796649235,0.148250548071482,0.353890117913006,0.557037014333999,0.3028128530699,0.13120805361984,0.109307746291519,0.185980900703115,0.331701522165877,0.365411783734489,0.225136858920118,0.103523586052256,0.0593852288360172,0.0549634223075768,0.0629836152731532,0.0520038370477633
"[25,30)",0.466274765727439,0.224231743096383,0.117077791272364,0.141633301597023,0.319185173567169,0.501118978536579,0.300151531267031,0.12955271260247,0.096964239239538,0.155872069166845,0.278878286910844,0.30497463211332,0.180362048239647,0.0803580011214033,0.0486952514807127,0.0495515216518073,0.0558021442147392
"[30,35)",0.635763860157618,0.496165105374991,0.232141141526695,0.12035231951193,0.138672252606194,0.300954773321614,0.476661030842131,0.282749424651103,0.111226681907046,0.0797514719657166,0.13185490444942,0.238868210761717,0.25787134024376,0.15189834676325,0.0721763682955042,0.0476181777017296,0.0514055369179127
"[35,40)",0.472272419381823,0.642845997914796,0.482615170221885,0.223583435242504,0.112717930998491,0.126741888631869,0.275876508542453,0.437042032127156,0.245502335818114,0.0945303052793041,0.0715029293098618,0.120949903992619,0.215575839920042,0.229792659721938,0.140770913446607,0.0699612883641605,0.0446333993629383
"[40,45)",0.253458793767504,0.430103195522898,0.567027128453619,0.423039463550723,0.190282156319548,0.0941180471354383,0.107673696281817,0.243580926380092,0.400003895095301,0.229419598468272,0.0941581394452764,0.0723104944480764,0.115913567943649,0.196881168284711,0.212478873991476,0.133494388560587,0.0521624923573372
"[45,50)",0.175394246076882,0.223288494317275,0.370179753262986,0.489297661463306,0.353194719107707,0.157458689626149,0.0803482398411431,0.0976103183194861,0.238763279074714,0.422961637496194,0.257725392615457,0.105650480392,0.0738638304982183,0.108848400054263,0.186845142882634,0.21157545475012,0.0955259002773374
"[50,55)",0.191125226000334,0.157420688603676,0.196411733412513,0.325309796740116,0.411643202066739,0.298046960226062,0.140541832078929,0.0781124330374957,0.103673211080069,0.27266467232508,0.501221021679438,0.298950767150912,0.111584021510702,0.0719809100549911,0.109640174516253,0.203347181362777,0.176709479202931
"[55,60)",0.218556739854626,0.159591138826335,0.128521358368375,0.158155902477663,0.249607602911396,0.320779435228491,0.25057658506935,0.130039313054391,0.0783579058129422,0.110005891802116,0.294220195496455,0.531326215338615,0.299461686624504,0.107292895067578,0.0733491416937317,0.121028882950212,0.209547946200722
"[60,65)",0.181969622276965,0.160134487058162,0.112160329780732,0.0863829655105402,0.102223901170495,0.16896233291558,0.240927926837119,0.206429215403628,0.111871046274003,0.0684980538089811,0.0978085348437379,0.266712397097961,0.494465962768604,0.279249016036853,0.104443692137716,0.0744600227345333,0.150349448249866
"[65,70)",0.10871522558254,0.121415091457755,0.0999960059242819,0.0644948912901936,0.0481640539276213,0.0618308647198762,0.116565107760335,0.180733510061603,0.156069866833263,0.0829086631478274,0.0518231172840384,0.0784881976946022,0.229362866573444,0.439854264528696,0.249774224622279,0.0924434648262376,0.0816507139661068
"[70,75)",0.0574224822433485,0.0705493935537,0.0716765955918079,0.0532246972749331,0.0341247166100723,0.0286822684001383,0.0423995488684715,0.0847551598870066,0.128938117643952,0.108945767516507,0.0604263839343148,0.0410751460543238,0.0656695982959049,0.191204587060434,0.353430828331595,0.192239494224426,0.0565147227951112
"[75,80)",0.0323649901766578,0.0386269724061407,0.0418446417281565,0.0380542602447691,0.0291304134779307,0.0217424086618715,0.0208383226232143,0.0313786889169947,0.0603465374530622,0.0919004439685685,0.083486993341022,0.0504890130621721,0.0348761939811696,0.0527169988898341,0.143207707164885,0.251279993208945,0.0816549583655509
"[80,Inf)",0.0269650189189631,0.0346695267837512,0.0358036441353259,0.034324938431499,0.0348469449950791,0.0354741341101109,0.0325919348426312,0.0290032868232812,0.0341631523365625,0.0601151207009272,0.105111629419275,0.126648929330257,0.102027681168845,0.0674597469919576,0.0609951966275103,0.118302199533935,0.166384112901861
