"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00750248122180696,0.0123262930633259,0.0092818136653869,0.00951383799986991,0.0189586354769707,0.0415994819271399,0.0692473691260482,0.0843331497822919,0.0871342070265095,0.0822399579257466,0.0635417130373402,0.0350957093681201,0.014420699899721,0.00554527662320911,0.00246515570468363,0.00133822761562449,0.000971959143444391
"[5,10)",0.0111973127860307,0.0255156364240785,0.0198201144701944,0.0157406113842751,0.0333334962351013,0.0638831036146981,0.0870591136454423,0.0928015776125159,0.0926957648814098,0.0910700767171134,0.078100799376382,0.0511717499843477,0.0258189696406752,0.0118385832084447,0.00587222377506661,0.00347041581731859,0.00263264156188548
"[10,15)",0.00754790032012071,0.0177426362106392,0.0532741085543154,0.0445460510637891,0.0611101696220363,0.0846538244699401,0.0940010490616653,0.0911465529348523,0.0896182954673389,0.0901121806226809,0.0805483943359292,0.0569949538690159,0.0331054032870799,0.0182370726325385,0.0104828222200364,0.00666001100245484,0.00515664163206225
"[15,20)",0.00664762182189918,0.0121073982716165,0.0382759917954988,0.160919602998325,0.208378529608628,0.207919345085724,0.199567520339933,0.183585137895318,0.178150135725963,0.178977990529745,0.159177788106615,0.111357659682259,0.0657997988343947,0.039086229638246,0.0255719768217242,0.0178697215760238,0.0138309734037278
"[20,25)",0.010883347069748,0.0210646840485071,0.0431395471015389,0.171197657967421,0.491851369733342,0.494539201707926,0.43223345545572,0.38247206507916,0.359224910589231,0.349758306715732,0.302172504676633,0.204913738667381,0.118176736981739,0.0706321388107005,0.0498349590129231,0.0389869967430794,0.0325133728935124
"[25,30)",0.0193384106125985,0.0326917027643381,0.0483933991696956,0.13833026251681,0.400477550663368,0.652588977082902,0.598826623171497,0.511208769342913,0.460065460113823,0.429156315559209,0.358852981446804,0.238055112869949,0.134985037889427,0.0796049808309703,0.0572773691766892,0.0485166959991703,0.0473990865018184
"[30,35)",0.0262265853803779,0.0362970552644113,0.0437802121988918,0.108172727617366,0.285168432528148,0.487872925188483,0.587970581841817,0.516563555029535,0.443949089024072,0.397357438482126,0.323231654719859,0.21167598104557,0.119283083069932,0.0694826892668145,0.0493668628884485,0.0428766064917487,0.0504720657922579
"[35,40)",0.0260402722448949,0.0315443249173242,0.0346094053483293,0.0811286345279225,0.205727106171734,0.339556961729614,0.421145814702169,0.470193967474789,0.415320206861843,0.361297906054844,0.288831418178322,0.187068303221736,0.104291117849545,0.0597474377359579,0.0415754111264687,0.0360152065524219,0.0505672254842358
"[40,45)",0.0218499265294263,0.0255882078196766,0.0276353307463374,0.0639347398815669,0.156917846896008,0.248169309209879,0.293938175818787,0.337285103249435,0.368474070509266,0.331787244885771,0.262271964240044,0.16686375411795,0.0905741494645065,0.0504321697083679,0.0345421764005063,0.0302794906568021,0.0507664184538216
"[45,50)",0.0168320783190372,0.0205186718180823,0.0226801045681769,0.0524256638807467,0.124700300148171,0.188945919167266,0.214732479458282,0.239482128345609,0.270802863385237,0.292702403077161,0.239464692958491,0.147805005254314,0.0770779785803889,0.0415469828027587,0.02841705518808,0.0259564921078064,0.0504428222930722
"[50,55)",0.0107684064410248,0.0145702390878687,0.016786343168056,0.0386068557615024,0.0892055883555207,0.130820626218833,0.144633179473498,0.158522076924252,0.177248713334279,0.198280107587324,0.199806978978839,0.126558270996887,0.063544404618284,0.0336515206978028,0.023383010717356,0.0222739475747474,0.0432217222275459
"[55,60)",0.00494841360895418,0.00794256753125348,0.0098822324152541,0.0224709539651719,0.0503300824770422,0.0722032299585653,0.0788034219364039,0.0854210637781683,0.0938237268714707,0.101823083613499,0.105295541025048,0.0837454018096944,0.044038050423825,0.0234844568487108,0.0165119105699279,0.0154482794341034,0.0238083890706878
"[60,65)",0.00166305853021343,0.00327777230214336,0.0046949045513048,0.0108601346073014,0.0237409332384317,0.0334868249970674,0.0363213162378474,0.0389512427415029,0.0416547144627117,0.0434306818567656,0.0432420216387504,0.0360194694709793,0.025592145344885,0.0151488844899061,0.0101690327546163,0.00823637821487887,0.00816659507332491
"[65,70)",0.000507072428647884,0.00119169520401561,0.00205073053827415,0.00511516924763465,0.0112510676521447,0.0156586446384255,0.0167758652178214,0.0176937084819512,0.0183904830454718,0.0185622837814753,0.0181576213718371,0.0152305411391288,0.0120117487780992,0.0119880826089742,0.00818963218160309,0.00489693789718746,0.00277989166639152
"[70,75)",0.000168578676704037,0.000442058312092474,0.00088154237849516,0.00250271867518259,0.00593658906331982,0.00842574849843419,0.00891364518497749,0.00920762531568286,0.00941990851220641,0.00949472721460687,0.00943552768911641,0.00800836105683425,0.0060299920015123,0.00612457419727085,0.00587924157103027,0.00255588052750774,0.000875871788398914
"[75,80)",5.9789031846459e-05,0.000170683573355886,0.000365909065536362,0.00114261196223341,0.00303428180173843,0.00466283336679842,0.00505793759128851,0.0052111100399894,0.00539484288256314,0.00566607956659655,0.00587213736338149,0.00489507874128769,0.00319085169501944,0.00239259586693716,0.00166983591467473,0.000298613679448658,5.23261109390641e-05
"[80,Inf)",3.28810187299333e-05,9.80409853151723e-05,0.000214521534544058,0.000669637009660721,0.00191603693741454,0.00344932702748476,0.00450826942974649,0.00554012012107932,0.00684876843325886,0.00833761368450347,0.00862793376817388,0.00571235643414876,0.00239561532245895,0.0010284385444611,0.000433290840093133,3.96208856588536e-05,6.59708927662366e-08
