"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",2.11713190962052,1.12190894438571,0.409437418223378,0.243330278356105,0.292131481322642,0.61725862125159,1.10102744579757,1.06040907637379,0.687234705395957,0.501835306586136,0.461268119527108,0.421814236289942,0.364873558086316,0.320606049596082,0.257942595900398,0.163463414769855,0.0849165948129937
"[5,10)",0.960009724379202,4.18855058748544,1.64927246833618,0.430167936390523,0.268595926949285,0.340467545000932,0.587175206692818,0.734881331134945,0.555455015179249,0.359070374741273,0.304481378704252,0.325616524991521,0.348021080367118,0.355892163142337,0.325072340665289,0.237072903668542,0.144469583385982
"[10,15)",0.294656560611351,1.38708467226661,5.55196174660381,1.61930628053037,0.456527489030379,0.312512505966016,0.35617255306912,0.461397114561812,0.466035581330963,0.33218630223826,0.211606959743732,0.167842550254543,0.169971842020324,0.178539446518051,0.164235299396025,0.123250802765438,0.0863697885772753
"[15,20)",0.145903864426405,0.301432903034471,1.34918361093442,4.44800729391534,1.40903541531065,0.541491728759947,0.410058360284092,0.401768556110865,0.442385552512477,0.428162217459392,0.299100769642726,0.17331482363556,0.125825485939857,0.125189608314834,0.124554181416679,0.101465658665942,0.0824716108198562
"[20,25)",0.1486255279855,0.159696886978992,0.322740447846886,1.19554607127343,2.62690701350258,0.994015092351391,0.539796069258173,0.416193367067822,0.383994631283918,0.428124234554172,0.42251391505825,0.28441603646192,0.163573359664348,0.12587898136372,0.126337676167759,0.113506820830243,0.0964254105403536
"[25,30)",0.278028341263096,0.179217164425523,0.195596338397574,0.406764543364258,0.88003477356571,1.33042089643141,0.670389861898602,0.429624832773029,0.340882104696587,0.33920299425391,0.40369039596536,0.394579730602331,0.267266296138725,0.161811471621633,0.122583191305223,0.10376903463481,0.0868639786547541
"[30,35)",0.450723134600474,0.280906243837329,0.202601925817432,0.279954036603273,0.434336545885424,0.609280443887427,0.835908466838998,0.502901314556434,0.350556614836929,0.305479191055303,0.322724978537854,0.372112802995021,0.355391393476898,0.243220508250048,0.139751614779159,0.085883863687143,0.0657450648732224
"[35,40)",0.385583002524307,0.312279616575801,0.233126011536639,0.243640648545369,0.29745724379127,0.346826215003832,0.446699545213864,0.639466151362079,0.409941082629988,0.306728483215728,0.274709407462571,0.274065915712519,0.305243932650575,0.294191252735606,0.192684141771551,0.0913599638458016,0.0495874963358775
"[40,45)",0.209231123561381,0.197629637697943,0.197156770037194,0.224621590109066,0.229790096133966,0.230411155732257,0.260715988555825,0.343240244878636,0.463404772732277,0.299897046790098,0.227737940375209,0.195007188118981,0.194085512802063,0.225299212852349,0.209046370227488,0.112439287675553,0.0421592135744722
"[45,50)",0.120986857957262,0.101166922404878,0.111283331953892,0.172153035356156,0.202876502025403,0.181557735955519,0.179906523851884,0.203369887269035,0.237480508710858,0.304897923808591,0.205485735718421,0.155920433205828,0.137358118204312,0.142311974357144,0.154363698606163,0.115424315815615,0.0478357507077104
"[50,55)",0.0853116165890898,0.0658108420724573,0.0543821150665,0.0922574870207716,0.153596280584004,0.165760575276175,0.145806071129113,0.139728121278903,0.138346735844307,0.157637459243971,0.239390888614618,0.171773188421509,0.132235420877422,0.117114302664293,0.11173847983226,0.101120922442705,0.0679237890612418
"[55,60)",0.059281641877599,0.0534795083048983,0.0327772470729912,0.0406222577985347,0.078566611108678,0.123115251903476,0.127750290968884,0.105927707548334,0.0900178024313173,0.0908918697945826,0.130526783239547,0.220011623572921,0.154271741741158,0.120374085471598,0.105831119968616,0.0918587805099392,0.0837066392142503
"[60,65)",0.0391216234295178,0.0436075819616138,0.0253234499959048,0.0224994784521176,0.034472438140587,0.063620454525037,0.093082851263033,0.0900071628493054,0.0683512391115885,0.0610874256793579,0.0766597760789465,0.117696044960127,0.173946620731806,0.128232216246171,0.107726411903999,0.0838817217027042,0.0648916189539855
"[65,70)",0.0261260878872394,0.0338924585489114,0.0202166070348534,0.0170137602764434,0.0201623356757674,0.0292745396222512,0.0484162509294908,0.0659307447657789,0.0603033086337471,0.0481024424892524,0.0516009711455352,0.0697969878867053,0.0974597610335529,0.151365171760286,0.114874509836537,0.0694331515248875,0.0408618602310733
"[70,75)",0.0153798950486811,0.0226512567223424,0.01360718304561,0.0123856263948122,0.0148063544046515,0.0162270406809093,0.0203552028796949,0.0315959802819524,0.0409403671288479,0.0381767097538922,0.0360228717723442,0.044899831117569,0.0599070623698305,0.0840526298789747,0.130409069909199,0.0647310319927231,0.0343751469110286
"[75,80)",0.00642489403964861,0.0108895341109699,0.00673141821992214,0.00665110554358288,0.00876904528350613,0.00905505879870092,0.00824603685263541,0.00987544960235997,0.0145158437294788,0.0188176647069776,0.0214897663208095,0.0256901764821237,0.0307495144011271,0.0334895729796767,0.0426704897728814,0.0510003909539952,0.0247901602300839
"[80,Inf)",0.00274619081287923,0.00546004897291916,0.00388124815215733,0.00444807370324782,0.00612935233193254,0.00623671577993338,0.00519385226913974,0.00441027709041114,0.00447826136364985,0.0064167297391537,0.0118769604947767,0.0192618969325123,0.0195727690711944,0.0162163684310457,0.0186445710738174,0.0203972712250037,0.00576918702680794
