"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.690331960663027,0.359748217382539,0.130592962696834,0.0775883772675016,0.0929013783784038,0.194498464494592,0.347771093657264,0.333854286849367,0.215530837632414,0.158200707065436,0.146315534721016,0.134645733791917,0.117268853200089,0.103733042717375,0.0839123821130468,0.053296104840608,0.0276618346136151
"[5,10)",0.389265184649794,1.71063478571229,0.663929883380673,0.173327541361681,0.108235063238896,0.135904188747485,0.233712737687268,0.292247765048305,0.219902392015444,0.142397934025704,0.120970007526048,0.12930494620351,0.138293012018119,0.141392618726577,0.129018259236311,0.0938859660098731,0.0532618275643516
"[10,15)",0.149974835694893,0.704650760017533,2.81145266102909,0.821772467296822,0.233300048050144,0.159304677721693,0.180350478509456,0.233179897498276,0.234815822231746,0.167189809895874,0.106600851075751,0.0843325662239993,0.0853039593139428,0.0895359914586853,0.0823113461255619,0.0616834035212583,0.0407418855142605
"[15,20)",0.0939665262341862,0.193997962071589,0.866621520651987,2.8388142843204,0.912000739015115,0.351240246467125,0.264670703066235,0.258370449500517,0.284322467000418,0.274842831080736,0.192051842630253,0.111160527198966,0.0806434663732016,0.0802780387571885,0.0798759184490279,0.065065707075634,0.0511338117254865
"[20,25)",0.114630978140374,0.12342436560748,0.250666356561688,0.929177163527302,2.00248512585676,0.767308128629858,0.415179363659456,0.319303968584448,0.295258535528949,0.329713357676001,0.324504927091788,0.217901667594609,0.125333482283449,0.0969008908346039,0.0972062732127983,0.087224547214867,0.0714538258634033
"[25,30)",0.229411338287925,0.148144192705477,0.16361706935368,0.342079045191026,0.73348064766057,1.10147340026118,0.554240367226319,0.354685560116328,0.281946337416125,0.282149659870014,0.335663793869575,0.32633542420521,0.219858995892679,0.133612855491661,0.101609306728308,0.0859055980714422,0.0685999001143749
"[30,35)",0.394196221440116,0.244824257766517,0.1780072351468,0.247712740323163,0.381394911354138,0.532621174999591,0.731430966254469,0.43845670819946,0.30641539368789,0.267892485164463,0.283605152609008,0.326640002138903,0.31080442744648,0.212461139039364,0.122499533396285,0.075065172590056,0.0547534777807266
"[35,40)",0.394158621477187,0.318873449341954,0.239721264604348,0.251872301596148,0.305519228733875,0.355024953976627,0.456690330360977,0.655870688736714,0.420062184204034,0.315059901977789,0.282224021314428,0.281227183139474,0.313339972184407,0.302247158253179,0.19885995700993,0.0938739129024402,0.0478596223616873
"[40,45)",0.2761801987125,0.260415099660953,0.262006374565831,0.300827681449703,0.306623715425978,0.306302736623832,0.346397480578392,0.45591369084829,0.61453810115888,0.39849349488004,0.302677109616766,0.258990525228899,0.257811693578776,0.299288046111849,0.278521598422537,0.149942991544795,0.0507570512400777
"[45,50)",0.214867310001743,0.178738744419879,0.197730247660471,0.308226402050252,0.362926456213671,0.324894796893904,0.32099885383939,0.362444060244195,0.422376786613526,0.542361911301819,0.36709110515528,0.278342433473711,0.245270218365491,0.253797589244111,0.274488099331093,0.205599209626206,0.0754059561520019
"[50,55)",0.195110136044353,0.149080276119084,0.123780275430837,0.211461528958208,0.350696028449731,0.379485503653758,0.333644933191243,0.318764020168596,0.314982082493629,0.360413730541208,0.548500664924987,0.393867988907945,0.303002324273353,0.268385647880717,0.255552961090678,0.231128918540871,0.140158255706754
"[55,60)",0.168447345436053,0.149499520469836,0.0918688478165446,0.114827436242563,0.220928776360794,0.346128286296671,0.360513861469554,0.297998993657103,0.252855456075543,0.256382906779464,0.369515675326306,0.621486568694943,0.435463511407558,0.340588702196877,0.299750570300513,0.259703669942311,0.221547316411366
"[60,65)",0.140519761575102,0.153146843368275,0.0890072319360706,0.0797898061719596,0.12171440822979,0.223357358559931,0.328566246858689,0.318021479335471,0.241087235440097,0.216390214443445,0.272277210832074,0.417094941254375,0.615144236036166,0.45587445869835,0.382886607165893,0.296741211594538,0.220266571261286
"[65,70)",0.118862212301065,0.14972920487183,0.089335838736644,0.0759533516300061,0.0899859324841144,0.129800461490415,0.214776727997189,0.293342403058864,0.267628858868946,0.214117546492451,0.230619797945676,0.311950263066301,0.435930471118806,0.677837736497764,0.51411478570469,0.307933675041357,0.181269376595711
"[70,75)",0.0799440315911832,0.113596319816543,0.068284334319944,0.0628346727572879,0.0750541046489746,0.0820719557833088,0.102961640704742,0.160469782483876,0.207078854469776,0.192540275709455,0.182579292783203,0.228269790467836,0.304421586828131,0.427457949156732,0.659127633834027,0.325673326143416,0.181237197717243
"[75,80)",0.036701837506054,0.0597511275887485,0.0369881020435659,0.036997126017542,0.0486800730816973,0.0501551002474711,0.0456049359320615,0.0547549246863209,0.0805815076689245,0.104244188444504,0.11935956646953,0.142954835920329,0.170535766625957,0.185064377707076,0.235404376186402,0.279709659701187,0.134194585104209
"[80,Inf)",0.0240869149660311,0.0428616959444614,0.0308917636119003,0.0367647708852384,0.0504249928988688,0.0506436479404371,0.0420622918677221,0.0352984303237245,0.0344916095839591,0.0483441494344271,0.091522840434909,0.154203815261354,0.160064146937644,0.137752011055135,0.16564851298207,0.169684765485686,0.0334281907576461
