"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.3934731284977,1.15887471235438,0.581798111940472,0.390606511152928,0.556519985304981,1.05701153872606,1.43929618877761,1.1065247263369,0.600511277349885,0.395951299489373,0.405961817914467,0.472530679187013,0.441363153727828,0.320429654186012,0.221586288223306,0.168209269169713,0.110952247398822
"[5,10)",1.04338170118614,1.68374697658136,1.11680409324114,0.405875437551358,0.263808687514564,0.458143860743861,1.0069262687622,1.34616557629075,0.917525462802635,0.456800003851548,0.302018723212411,0.310862632428753,0.350447075378347,0.322728494352057,0.24512171370068,0.180881446407478,0.124440494777474
"[10,15)",0.455192088239907,0.970493575766508,1.58740631964823,0.821340540287152,0.278019497820143,0.208536806962035,0.411301364441231,0.874702803854561,1.04379293086176,0.656725782866936,0.327767086206643,0.217661535546173,0.214159137288349,0.232396435698836,0.217054386769638,0.170615639341354,0.111216843230801
"[15,20)",0.261437360184981,0.301727025610495,0.702633793299154,1.12955496232699,0.565255784121574,0.213999831964817,0.182561270404564,0.346880891088594,0.663199393256832,0.740025465505065,0.463632503897621,0.227961008781648,0.140468664037679,0.128603462135366,0.138533806343275,0.132826871060906,0.0916089159347683
"[20,25)",0.332633346875544,0.1751327569152,0.212391864663969,0.504779680499226,0.799890590607603,0.432454415641952,0.188078821581156,0.156280037434223,0.264730172854266,0.474493890594212,0.525076444422398,0.322159446829277,0.14752662565027,0.0850484711954624,0.079029795731412,0.0903205127868408,0.0813731306350716
"[25,30)",0.579553946084476,0.279003261878027,0.14614180300079,0.175307057419853,0.39670662592231,0.62496229526675,0.37585024536922,0.162942771198048,0.120702214757198,0.192829166351738,0.34704625504527,0.380515894778502,0.223691634681168,0.0995041491781346,0.060662396581859,0.0615820220734991,0.0723268054362114
"[30,35)",0.674670086953212,0.524242494122482,0.246421747242636,0.127856189716568,0.147501403996159,0.321323122696097,0.506823216109012,0.302671055015927,0.119261735197697,0.0847793044471379,0.140157496634533,0.254945866838297,0.273342416000719,0.159531767357802,0.0761670167973367,0.0505584986366773,0.0543867843552232
"[35,40)",0.394766065100736,0.533421407352688,0.398856625801698,0.184897438472089,0.0932818553833794,0.106022892613475,0.230360652758106,0.363125399036321,0.204360150355787,0.0784135479876729,0.0593184435967879,0.10128947785191,0.180365084527954,0.189504005291786,0.115324223135727,0.0578799739967527,0.037376983911659
"[40,45)",0.15500810373251,0.263053831383062,0.344369904056458,0.255769753371288,0.114327750477567,0.0568243315713856,0.0656739412038705,0.147860019660971,0.242108705785036,0.138198943019165,0.0564335005418344,0.0437939288783199,0.0712262118256123,0.120414494842142,0.128072158892343,0.080499014950531,0.0345955324613444
"[45,50)",0.0777374654959051,0.0996111545411947,0.164797369024202,0.217073644585504,0.155859833806192,0.0690473776494437,0.0355088963192274,0.0431520089947241,0.105113885549451,0.186373631255997,0.112837734764177,0.0460831033288633,0.0327240873591112,0.0488723677107116,0.0831746292748726,0.0933996016773492,0.0492409996637917
"[50,55)",0.065161718519302,0.053843648271368,0.0672434959118008,0.111186752336664,0.141008358200676,0.101596925169325,0.0479934967245756,0.0266881456209373,0.0350922403567693,0.0922514275679403,0.170592947873705,0.101058935108456,0.0376147460756289,0.024604386101856,0.0376358324483525,0.0690892297636789,0.0691817305857765
"[55,60)",0.0638929950082631,0.0466858238119229,0.0376168588222422,0.0460527569944475,0.0728801211940095,0.0938386820602796,0.0735410678514565,0.0383891837964044,0.0229405543824732,0.0317377656577014,0.0851315640966937,0.15506510909101,0.086844030450642,0.0310972371134562,0.0213992098977848,0.034935831518937,0.0641070433545289
"[60,65)",0.0501186203616036,0.0441996411851991,0.0310825932032583,0.0238316610820456,0.0280277620440684,0.0463274757671374,0.0662168904277582,0.0574085811280566,0.0313335530683262,0.0189270082847623,0.026610548526197,0.072932276259076,0.136110968473417,0.0767208343935896,0.0288602703109168,0.0204268497354842,0.0382904122410579
"[65,70)",0.0299427021479763,0.0334956855978118,0.0277565417026332,0.0179548912196891,0.0132965747627527,0.0169584181941273,0.0318027141644543,0.0496361391020592,0.0435917015463438,0.0232612508327663,0.014323972607004,0.0214910115901794,0.0631347657314995,0.121359427445924,0.0693980540024245,0.0259443225865674,0.0200678476128673
"[70,75)",0.0154350055468362,0.0189643936650899,0.0193245806053906,0.0144175512194212,0.00921021452637836,0.00770671559261245,0.0113185181999602,0.0225167525558998,0.0345609285248719,0.0295097939149567,0.0163327040517574,0.0110239798288969,0.0177035869513398,0.0517312426177827,0.0950446622363275,0.0524495567149321,0.0162314987139489
"[75,80)",0.00736132128708755,0.00879211058282583,0.00954338159704931,0.00868487596176465,0.00661313248284777,0.00491525049091528,0.00472018193295434,0.00709995321269025,0.0136478166516216,0.0208191152241064,0.0188368751493336,0.0113071641694809,0.00787234665884222,0.0121503809802985,0.0329521506164535,0.0572265133806861,0.0227507465115197
"[80,Inf)",0.0036354948746325,0.00452879260644956,0.00465774383560173,0.00448473727029615,0.00446090975349356,0.00432227681809817,0.00380171481420677,0.00343283553479076,0.00439151344450494,0.00821799154124559,0.0141224977438627,0.0155349530403286,0.0110487829469373,0.00703671462560288,0.0076352304151483,0.0170340232464735,0.0250773885989154
