"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.728375516885033,0.383412165501427,0.139376245290353,0.0825947838961594,0.100315877386616,0.2112695873356,0.372919450135996,0.358039524826895,0.231338423823444,0.169357634531732,0.156275942499714,0.143306867599819,0.124543940287965,0.109825017313978,0.0882515777587357,0.0556263223887452,0.0290960472339512
"[5,10)",0.369850994838911,1.6134630198189,0.63092570354289,0.163360485966683,0.102650064265107,0.130886811749297,0.224141368670846,0.279690444797321,0.210590309093058,0.136066810020723,0.115855653759143,0.123990647927256,0.132450258691462,0.135405783874886,0.123250357245903,0.0893319551142819,0.0527890194994544
"[10,15)",0.124982664273103,0.58651393611427,2.34348228130428,0.673596183884335,0.190860575949596,0.132285578435521,0.150669341030347,0.194777348226321,0.196271274263245,0.139337336596938,0.0887044760559197,0.0705901870439711,0.071522427661581,0.075081216227944,0.0688493796767713,0.0514080871444619,0.0353834076127761
"[15,20)",0.0732773076543987,0.150246027174164,0.66643144917047,2.22073977078723,0.700445055830669,0.273514807064541,0.207480214021549,0.20236525777941,0.222588829255478,0.215516422009394,0.150219760763097,0.0870846603252848,0.0632496415799609,0.0628816052770796,0.0625149692993686,0.0507974148379308,0.0412461905088338
"[20,25)",0.102076303764107,0.108281330326434,0.21657607168316,0.803364156196024,1.74395700101238,0.674789738939798,0.367975602784079,0.282831342005406,0.260108817126721,0.290437255416026,0.287241356065008,0.193938559122485,0.111909269449838,0.0858409600548066,0.0859027364688436,0.076948847948207,0.0650383715345992
"[25,30)",0.254275212063636,0.163305957217817,0.177549120034211,0.37104877368756,0.798142158929579,1.19100409710199,0.60794725734759,0.388748636992533,0.3082410152668,0.307203538295676,0.365964756667493,0.357258106200993,0.242781883656283,0.147059761176415,0.110811954382199,0.0933428535088927,0.0771544231052656
"[30,35)",0.477857093973776,0.297744754811349,0.215301409837786,0.299669681892456,0.463390118161197,0.647264614165668,0.884409611556067,0.53252203702385,0.371156901405152,0.323918527323416,0.343058654772911,0.394926241111025,0.37638713293556,0.257486769346813,0.147243456780035,0.0902563623117533,0.0684138704888204
"[35,40)",0.452269758210549,0.366254782133249,0.274374665453931,0.288128121912226,0.351106485229058,0.408007752345157,0.524953890809875,0.751286316104001,0.480996600971961,0.360280512116842,0.322810190800161,0.322369765276249,0.358927522397723,0.345756764033281,0.225104190891581,0.105958523863866,0.0567677336344291
"[40,45)",0.284720427349298,0.268688039266464,0.269380763202862,0.308785811692001,0.314608657114832,0.31520582878972,0.356488391648133,0.468647478993291,0.632283851134488,0.408870877161004,0.31062194528223,0.266158941235944,0.265180679308249,0.307875679006783,0.284768970822459,0.151644264391455,0.0544564198317654
"[45,50)",0.204390260840898,0.170234162899774,0.187526179589609,0.293169579519796,0.344470855141601,0.30804530295193,0.305076113839119,0.344214858551563,0.400932020060847,0.515356218840853,0.347808446908985,0.264307507906303,0.233109670904451,0.241128972417234,0.260780126280263,0.193727822179113,0.0755336769783533
"[50,55)",0.189641932741728,0.145746648146629,0.12004021466065,0.205471896290428,0.342557874033687,0.368989891309744,0.324883476512831,0.310115094617337,0.306269342771899,0.349725220227117,0.534298547534923,0.384154349898657,0.295690551904594,0.261595585128772,0.248699611255854,0.224538092645864,0.14423372715667
"[55,60)",0.171943306378421,0.154221988109427,0.0944499180538157,0.117772271018174,0.228679469167778,0.356150305332916,0.369786676702418,0.30620057129968,0.259470791209469,0.262767924962602,0.379823454743937,0.637750309775133,0.448197450412844,0.349688574311286,0.307117907706918,0.266047630960404,0.237108793769307
"[60,65)",0.138938348153787,0.153176251695176,0.0889776146959505,0.0795317823596501,0.122690328842101,0.225034323910675,0.327681026459087,0.316985731578819,0.240364626001948,0.215478727415852,0.271828339024605,0.416726041619994,0.612687857698037,0.453088114817869,0.379870860877224,0.29381589163864,0.225671406784317
"[65,70)",0.107658207018396,0.137601185455526,0.0820759926035992,0.069478846462147,0.0826961267131799,0.11977679207862,0.196978024688608,0.268318100261542,0.245216895759455,0.195857334102102,0.211316800493944,0.285699206542927,0.398133757636078,0.61902202695912,0.467036336979593,0.279292153885443,0.166441533643016
"[70,75)",0.0751676516266552,0.108826782215806,0.0653954477917247,0.0600171879596991,0.0719051907784173,0.0784202237831317,0.0978726857504108,0.151783830131986,0.19707444627376,0.184046505719397,0.174558645902134,0.218019517346379,0.290031357514825,0.405801187042843,0.628186534107241,0.308732063501682,0.171174630408832
"[75,80)",0.0407787912881402,0.0678890821193713,0.0420266165125139,0.0419738424764387,0.0554371458523999,0.0568549173360542,0.0516355519434752,0.061492666111275,0.0903252421510879,0.117676726258718,0.135644373356265,0.162553051268246,0.193076648986134,0.208865578614216,0.265721828427888,0.313277738157895,0.153755096724843
"[80,Inf)",0.0277902208763565,0.0522685796263979,0.0376874404576113,0.0444042936384938,0.0610481354911019,0.0612282423675648,0.0509940099281897,0.0429232882392748,0.0422606562456748,0.0597782522575191,0.113522667080525,0.188750189456673,0.193212407568627,0.162171245481455,0.191950346507334,0.200324250226736,0.0443774181472114
