"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00632022237342257,0.0105291052755381,0.00793503996247575,0.00818415893320712,0.0163881209456246,0.035843774024932,0.0593867075350895,0.072233042505541,0.0746427511198015,0.0704931041075714,0.0545822507240857,0.0301444942275645,0.0123210673134811,0.00471602892375538,0.00209140156925825,0.00113418526383643,0.000833261562127891
"[5,10)",0.00901680432907586,0.0205390748757004,0.0159498276930503,0.012847376940028,0.0272656593714814,0.0520252227606671,0.070663085345891,0.0752771795372828,0.0751997238950473,0.0739051120869108,0.0634931220578848,0.0416230722497305,0.0209205294174921,0.0095543910591609,0.00472844993804296,0.00279301694373526,0.00213414347011621
"[10,15)",0.00595923707485289,0.013987379667429,0.0423192893347037,0.0356613610556104,0.0488912344459684,0.0674580086601362,0.0747346165959704,0.0724426398923312,0.0712324754814669,0.0716437812105327,0.0641550204078396,0.0454356594833576,0.0263272526411417,0.0144704497627318,0.00830568928585934,0.00527491238370026,0.00409543939207843
"[15,20)",0.00565346989406346,0.0103632104669581,0.0328017790387649,0.140700306901692,0.180088174727102,0.179034591862249,0.171566326396926,0.157797475820626,0.153094241361638,0.153795960539504,0.136994851278069,0.0958767749365495,0.0564911661793903,0.0334939993188288,0.0219085528090924,0.0153130178047025,0.0118405607009693
"[20,25)",0.0108281777710344,0.0210368661772626,0.0430145788028319,0.172254423686728,0.492532957213113,0.49445924336502,0.432208699485766,0.382498966647227,0.359146756908041,0.349601400341467,0.30247873673011,0.205187649785288,0.117971772144142,0.0703685393994652,0.0496586864669572,0.0388947317220586,0.0324345747549521
"[25,30)",0.0226506945129495,0.0383902166789944,0.0567622711635934,0.163781073564756,0.472903006834936,0.764662104045738,0.702144370397894,0.599624802131506,0.539570357506109,0.503292679665767,0.421493898954788,0.279723582400395,0.158147128433008,0.0930726091986596,0.0669614755026226,0.0567908830828963,0.0559118407624941
"[30,35)",0.0343823539392571,0.0477724789008461,0.0576138137708217,0.143792879786974,0.378715993303805,0.643287310419247,0.773164766425609,0.679726329018837,0.584351911916481,0.523215003281965,0.42633991812752,0.279311479959122,0.156940078275812,0.0912300491203756,0.0648074292156792,0.0563669426527903,0.067927982170437
"[35,40)",0.0360249087834308,0.043839858451449,0.0481082661565175,0.113926827660266,0.288716119056872,0.473237092882878,0.585537502229197,0.653170021847625,0.5773194738817,0.502546447062112,0.402478913811073,0.260777347133151,0.144954811897707,0.082868740099788,0.0576568622793103,0.0500364467132395,0.073578769194507
"[40,45)",0.0303185251793862,0.0356677326277353,0.0385262666378063,0.0900198447288581,0.220783272383366,0.346817277107011,0.40996666445512,0.470185962504125,0.513419429944313,0.462619617379464,0.366393349138148,0.233221747561878,0.126217506853306,0.0701312019089828,0.0480341664098502,0.0421986924805947,0.0758650475559594
"[45,50)",0.022240608240375,0.027227848669769,0.0300979543722682,0.070243141292574,0.166934835014744,0.251277062824598,0.285124053011633,0.317913705120293,0.359338405898396,0.388248130347264,0.318266294425515,0.196580047943712,0.102208728293955,0.0549786628018776,0.0376097098030601,0.0344392539577206,0.0726847820313641
"[50,55)",0.0129410734285925,0.0175786033501457,0.0202538674737577,0.0470199407405864,0.108539419677363,0.158140228472477,0.174593672519051,0.191335260437115,0.213868099108412,0.239171531029563,0.24132097792841,0.152928106086476,0.0765387506385972,0.0404428023375878,0.0281100917660136,0.0268549560841163,0.0561476152527603
"[55,60)",0.00539670469722888,0.0087014896621094,0.0108311842604876,0.0248480916800046,0.0555962697367959,0.0792468379592563,0.086370031976437,0.0936102778130486,0.102794354696827,0.111547557236829,0.115475300659281,0.091998167002917,0.0481938912107927,0.0256415324886899,0.0180370659943222,0.0169251096526408,0.0273286716897613
"[60,65)",0.0017321349061306,0.00343435256318206,0.00492830275590088,0.0114966919437338,0.0251006674578277,0.0351825166525418,0.0381084153310745,0.0408600636072071,0.0436850208373283,0.0455429693544651,0.0453832810802365,0.0378446700766634,0.026843997490085,0.0158547131216616,0.010640683586281,0.00862562084132699,0.00862248412820788
"[65,70)",0.00053777007293474,0.0012722193758223,0.00219715479378242,0.00552899437265234,0.0121443000806015,0.0167947779747257,0.0179684957024475,0.0189471513471216,0.0196884269305437,0.0198707526438616,0.0194510275679647,0.0163321550626641,0.0128601245488996,0.0128470911510142,0.00875710918868481,0.00521924498308775,0.0028894889372233
"[70,75)",0.000191476084011452,0.00050551578989375,0.00101253779393837,0.00290368679074247,0.00688091381665054,0.00970139818093977,0.0102483876154196,0.010584275354031,0.0108269699643475,0.010913826975158,0.0108547670913792,0.00922406487229441,0.00692968116210345,0.00703100978218911,0.00670354391844766,0.00289144832099826,0.000947926353928581
"[75,80)",7.66356891511413e-05,0.000220373546019304,0.000474592392452922,0.00149784483146468,0.003977513207268,0.00607236539408742,0.00657847437913084,0.00677901424006063,0.00701981436837413,0.00737565809428154,0.00765336898306419,0.0063878970010459,0.00414575895232176,0.00309267710536677,0.00213395567368402,0.000371967745593245,6.13706694653845e-05
"[80,Inf)",5.43511897570582e-05,0.000162551185611808,0.000355702293228266,0.00111804413091366,0.00320191426031753,0.00577116784449833,0.007652970902677,0.00962306111064633,0.0121828530986558,0.0150269615005538,0.015446858230382,0.00995693282461526,0.00400061470472123,0.00165283146859919,0.000675344235102183,5.92436081485665e-05,8.9886126436146e-08
