"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",2.28692330258504,1.21171602027218,0.442050386049103,0.263069238752806,0.315699186863362,0.664964260217247,1.18870654906929,1.15010099123611,0.744344548587938,0.542791719288842,0.498938688054192,0.456152542003866,0.394576032244586,0.346537216455646,0.278909547962234,0.177609001792907,0.0923708876155682
"[5,10)",1.02713740387857,4.48766402034421,1.76380600395279,0.460702000903915,0.287894196552549,0.363851168855081,0.626936177482238,0.787973025034951,0.595994994293089,0.384575568326296,0.326359370082307,0.348990035326425,0.372961026149874,0.381457220131066,0.348656805598243,0.255211073777503,0.160944997295918
"[10,15)",0.317395941536658,1.494007290707,5.99264009505047,1.74951308132874,0.494030930572002,0.337631250796038,0.3835984421399,0.497231228091421,0.503283251991471,0.358342961745372,0.228309649556078,0.181124325282942,0.183320184425152,0.192613788627667,0.177308764839225,0.133500698516617,0.0957781858672117
"[15,20)",0.159549300919639,0.329622797720986,1.47778902403853,4.86725993247421,1.54767325943723,0.594492692621244,0.449305794399836,0.439500100533037,0.484029281773984,0.468479024367439,0.327176465836914,0.189801248475446,0.137767528627195,0.136974732326407,0.136364615030472,0.111371644851036,0.0911808622402458
"[20,25)",0.161377806549108,0.173610329143325,0.351718239134987,1.3044420381528,2.8612093926548,1.08457290846939,0.587906179063766,0.452865439567453,0.417396269233075,0.465555257350266,0.458854398031962,0.308880672838643,0.177878339812721,0.136775017037137,0.137296834213043,0.123586696111603,0.105791620553595
"[25,30)",0.28633673725222,0.184831014639335,0.202484512417697,0.42208551768763,0.913623317441245,1.38165917516011,0.695234721202336,0.444979165355179,0.352581364179433,0.351173559795936,0.417903235209912,0.407644369795285,0.276068564071,0.167089409407135,0.126783585700825,0.107593938299144,0.0913766969851406
"[30,35)",0.426110923505399,0.265120706873777,0.191511673764758,0.26556154955738,0.41227375803469,0.57876291798878,0.793903710276725,0.47666052060171,0.331792567228379,0.28915006196378,0.306063547690323,0.352868878349009,0.33649495897451,0.229865484983457,0.132222946362252,0.0816760763861906,0.063447617753199
"[35,40)",0.331901051305177,0.268260238182778,0.199848757026503,0.209125403289933,0.255665121283506,0.298217798173248,0.383737128191992,0.549771575501437,0.351394882891615,0.263057478330967,0.2358559473105,0.23567209684285,0.262428251294465,0.252545195110501,0.165266338651879,0.0788457118351383,0.0436933629354782
"[40,45)",0.168398627958314,0.159066766926977,0.158579637236158,0.180555754579606,0.184732264806638,0.185244414697724,0.20940313403179,0.275478252444208,0.372708008478553,0.240736035753863,0.183037953024849,0.156823865228676,0.156066746685947,0.181167266805619,0.168226251837586,0.0911173438128609,0.0357850714194988
"[45,50)",0.0974816042415446,0.0814785796797043,0.0896311023980352,0.138725010770586,0.163564987415517,0.146464541415362,0.144865420590537,0.163707077866576,0.191102347568267,0.245620467287531,0.165624354017197,0.125715718133179,0.110740876856654,0.114621692941781,0.124387477654309,0.0936046349204702,0.0414988717460978
"[50,55)",0.0705403473941774,0.0544325656168876,0.0449557332650982,0.0762689263285683,0.126909743732669,0.137210510018689,0.120712990518037,0.115548575266356,0.114384460192348,0.130384257042993,0.198040212622174,0.142246406372347,0.109489186169152,0.0969169041261402,0.092434049749671,0.0838038023491127,0.0594347858360391
"[55,60)",0.0493852937700763,0.0445731035235475,0.0273108192343527,0.0338814329248168,0.065419607151981,0.102492060087371,0.106574397688698,0.0884144109221251,0.0750473150354501,0.0757857701802125,0.108927724718354,0.183378597389467,0.128710860743896,0.100334859930232,0.0882204873269938,0.0766281089118423,0.0715551546834261
"[60,65)",0.0316462497267793,0.035288021207417,0.0204772786426454,0.018218540389201,0.0279089997632473,0.0514197236027681,0.075287365402112,0.0729339081414685,0.0553270341519151,0.0494549825927845,0.062111549508943,0.0953496716925706,0.140827921048559,0.103687111286893,0.0871428551013996,0.0680804321447449,0.0531364311564982
"[65,70)",0.0201543039408655,0.0261719490288946,0.0156018356872886,0.0131351048534559,0.0155616037923384,0.0225677403814286,0.0372944042824232,0.050896085451565,0.0465728823459686,0.0371189160627836,0.0398682378436373,0.0538991886443911,0.0751884525693473,0.116764146562725,0.0887037782958087,0.0539218447004564,0.0315466511027072
"[70,75)",0.0115412886094102,0.0170200711642629,0.0102186030515314,0.00930395867716578,0.0111142739707076,0.0121835873681668,0.0152633456004244,0.0236975078100071,0.0307694796378917,0.0286601280666457,0.0270540623842133,0.0337188558715146,0.0449605023401712,0.0631124612867534,0.0980309116216335,0.0489929425211122,0.025187814804992
"[75,80)",0.00445377649973787,0.00754979685227257,0.00466248437037135,0.00460482618895878,0.00606268247548965,0.00626574162639718,0.00571360615077561,0.00685123515536821,0.0100995020177582,0.0130698723381118,0.0148640362731627,0.0177485963153372,0.021286006980454,0.0232493205901538,0.0296897164797981,0.0356565121441509,0.0172889813160198
"[80,Inf)",0.00141168218483467,0.00290169395003415,0.00203863196218233,0.0022976330746693,0.00316288019675896,0.0032430862924141,0.0027050115595237,0.00231390028232432,0.00241734796148654,0.00353141414662865,0.00642468894484453,0.0101007866946242,0.0101251776034959,0.00828966840459941,0.009302536634096,0.0105367766941157,0.00364407357462297
