"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.94573588611728,0.411984653499332,0.072461290930339,0.0360990112630372,0.0468208072758316,0.0767735079567887,0.0984889290313617,0.0994915006239131,0.0959464543463842,0.0892683515160668,0.0703166178060457,0.0429798974331675,0.0191520008296403,0.00574964016343699,0.00129811844851056,0.000398408969958447,0.00166119968427814
"[5,10)",0.372271775429057,4.68876714222206,0.431542289714337,0.0422020232062911,0.0495489285208531,0.10406524359869,0.168814261544209,0.17154985711476,0.157800335979233,0.172131259862393,0.167895309655329,0.103586318312846,0.0432013494361202,0.0171791954792516,0.00753164295015324,0.00368823502937266,0.00382254759081348
"[10,15)",0.0606292940271408,0.407431860751229,7.15737726879711,0.487677400939265,0.0724961659050883,0.0785786329980006,0.135968026919866,0.175691948414576,0.168304077015297,0.175908615064107,0.188802906881987,0.12335410129945,0.0410151692905711,0.0117431474085474,0.00574418560672008,0.00442879003238864,0.00297713051699561
"[15,20)",0.031332264777484,0.0409093857831909,0.503068499523176,5.86956787628165,0.364348965851462,0.0836841926560835,0.0759897878234397,0.109137728503414,0.134193578603279,0.137585851939877,0.126217286498702,0.0790895846568643,0.0246513032295056,0.00505353188800329,0.00163079671742126,0.0014192302203302,0.00145772815912837
"[20,25)",0.0448025534676702,0.0529530942694874,0.0829091501843374,0.398884159459583,1.88768215547317,0.245524793269319,0.0746326376643983,0.058817959066866,0.0806303053921267,0.102052161864354,0.0866512507307129,0.0451960806855329,0.0136505419637551,0.00284751024822256,0.000693653037644347,0.000443536683100042,0.000646602891920906
"[25,30)",0.0778151055312304,0.11780166722945,0.0951876380881929,0.0977236040523669,0.259848449231122,0.56457051227317,0.162327302246711,0.0492938406429049,0.0387042417609764,0.0575455091627402,0.0655350688109653,0.0370728797682146,0.0110386162357111,0.00265445432321704,0.000732671839885245,0.000348618228811712,0.000311713065554189
"[30,35)",0.0991838945009587,0.189869882425931,0.163649277819187,0.0881683052493385,0.0785450216014728,0.161292325215166,0.294716639278603,0.0987192985578917,0.0332616964390471,0.0331465288257202,0.0526454128034124,0.0479899819033114,0.0182493854155254,0.0044642894107031,0.00123591429346554,0.000496564198487208,0.000195734330477842
"[35,40)",0.0974822871844323,0.187725511197383,0.205738298463103,0.123202113594904,0.0602262483091563,0.0476518603003378,0.0960547278343983,0.160312910894492,0.0657140963467063,0.0346774956513528,0.0437225690526021,0.0566086922111043,0.0326585550265594,0.00867727349849803,0.00189831087123255,0.0006164642941514,0.000180769551235665
"[40,45)",0.0922297596182948,0.169411651457944,0.193357195621838,0.148620048962323,0.080998426433219,0.0367069402153622,0.0317492009813888,0.0644725045088156,0.0995265350688387,0.0629828938469437,0.0439920710045523,0.0410632359541416,0.0281716349393888,0.00991987099441048,0.0022581137437487,0.00068142824887812,0.000246503664606056
"[45,50)",0.0863940993151074,0.186054217844916,0.203468522509085,0.153413600554861,0.103215496570883,0.0549471887586526,0.0318545063518508,0.0342526804880283,0.0634111306139616,0.0948761400380755,0.0658398918199556,0.0302533235529712,0.013762751145189,0.00642683427867944,0.0026557968730739,0.00125008383680683,0.000629757160509103
"[50,55)",0.0695396448196199,0.18544121528019,0.223155053982808,0.143812571885573,0.0895540974523605,0.063943400593332,0.0516988982816891,0.0441306615935914,0.0452591878034617,0.0672778971391477,0.0840063451106155,0.0409401463289908,0.011167710402586,0.0046774346864001,0.00355311632711723,0.00321033134331752,0.00200743267505192
"[55,60)",0.0406053442878669,0.109298304757795,0.139281992704874,0.0860876070843135,0.0446225852946949,0.034555853116735,0.0450209511959663,0.054583479293943,0.0403579266357612,0.0295327812151858,0.0391107734417799,0.0484035859858369,0.0215792365279316,0.00656491410989902,0.00381228485303055,0.00408738701089303,0.00355964262683398
"[60,65)",0.0155903285357863,0.0392763963505904,0.0399033336365116,0.023119823706059,0.0116125377918031,0.00886549980537592,0.014751480737932,0.0271330335544086,0.023856735788218,0.0115760343288333,0.00919243915263151,0.0185938212746897,0.0323705701489559,0.0141899568881664,0.00346452100885942,0.00206183148182359,0.00315335193793356
"[65,70)",0.00381637468416295,0.0127352175504529,0.00931576251992231,0.00386463844759427,0.0019752031392972,0.00173833338721512,0.00294244897097153,0.00587832911943354,0.00684974207440851,0.00440778980128152,0.00313937776293311,0.00461234268556165,0.0115706370659374,0.0176431076599556,0.00489203727145753,0.00138128922894284,0.00211400130140911
"[70,75)",0.000724247619798945,0.00469305543266615,0.0038302293038563,0.00104827710857705,0.000404437276985494,0.000403301399052147,0.000684711098432371,0.00108093694440401,0.00131061888680042,0.0015310206322268,0.00200450750176104,0.00225133579112998,0.00237451456847293,0.00411201233596088,0.00501324269564396,0.00191056866234609,0.00085112785284434
"[75,80)",0.000188501449586261,0.00194893511612694,0.00250434543734046,0.000773645414454365,0.000219306377641497,0.000162735818583274,0.000233295976472415,0.000297682829304668,0.000335400397908389,0.000611136411881517,0.00153589296281482,0.00204697964739631,0.00119838851366617,0.000984600089875417,0.00162022790106332,0.000601593240398066,7.40475044166017e-05
"[80,Inf)",0.000847028805156387,0.00217681963921627,0.00181425266606985,0.00085636005626086,0.000344548301369597,0.000156811829000906,9.91036391636725e-05,9.40723278249443e-05,0.000130754779722027,0.00033178969075954,0.00103500591991663,0.00192116610705318,0.00197518449853899,0.00162394474967507,0.000777854535237484,7.97997001330649e-05,6.79871976119566e-08
