"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.380752575252744,0.315275598336794,0.157016109645748,0.105949538917603,0.151697458073688,0.288147767336103,0.391928802520454,0.297915111560608,0.160664314080841,0.107212954914293,0.110356644983095,0.128285884331189,0.120030647847045,0.086959905797746,0.0599095264862679,0.0455189019884808,0.0277012200867575
"[5,10)",0.321890164750469,0.521293179910046,0.342307994858849,0.124120028909781,0.0812635794991221,0.141395719807061,0.31190259871133,0.414478203588492,0.278308204930347,0.139232835401348,0.0929982676121252,0.0955740142427064,0.107776979522867,0.0993145541391866,0.0751505936109103,0.0554474077358569,0.0359180064278079
"[10,15)",0.168761449742803,0.36035348684998,0.591858678660936,0.305283224704544,0.103818146158526,0.0777550812750937,0.153627499505754,0.328112186195988,0.387343766494565,0.242873322008754,0.122495464270437,0.0812312320023292,0.0794677486175596,0.0862892866677965,0.080546104266316,0.063196547257429,0.0388938454875799
"[15,20)",0.124791497109605,0.143189259572567,0.33454907204511,0.539051267429686,0.271109495807834,0.10294121062063,0.0874044176492404,0.167021733184877,0.31854635042695,0.352259657902249,0.222206235574992,0.10982708917714,0.0671169740352444,0.0610614239818526,0.0658494081425723,0.0630613988800135,0.0408992498789073
"[20,25)",0.198956895316963,0.104390094636054,0.126684921442703,0.301883583832148,0.475697536848309,0.258511826368757,0.112137149402318,0.093467831589914,0.159704892085255,0.283688797094209,0.312489264683312,0.19319784969446,0.0884690709829664,0.0505664835745723,0.047034175769077,0.0538395556193776,0.0459811658416713
"[25,30)",0.40901799308955,0.196583050101039,0.102689703393155,0.124059635856417,0.27978657947736,0.439554769637802,0.263553251128452,0.113416491432515,0.0851186070539478,0.136891492675014,0.243896209154922,0.267900594799966,0.158330235222795,0.0699777395456774,0.0425646490863119,0.0435140147573623,0.0498877549937586
"[30,35)",0.565591165583988,0.440856330356298,0.206269665239592,0.10708851502941,0.123385537365774,0.267939449048854,0.423938470980787,0.250572927490018,0.098305786089318,0.0709609496496307,0.116838751154987,0.211903390484265,0.229342671467405,0.134014049377748,0.063468977924823,0.0423128806399247,0.0458386758779163
"[35,40)",0.432938077252723,0.589953251883393,0.443635791428847,0.206072629667208,0.103565409484675,0.116113389942603,0.252331785772803,0.400961092843346,0.224315950485408,0.0867557785998051,0.0655116819005593,0.110254815823506,0.197502325359732,0.210462891073425,0.127975101732477,0.0641008001416785,0.0411146296276723
"[40,45)",0.25380433392015,0.430614124640105,0.569307815656649,0.427234503771082,0.192361049340833,0.0947276934786829,0.107612631907968,0.243840878724278,0.402184274165821,0.231733961084518,0.0956246406100914,0.0725620796371381,0.115899894226461,0.1980189249683,0.213086258060722,0.134331413941281,0.0544208960644195
"[45,50)",0.194098286584958,0.246887302516071,0.409095982092627,0.541441351298814,0.391593910736421,0.174591758933645,0.0890222195279394,0.108078571684709,0.265573361978747,0.46889766317612,0.28783984147191,0.117861954111548,0.0817550117740275,0.121028058009986,0.208114412988597,0.234269333461834,0.11247318621069
"[50,55)",0.210347482734509,0.173618636127148,0.217235002665968,0.359591277343117,0.45414364442342,0.327504088448573,0.154322873036504,0.0859259472942654,0.115379602061649,0.303050706872658,0.552241799878516,0.329704345337166,0.122515103318229,0.0794474978572583,0.122726543722778,0.225351709340147,0.205331519881343
"[55,60)",0.225158197971934,0.164297657191234,0.132648669154596,0.163656191868737,0.258541633594626,0.331249640122496,0.257721921543126,0.133159822943575,0.0806192963903065,0.114263650111674,0.303595082299118,0.547753642969884,0.306992337198083,0.109136810883087,0.0758817721347728,0.125878224942704,0.22194207721263
"[60,65)",0.181358447251403,0.15949765354263,0.111713977068216,0.0860978056584853,0.10191929567294,0.168531986958214,0.240123723423175,0.205345221495855,0.110853412968121,0.0682316051646091,0.0971172640062859,0.264279990206952,0.492705883916758,0.275301759530641,0.102706321735237,0.0743044686445137,0.14739740186642
"[65,70)",0.115871298601455,0.12961413392827,0.106975581927346,0.0690776918641978,0.0513734669929992,0.06568853384974,0.123740454550983,0.19297413130441,0.167025931525556,0.0890775867031128,0.055539019362142,0.0828550875918277,0.242784055728343,0.470780792951156,0.265715065735727,0.0992956497073248,0.0835471959598901
"[70,75)",0.074992836053907,0.0921380374962708,0.0938078961506438,0.0699825628519149,0.0448907371539884,0.0375358101302668,0.0550541369580183,0.110234141303836,0.168849478772368,0.143896958154507,0.0805978699105158,0.0541193365380689,0.0850893935099577,0.249622228688381,0.463868626744947,0.255230865583463,0.075814070396117
"[75,80)",0.0509205902443806,0.0607526952753794,0.06577577414086,0.0598934497313754,0.0459221726142499,0.0342928556838405,0.0328003749237534,0.0493437158830643,0.0951260860767381,0.14475802786892,0.132258525922867,0.080231215163696,0.0550137115363677,0.083363331039739,0.228092473131342,0.39575982515032,0.139532896885258
"[80,Inf)",0.0403552553649098,0.0512502605119347,0.0527172869816883,0.0505860327657369,0.0510740725318022,0.0511997697724349,0.0462740838563787,0.0412158568985514,0.0501865429656246,0.0905056651645553,0.156934342998314,0.184217954870844,0.142116790753829,0.0913432094447962,0.0882322034949222,0.181708884048113,0.258777390307877
