"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.92967347003628,0.358688494764309,0.0611916699420483,0.0305887174849152,0.0394721254592272,0.0656781338870472,0.0850838966853651,0.0856778991283831,0.0826577708088385,0.0771984000478681,0.0610690936770571,0.0373131827610607,0.016610132062427,0.00505271693513249,0.00116798537372644,0.000355945354620137,0.00227454140233707
"[5,10)",0.39517708556083,4.74450012172797,0.427895288708874,0.0449471365699066,0.051179547382872,0.107546920794085,0.177304621620952,0.17990526787796,0.1657101748946,0.180987022993793,0.177226493441724,0.109496138558293,0.0453172123963976,0.0180549691965607,0.00803678374201118,0.00395539845775762,0.00487252502447136
"[10,15)",0.0744394247262117,0.462331806496511,7.23784024321797,0.545401582932387,0.0902335368676036,0.0955015812345674,0.166676309177175,0.215335207860672,0.206192248818373,0.215655297620747,0.231338144923101,0.151363126375902,0.0500135778083809,0.0143188399546282,0.00701441179938711,0.00540686755474559,0.00323043829708303
"[15,20)",0.0373548718793224,0.0493778094368834,0.546753215126676,6.0148279570926,0.428868818453755,0.0994997920315608,0.0908874643012212,0.131407966404541,0.160273014011169,0.163893749541539,0.150850131985872,0.0947770757603817,0.0293803272824352,0.00605572172098123,0.00197372802346486,0.00171047225500858,0.00149429292696727
"[20,25)",0.0417119342206518,0.0486530492532503,0.0783839408320425,0.374717590837219,1.90711045882052,0.230242224167806,0.0686317541049171,0.0557544783913658,0.0769071583488509,0.0961760045849148,0.0815141022434831,0.0426694896113321,0.0128336910412716,0.00267867259067101,0.000658444144805285,0.000420887067358596,0.000544833620135641
"[25,30)",0.056114732623432,0.0826604719778463,0.0670742696949996,0.0696133098725181,0.186906999494754,0.451865853580699,0.11379056392298,0.0344263492833817,0.0278654171574603,0.0413835512272155,0.046773665527145,0.0263612132923341,0.00779852761950935,0.00188033851226548,0.00052255154066863,0.000247494283546242,0.000197408685262359
"[30,35)",0.0683905260359206,0.128207205960232,0.110131548294706,0.0598227780433939,0.0522040088968526,0.107089630032722,0.210653182543034,0.0654814470238949,0.0222211188080342,0.0222991348240967,0.0353359631477528,0.0323866948706871,0.0122909377348148,0.00301792309726231,0.00084253608319779,0.000336117326639982,0.0001086058848385
"[35,40)",0.0790170635566062,0.149258737822252,0.163251213653344,0.0992402361817508,0.0486588699008861,0.0371609625800265,0.0750948863622172,0.128875246232428,0.0521110917841432,0.0277114423497528,0.0345544257398473,0.0448620879634426,0.0259918336714773,0.0069522840197467,0.00153274810089341,0.000492096067105815,0.000115480850472164
"[40,45)",0.0940948959925585,0.169697467272414,0.192949656764065,0.149402133451639,0.0828474844746274,0.0371271688940128,0.0314702162109164,0.0642973819198771,0.0988153181297617,0.0633533210171274,0.0440697414062858,0.0406582242926071,0.0277878804761106,0.0098661677441545,0.0022864236326773,0.000685876137470389,0.000203467116756919
"[45,50)",0.100516191103636,0.211991753534113,0.230821974692866,0.174744748108233,0.118501715820712,0.0630665953666556,0.0361216154225448,0.0391232366983795,0.072457381602539,0.107235092954914,0.07495352950191,0.0343482735593756,0.0155242293681892,0.0072705725242599,0.00303829250366746,0.00142688916234373,0.000602344163438838
"[50,55)",0.0811662980584737,0.211897930656073,0.252749793665345,0.164177627520396,0.102522030072902,0.0727611536509264,0.0584282157872469,0.0497973080364292,0.0514531997997846,0.0765095761757646,0.0951030152732634,0.0463975092802437,0.0125951625440796,0.00529826161885825,0.00402508631884805,0.00362969470806775,0.00190936245304796
"[55,60)",0.045545358813838,0.120233210336758,0.151876723434465,0.094732534054488,0.0492866686054804,0.0376609381586989,0.0491812870195351,0.0593757676601504,0.0435961222751477,0.0322002335649479,0.0426117332204644,0.0527098152479801,0.0233792066605729,0.00713997481146556,0.00415495858300204,0.00444993963575346,0.00336500981087956
"[60,65)",0.0176185539700742,0.043241840435797,0.0436088261472806,0.0255192450477208,0.0128818708033439,0.00968174627442356,0.0162193565750512,0.0298938614514846,0.0258922755376194,0.0126467665742136,0.010051865953982,0.020316683587517,0.0355139628507196,0.0156280260339267,0.00384350237538758,0.00226055664039335,0.00332392497975093
"[65,70)",0.00447701489811732,0.0143914359648681,0.0104294331067228,0.00439383250943314,0.0022460188056484,0.00195003999499328,0.00332677299241723,0.00667942379261474,0.00767944241221942,0.00494771252426468,0.00353217901649612,0.00518296669291796,0.013054967112387,0.0198598880419755,0.00558426220361497,0.00155795743607053,0.00236842034231483
"[70,75)",0.000818134162650452,0.00506422756387284,0.00403894258321862,0.00113210953469102,0.000436451757989285,0.00042841055550894,0.000734221436803772,0.00116414166395281,0.00140689422179647,0.00163451526856677,0.00212132914115962,0.00238436089213089,0.0025381489308213,0.00441460823172028,0.00537784328839214,0.00202878444089909,0.00079165235833468
"[75,80)",0.000188924844255167,0.0018885991517352,0.00235906969702563,0.000743422660263925,0.000211398308689245,0.000153749893125151,0.000221946382827474,0.000283206723816802,0.00031979307793121,0.00058165874118058,0.00144951120837784,0.0019349869066203,0.00113115979598955,0.000933249489516337,0.0015372899531093,0.000579107376748904,5.5509952976505e-05
"[80,Inf)",0.00177209674516523,0.00341500596531101,0.00206892300571408,0.00095333017452525,0.000401686895613207,0.000180012948029659,0.000105268483629061,9.75554367392942e-05,0.000139253280329543,0.000360421395741812,0.00111925152722736,0.00214782099669002,0.00244144878838765,0.00208251814041181,0.000880523533661795,8.14814520570371e-05,4.94615366932018e-08
