"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00402218711318226,0.0064482171013306,0.00482750909033709,0.00500156665482972,0.0100030358627772,0.0218590746683822,0.036251447949582,0.0440024217404388,0.0453768244667815,0.04276478745486,0.0330486146261509,0.0183289800028003,0.00756092045827796,0.00291700134261146,0.00129284935735633,0.000698775168254967,0.00051521329176666
"[5,10)",0.0065814639769025,0.0150979928793999,0.0115817545477308,0.00936742153021016,0.0196499804308258,0.0373426164462789,0.0506747935629962,0.0538729945410963,0.0538062529661887,0.0528110316398587,0.0452729634678668,0.0297412019963282,0.0150572204801472,0.00692897313002285,0.0034295632603773,0.00201944557942098,0.00154412126486898
"[10,15)",0.00503168542553139,0.01182719836125,0.0354465672442982,0.0301496414302538,0.0410789139047061,0.0565753503967408,0.0626385381406091,0.0606443232937465,0.0596954768765366,0.0599831276059856,0.0535690521358402,0.0379619798204782,0.0220988446397474,0.0122112916761466,0.00701323626989682,0.00444215814103537,0.00343537471633625
"[15,20)",0.0051947874203173,0.00953232685461101,0.0300437050132713,0.128136291292617,0.163508506799679,0.162397671458096,0.155520950571967,0.142914926904866,0.138834170860793,0.139314548551031,0.123709803050784,0.0866074467407751,0.0512183535487025,0.0304598724088146,0.0199101122276984,0.0138839422471403,0.0106669863118914
"[20,25)",0.0098512941662124,0.018960104490859,0.0388141458001119,0.155038691723304,0.440100559680694,0.442051198482727,0.386087170670101,0.341366192853115,0.320914275546859,0.312153836482378,0.269325703730739,0.182838353562423,0.105549222214685,0.0631289165359259,0.0444816799569096,0.0347617220025798,0.0287963394726121
"[25,30)",0.0194311361850089,0.032522828455849,0.0482506638498021,0.13899030263952,0.399004260106665,0.646141435252066,0.592688102693425,0.505481961980885,0.455237077933125,0.424408820336658,0.354583417858172,0.235558896709956,0.133730401176437,0.0789184611590479,0.0566821698129339,0.0479884894396293,0.0471458093866571
"[30,35)",0.028954013982971,0.0396545067938837,0.0479992723957523,0.119594334058605,0.313117492862829,0.532528934244461,0.641205140519043,0.562612885584024,0.483753377304854,0.432879900938522,0.35197299229353,0.230861873356238,0.130255404194156,0.0759275708440777,0.0538370234030151,0.0467543167734067,0.0569737395776665
"[35,40)",0.0334525297317026,0.0401273652665034,0.044233587023804,0.10460880920978,0.263518696163388,0.432306361818363,0.535523629898283,0.598105648173302,0.528569052590836,0.459857153419193,0.367553467136007,0.238425613363675,0.133060767763628,0.0762698471023623,0.0529543789422649,0.0458800000645034,0.0697018908339668
"[40,45)",0.0349458012795856,0.0405985753974369,0.0441074496730188,0.102942699941556,0.250950738344995,0.394395642447145,0.466446126466972,0.535439305350025,0.584966793928638,0.526920478657533,0.416458517661584,0.265325836598425,0.144119241849545,0.0802673592009627,0.054854921645696,0.0481387201395663,0.0915384482596337
"[45,50)",0.0333236017290726,0.040318782678356,0.0448439998718591,0.10452023322463,0.246986282036695,0.37203482656087,0.422327748319389,0.471342040840288,0.533150464870872,0.575883832153204,0.471089495617641,0.291183583926581,0.151973230055302,0.081959655689963,0.055950618818456,0.0512122180692523,0.11539559853411
"[50,55)",0.0245161578912741,0.0329044939979624,0.0381261305988541,0.0883571190686889,0.202868908390415,0.295904214440961,0.326907639019746,0.358647071034334,0.401152956101126,0.448473673288815,0.451030903400841,0.28624458076893,0.143912171593527,0.0762778656715734,0.0529032789287066,0.0504950594733384,0.11104795788506
"[55,60)",0.0118328312236771,0.01881161283063,0.0235130433809969,0.053832418161197,0.119855015598737,0.171073784197291,0.186603233961379,0.202465436929878,0.222417529262586,0.241241290104186,0.249108470468637,0.198118863025973,0.104345696045029,0.0556929469806619,0.039080732991416,0.0366060592107677,0.0605519644643372
"[60,65)",0.00398051962404227,0.00776653050373961,0.0111620583194878,0.0259614529555161,0.0564233250461543,0.0792006645286666,0.0858573399472266,0.0921430829539069,0.0985203999064984,0.102675440977269,0.102132385523673,0.0850921050979641,0.060491550862281,0.035833507094911,0.0240064719975954,0.0194276305984257,0.0194172331527551
"[65,70)",0.00117884954670903,0.00274351773200791,0.00473470554565673,0.0118519036545368,0.0259052999834983,0.0358784719324714,0.0384182727494267,0.0405435937372366,0.0421211115915436,0.0425065893785107,0.0415547939890929,0.03486354766959,0.0275071735305358,0.0274214696966543,0.018690477681317,0.0111320259549026,0.00606490912458019
"[70,75)",0.000379322779432682,0.000985863892630345,0.00197419064167725,0.00562435842149455,0.0132519784062905,0.0187085894648388,0.0197769182514117,0.0204366869764748,0.0208985279525951,0.0210668826961009,0.0209239869150094,0.0177612418614608,0.0133790180847051,0.013569368898491,0.0130223576865584,0.00560424198732567,0.00178671949807423
"[75,80)",0.000145745450910526,0.000412673747093835,0.000888916931887779,0.00278810178183173,0.00736202630861552,0.0112597358538702,0.01220944260645,0.0125871836419968,0.0130374057370036,0.0137077291116569,0.0141973497748151,0.0118266065798324,0.00769683686518686,0.0057452641781687,0.00398394582453951,0.000690432003267555,0.000109837084508217
"[80,Inf)",0.000110215760825577,0.000323634782219523,0.000705083217696628,0.00219703341811135,0.00625507422043421,0.0113457528340448,0.0152597686131575,0.019613216290996,0.0254272438209516,0.0316796424242693,0.0320234464473061,0.0200647849301169,0.00789003427170561,0.00321040032233925,0.00130272282006059,0.000112654383722937,1.61837729802196e-07
