"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.0022434917948453,0.00357326888394997,0.00267079517365978,0.00278553300868812,0.00560615746246934,0.012232630428939,0.0201766424707573,0.0243692965191679,0.0251149767003776,0.0236922911920952,0.0182476960879876,0.0100136391063135,0.00413646773204785,0.00160529786957946,0.000713672746359222,0.000386752136173637,0.000287270982427548
"[5,10)",0.00374845708993097,0.00859971367902733,0.00657518378442898,0.00538455901663999,0.0112898248847238,0.0213527626288816,0.0288416282897709,0.0305801838519767,0.0305386666570067,0.0299908730637992,0.0256533636171878,0.0167135414321458,0.00846541510584074,0.00391204538444719,0.00194106437500001,0.00114563060788851,0.0008808497780851
"[10,15)",0.00293154871866657,0.0068798280440388,0.0206384411236348,0.0177075214066417,0.0240952750605112,0.033062323206112,0.0364989339555345,0.0353111076155304,0.0347639656928145,0.0349467573366493,0.0311576068880353,0.0219296239055131,0.0127761090126879,0.00708457599636911,0.00407680269726945,0.00258730119422608,0.00200840223307393
"[15,20)",0.0032871591614977,0.00605725307034245,0.0190376643584449,0.0826624493714879,0.10423853132445,0.103166218688847,0.0985933423717981,0.0906150301418278,0.0880291866326561,0.0883395432060951,0.0782808225800681,0.0544051358484867,0.0322026392006678,0.0192200386029077,0.0125918652763966,0.00879916511954774,0.00677496650916007
"[20,25)",0.0072865952454819,0.0139881317397898,0.028532163852588,0.114808809733469,0.324532476056232,0.325202889687628,0.283900493276178,0.251214268685821,0.236219233509477,0.229714470533518,0.19767524929013,0.133178325192726,0.0769643086818945,0.0462130202096546,0.0326409309329937,0.0255689624701052,0.0212583929255243
"[25,30)",0.017124227380447,0.0284943239119937,0.0421665398506572,0.122381626289009,0.350256474951154,0.56357596258566,0.516796065201106,0.441222413639609,0.397614374213895,0.370537269660703,0.308621785822177,0.203470498449806,0.115665787203075,0.0685360279578491,0.0493279844773008,0.0418411391879396,0.0414975448192838
"[30,35)",0.0307727560155312,0.0419324680134081,0.0507155502510285,0.12742441877124,0.333138087325618,0.563048184748967,0.676525725473381,0.594325278449144,0.511644645368253,0.457677743786127,0.370898538943409,0.241447999470213,0.136415689886386,0.0798402010404461,0.0567202615595768,0.0493297955635337,0.0612371494217877
"[35,40)",0.0408591558972916,0.048876448800174,0.0539387906730558,0.128746138992552,0.324064416839702,0.528460867341291,0.653360846695282,0.728544810382942,0.64510547206246,0.56124731186809,0.447112625033973,0.287852593586697,0.160861727777248,0.0925842858851229,0.0644205589168516,0.0559055612326427,0.087150870119371
"[40,45)",0.0422172018900195,0.04893503363067,0.0532389455406043,0.125392318152408,0.305500951671285,0.477449685057089,0.563907153632921,0.646756785055734,0.705435782639685,0.63550651664264,0.500621254581952,0.316520707106996,0.17222079469185,0.0963676241353209,0.0660248074494706,0.058035645324363,0.113607480347197
"[45,50)",0.0364595376631028,0.043995307547135,0.0489953028523309,0.115198499188936,0.2719775735806,0.407328559773666,0.46179198840794,0.51512422167717,0.581791588442995,0.628400659013369,0.512265159053374,0.314095418248603,0.164242298554439,0.0890219022853688,0.0609357299538087,0.0558649083852388,0.130064484526377
"[50,55)",0.026366472651979,0.035334704581662,0.0410158347001095,0.09584885979181,0.219754073782833,0.318551344900975,0.351383707857247,0.385313769342176,0.430325034584463,0.480988527160318,0.483813119471387,0.30437938115273,0.153294832048675,0.0816738500627133,0.0568222287290581,0.0543501495820183,0.123407567120453
"[55,60)",0.014879587962787,0.0236744885771084,0.0296874995350051,0.0685056585183861,0.152255561283633,0.215977887027694,0.235236704230478,0.255107201554977,0.279797887599113,0.303288871943276,0.313018643989388,0.247499795023494,0.130733892101543,0.0701702700387866,0.0493747548851102,0.0462644299631139,0.0778857599124109
"[60,65)",0.00615478299633062,0.0120072766553498,0.0173190944244518,0.0406033762175369,0.0881075495845448,0.122941042534832,0.133085252542073,0.142754377815385,0.152444593867371,0.158804945610459,0.157858010333561,0.130909850067936,0.0933223714167576,0.0556192289453041,0.0373002725820568,0.030133075969991,0.0301231552981188
"[65,70)",0.00208824937903813,0.0048511395728658,0.00839622487444762,0.0211869559513596,0.0462521291538239,0.0636875484644815,0.0680974513873693,0.0718319431349005,0.0745763661347566,0.0752522529355457,0.0735302032165376,0.0614300557683762,0.048626005068624,0.0486680845520505,0.0331833361873685,0.0197257208795145,0.0105654258011293
"[70,75)",0.000745925418938662,0.00193396846102419,0.0038820350747816,0.0111525438493135,0.0262481969962496,0.0368297299529295,0.0388702222968008,0.0401582135686522,0.0410531770432772,0.0413870257380154,0.0411027202049288,0.0347297996033127,0.0262014421333595,0.0266618088209567,0.025412936706612,0.0109165448753576,0.00337937393911481
"[75,80)",0.000305757156025318,0.000863379377733828,0.00186352131567969,0.00589485263906938,0.0155524086984035,0.0236295950248035,0.0255702944760276,0.0263604319654791,0.0272949347965654,0.0286998022619938,0.0297372400649452,0.0246145644061988,0.0160104770002787,0.0119880918281376,0.00825720028413006,0.0014216142502724,0.000217567838954818
"[80,Inf)",0.000268099074309301,0.000783643540267464,0.00170764549666738,0.00535794540454562,0.0152642204832566,0.0276652644961051,0.0374714954654384,0.0485097330074385,0.0630745000702603,0.0788784165060857,0.0797078971274835,0.0489173189775474,0.0188938694900045,0.00757990613520969,0.0030174738202797,0.000256835081162016,3.41990119880564e-07
