"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.615489643073218,0.510511560081553,0.254891662389502,0.171562241732598,0.245030506167159,0.465402535534292,0.634061548273578,0.483152012787138,0.261568563367164,0.173758873060056,0.17872808834593,0.207772835910708,0.194277009271159,0.141335097312344,0.0974722904471387,0.0737206991933059,0.0432328336167707
"[5,10)",0.503559610326725,0.814013535801706,0.536328889835737,0.19435478642213,0.127085587997795,0.220811740312116,0.487928750374232,0.648227613027992,0.437612278104042,0.218524975432025,0.14536732373769,0.149705297346491,0.168665100924066,0.155677140341514,0.118099230416723,0.0867611128286569,0.0546070372037764
"[10,15)",0.247466502477772,0.527893936699636,0.865637770474696,0.446286933313247,0.151856084837078,0.113717317029738,0.225254803114726,0.479838208504989,0.567505112938107,0.356187945427835,0.178491469038548,0.118673065836478,0.11642756910963,0.12636827537558,0.118204710980766,0.0925201911257953,0.055433053595402
"[15,20)",0.170015889294374,0.195261999230363,0.455534401424562,0.734382363635608,0.369629618713175,0.140195081576234,0.119079455518586,0.227239744689868,0.43276374650594,0.480438793395389,0.301579679210081,0.148766910820496,0.0914315072274569,0.0832591342805578,0.0897539913867415,0.0860001529354298,0.0542396336785012
"[20,25)",0.253998939189442,0.133555796049459,0.162137381056196,0.386643497661282,0.609311448323744,0.330680619919549,0.143162696093493,0.11958310684874,0.20361535002202,0.362797618556006,0.399604160441715,0.245670284546307,0.112975077381225,0.0649188097224486,0.0601629796593119,0.0689347296358376,0.0575123569431761
"[25,30)",0.484913518941386,0.233245030551363,0.122039764550117,0.147401032480943,0.332378209867239,0.522291886544922,0.31237409166538,0.134874207147222,0.101104083179722,0.162382264457478,0.290735804896631,0.317791080781544,0.187697556872797,0.0836339077076541,0.0507174437498804,0.0516925645670361,0.0586200405438758
"[30,35)",0.643264924792141,0.501844946672666,0.235381173728695,0.121906677680136,0.140112401684374,0.304157068509182,0.482317763452112,0.286071416749553,0.112663216195185,0.0806782660805985,0.133283435162051,0.241825221676339,0.260903253546541,0.153609435549916,0.0729247665267346,0.0481532706254092,0.0521596992490393
"[35,40)",0.469843116744106,0.639074214128549,0.480621408691286,0.222990093292897,0.11218302912121,0.125881651897187,0.27421113598588,0.434502871680837,0.244395052161819,0.0941882379383203,0.0710505688643808,0.120286950605665,0.214378733386161,0.228405781299606,0.13973863192919,0.0693838270359739,0.0444201522862339
"[40,45)",0.246270193986243,0.417705790584837,0.550345339980469,0.411158599612581,0.184937539365578,0.0913607074185173,0.104556249341764,0.236619013294578,0.388088779209098,0.22289159159198,0.0913564097040359,0.0701610886352264,0.112605989442166,0.191176120911862,0.205990414294415,0.129056360875687,0.0510008273215134
"[45,50)",0.162527042031968,0.207221308690976,0.343160322204335,0.453470363013849,0.327364304116846,0.145774542313621,0.0743835225954589,0.0905954187444167,0.221434874345089,0.391480980062897,0.238285475546879,0.0975413730689226,0.068434997732695,0.101065621456554,0.173419997853343,0.19565382316693,0.0897818850311359
"[50,55)",0.167792966967406,0.138357412096931,0.172598738246687,0.285703275223683,0.361908846184012,0.261965388947208,0.123338501070547,0.0685929414565706,0.091094815659657,0.23916623910106,0.440040979572416,0.261927944388687,0.0978153671446046,0.0632542536501402,0.0965664548371236,0.179057815865523,0.157992248202471
"[55,60)",0.187556974056289,0.137004966250367,0.110340722034457,0.135513635248322,0.2139367200112,0.275328143829194,0.215172908341883,0.111659039959734,0.0672689212964078,0.0941357689653445,0.251851963627457,0.455971218458508,0.256970490744888,0.09207939710899,0.0629619022332017,0.104104697194109,0.182053987120257
"[60,65)",0.155147328951594,0.136553493799121,0.095767452102858,0.0736802301562275,0.0870349723395867,0.14386195790185,0.205373277636493,0.176049793026999,0.0955120308370994,0.0584282005027208,0.0832049262461828,0.227332588923718,0.421528224762846,0.238064250878166,0.0889456867318426,0.0635046137670994,0.127957605369183
"[65,70)",0.0918640742013017,0.102582957950426,0.0846005035883228,0.0546084402349756,0.0407056302334539,0.0521726050957318,0.0984136000980723,0.152662966453535,0.131978448978825,0.0702296479030781,0.0437929773861148,0.0663000258185389,0.19376126921996,0.371544853215545,0.210701810671475,0.0779019908371261,0.0680757179185614
"[70,75)",0.0484459665325644,0.0595083916907433,0.0605132458095977,0.0450155359515145,0.0288465609746747,0.0241934755794479,0.0357267117702395,0.071420660929277,0.108741960617266,0.0921503501557885,0.0511236435308551,0.0346664878285879,0.0553577528177115,0.16111984699556,0.298199388371801,0.161925903161536,0.0477425067421353
"[75,80)",0.0278455887749904,0.0332236058103559,0.0359950424650147,0.0327792025640733,0.0251184762548757,0.0187395643982426,0.0179281012129866,0.0269498364975658,0.0517749953943449,0.0790090169327129,0.0720409280829474,0.0435604978840814,0.0300365013569674,0.0452709737243188,0.123057144799888,0.216211011948046,0.0719581970160242
"[80,Inf)",0.0234980993968068,0.0300900106033517,0.0310332347981971,0.0297486994255549,0.0301556334274225,0.030579445251017,0.0279444559739375,0.0248273291806492,0.029442179138151,0.0521709943723523,0.0914689873148383,0.109616209418088,0.0870887877215161,0.0569266444144843,0.0522092915035133,0.10354576679397,0.147239209164568
