"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.899487821772133,0.471872253219818,0.171375321324216,0.101912063890241,0.122842479404917,0.258022342036285,0.459180753406904,0.441656023283374,0.285197953813984,0.208773209026169,0.192726586778735,0.17686802908918,0.153803599119142,0.135733892517063,0.109412541138635,0.0689518347039404,0.0359010616328868
"[5,10)",0.465446478660359,2.04040075119052,0.7937445153044,0.206874703793478,0.129713507104903,0.163962201297962,0.281634535251861,0.352292388819698,0.265417201919824,0.171426777013562,0.145868149083337,0.156012750779971,0.166706359491691,0.170490871454237,0.155569439114019,0.112756737900458,0.0643333766362894
"[10,15)",0.166383046748314,0.781261134461947,3.13073045615122,0.909185455095425,0.25821235672964,0.177155186567273,0.200915905346335,0.259704560322962,0.262066698974127,0.186226672786791,0.11856977370489,0.0941301758711769,0.0952212899919439,0.100003678243451,0.0919398135932392,0.0686530468794522,0.0457563000592481
"[15,20)",0.100993493656548,0.20784035729981,0.928024598426035,3.06165207129458,0.978636702682974,0.378257908175405,0.285622379191656,0.278583912670326,0.306520072591034,0.296580825316621,0.206779155335834,0.119993289202458,0.0871209130983905,0.0865455885004761,0.0861846226166108,0.0700354021112577,0.0556150528905116
"[20,25)",0.127338672822086,0.136317508324099,0.275694420288847,1.02368289365541,2.21130470915067,0.849430236502701,0.460887061453124,0.354577178716369,0.326887901094969,0.365087614622781,0.359596276639006,0.24213496235006,0.139856973297533,0.107516604055068,0.107731702176774,0.0965310239239827,0.0798544872943471
"[25,30)",0.26883936439812,0.173194453324606,0.190120360049017,0.397700158823464,0.853790891902167,1.28000539331287,0.647510756301031,0.414487613369643,0.328820643546989,0.328428319909199,0.391039176141367,0.380561027401107,0.258131561169861,0.156642893620323,0.118408480291261,0.0998666534997133,0.0804829519222853
"[30,35)",0.465845742594764,0.289667022523777,0.209948116387543,0.292403716213804,0.451067176349342,0.630477938854338,0.864112129423459,0.519434008781929,0.362059110736068,0.316095779331093,0.334969640755657,0.385588294950756,0.367575248204582,0.251961978112907,0.144499856290814,0.0883065611679382,0.0651618128826167
"[35,40)",0.42949017496837,0.347317789312835,0.260128454578196,0.273374064739591,0.332635127267345,0.386852212632029,0.497898710875018,0.7132543293732,0.45627651828234,0.34188974583406,0.306452147767375,0.306010968654689,0.340638872795633,0.328712363427821,0.215233847339545,0.10097804760399,0.0523682665273404
"[40,45)",0.268517571477652,0.253343673635174,0.254142532386672,0.291217471004,0.296902193623144,0.297132278573397,0.336006231110908,0.441758941477946,0.596296430607563,0.385548155775958,0.293060091647027,0.251131145546555,0.24996579238106,0.290051497925878,0.269751246816521,0.143776284851959,0.0491757540244729
"[45,50)",0.195278039739689,0.162559364242905,0.179415406548349,0.279932878793559,0.329430643393862,0.294838159681732,0.291433104433783,0.328848329326876,0.383028389803564,0.492463072490695,0.332664983674637,0.252757129677868,0.222844833665051,0.23015761023246,0.249304575371436,0.185748563843191,0.0683418173333846
"[50,55)",0.180934995211913,0.138834086613285,0.114655302272398,0.195893443756471,0.325674971518399,0.352343014331826,0.309975904692959,0.295852018738528,0.29222093022564,0.333894597828419,0.509574587344998,0.366631311669831,0.282144508121747,0.24960463592465,0.237319588492688,0.21435189943971,0.130948326152212
"[55,60)",0.159659140223328,0.142777323408709,0.0875210520402981,0.109303384304651,0.210858060187752,0.329710830871636,0.343091404081032,0.284061494659935,0.24077906420007,0.243932251670139,0.352527547172798,0.59142543552521,0.415901270694139,0.324407162582789,0.285110084077316,0.246797199867944,0.212561555841704
"[60,65)",0.122825740812035,0.134967670860205,0.0783242353869741,0.0702065308027915,0.107744540518208,0.197846537828535,0.289341479938103,0.279735783980953,0.212020165076404,0.190259707076114,0.240001276633049,0.367932957319317,0.540962347162717,0.399967390071127,0.335538779757243,0.259677507265888,0.195419928695256
"[65,70)",0.0882234392654989,0.112344419090397,0.0669500435527469,0.0567639771667991,0.0674154555102523,0.0977171586729277,0.161425535255386,0.219706367436551,0.200237072693251,0.159934582065456,0.172809408786589,0.233583232843061,0.32553476156501,0.504841892668524,0.382363757958619,0.228947229401118,0.135905064057883
"[70,75)",0.0543805453009209,0.0783890554175479,0.0470672995474906,0.0432253420480067,0.0516545080271271,0.0564837749010749,0.0707922008176788,0.110006398510692,0.142401186765204,0.132473210704028,0.125640338204952,0.156980092864189,0.208831630999238,0.292386619662212,0.45324095245251,0.222199017165838,0.124737118971569
"[75,80)",0.0260443058117574,0.0431781623163907,0.0267095139742913,0.0266941924415518,0.0351740297684848,0.0362036126504791,0.0328777037536095,0.0392215591013738,0.0576803532620649,0.0750090705531089,0.0862409144070918,0.103267279886514,0.122822631879492,0.133047485630291,0.16886227648514,0.20023214438728,0.0969191505093664
"[80,Inf)",0.0195131025224591,0.0354494966996945,0.0256158719597072,0.030503072749032,0.0418703522925054,0.0419843452702095,0.0349103127030353,0.0292696923530625,0.0283885857402836,0.039712471689137,0.0758120155893104,0.127985068538969,0.133004088640078,0.113647266489442,0.136407512929092,0.139463857804521,0.0267724905030748
