"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00452249758780309,0.00723346753757668,0.00541692581101624,0.00560806143987635,0.0112472055914124,0.024582397357009,0.0406393366927797,0.0493003371343327,0.0508766570393923,0.048005504782205,0.0371207313089631,0.020574943345465,0.00850701812115806,0.00328297807996112,0.00145578623446778,0.000787968238754655,0.000576424936665549
"[5,10)",0.00742831107264031,0.0170115261332917,0.0130693233946386,0.0105535190577144,0.0221973284918121,0.0421656874768106,0.0571136515210153,0.0607263040220729,0.0606430413956091,0.0595664251412293,0.0510904391525158,0.0335468758085373,0.0170123343017998,0.00783060109191976,0.00387753930084962,0.00228544169598403,0.00173797052949284
"[10,15)",0.00559931085395021,0.0131550120454373,0.0393583548136259,0.0334262740842371,0.0456281409832118,0.0628387285848599,0.0695403262525356,0.0673587874256384,0.0662602871692333,0.0666164674494623,0.059528080604368,0.0421676000488475,0.0245755374755637,0.0135791268000274,0.00780133620733712,0.00494598924257022,0.00381398245870898
"[15,20)",0.00569043569261039,0.0104276515428403,0.0328124784635795,0.140133457192774,0.178864388101362,0.177665695207954,0.170178327710278,0.156469817195013,0.151872647314008,0.152479948978971,0.135491277593269,0.0948193585176187,0.0561405886477684,0.0333848703769629,0.0218287583557644,0.0152391986584784,0.0116997954044111
"[20,25)",0.0109918613055211,0.0211243701926618,0.0431397565347551,0.172273203765613,0.490403148798245,0.49234066365391,0.430251635878268,0.380669485724466,0.357567981450873,0.347889147663258,0.300285811427833,0.203743778252687,0.117749649235543,0.0704061907131994,0.0496110477806136,0.0388069391221168,0.0321609537933876
"[25,30)",0.0227320310242412,0.0379690425372111,0.0562159693815103,0.161914159019226,0.465857515657733,0.753594542396842,0.691756914085461,0.590524084020314,0.531472197352015,0.495465661673102,0.414011617161914,0.274868129040894,0.156233531668591,0.0921662314581042,0.066171652581446,0.0560209578591132,0.0549274500438149
"[30,35)",0.0346144413870425,0.0473704050569781,0.0573014681344166,0.142850646854684,0.37497873587915,0.637162517273371,0.766136654744818,0.673153213205363,0.578641618256987,0.517765273319708,0.421010601804896,0.275973350354971,0.155903392681272,0.0908552937901378,0.0643950742306054,0.0558737425523937,0.0673727720362966
"[35,40)",0.0375930980233758,0.0450911728793772,0.0496902060284992,0.117586116259727,0.297015892144801,0.486947159674167,0.602644829371217,0.672449252085155,0.594235445602078,0.516931944886577,0.413161645320621,0.267861118375037,0.149702711811811,0.0858055668064457,0.0595607316241128,0.0515414211726873,0.076498950434107
"[40,45)",0.0343084157278207,0.0398216751516626,0.0432268629699517,0.100932005591282,0.246725542976077,0.387568651077635,0.458121893273578,0.525511739397478,0.573988532859632,0.516907489684087,0.408529925628388,0.260168970338358,0.141570635774185,0.0788627957647913,0.0538765271343507,0.0471899912639453,0.0866213294187147
"[45,50)",0.0285338580544819,0.0344768395029416,0.0383062257571546,0.0893201486005549,0.211584442239722,0.318470354371667,0.361319714280205,0.402943912403057,0.455617276851139,0.492344214477991,0.402729324931837,0.24882859285627,0.130105166054124,0.0701646765283149,0.0478629647601664,0.0436968509060566,0.0946837231711826
"[50,55)",0.0192748399506586,0.0258327325236732,0.0299029782897007,0.0693350507971361,0.159544729904024,0.232473138546179,0.256659044324071,0.281342943734665,0.314569082258512,0.351817999930467,0.354259250797641,0.22466897115729,0.113134954668765,0.059943765286797,0.0415361201200007,0.0395472602714794,0.0841934951870096
"[55,60)",0.00904702406836626,0.0143640078278009,0.0179375981599388,0.0410895470381843,0.0916694967511517,0.130700569026421,0.142470033771373,0.154460895184134,0.169644779354045,0.184076320871683,0.190254937855762,0.151353677813847,0.0798267939076966,0.0425869700165548,0.029860268478097,0.0279197392405171,0.0453017441607577
"[60,65)",0.00297280301767061,0.00578907449289387,0.0083082605747231,0.0193345015569008,0.0421038482081294,0.0590403630993667,0.0639637069635019,0.068605702351949,0.0733634693777246,0.0764916203466164,0.0761397287781279,0.0634410503345051,0.0451136734185484,0.026705196450219,0.0178904155552891,0.0144847938952653,0.0144455726628934
"[65,70)",0.000840168162447197,0.00195141568932654,0.00336192785831761,0.00842005977802832,0.0184366698572525,0.0255068049883212,0.0272984354969024,0.0287975455409777,0.0299287314801202,0.0302097623510856,0.0295439118849836,0.0247860819629855,0.0195571352452127,0.0194691316107887,0.0132849658300737,0.007940383311508,0.00437319207249362
"[70,75)",0.000257952401095102,0.000669043921162398,0.00133730130977016,0.00381187141914505,0.00899484656779273,0.0126794361648122,0.0133962701822126,0.0138402444928064,0.0141566163643578,0.014268295890477,0.0141740394130805,0.0120328520486891,0.00907138542056915,0.00919822800753212,0.0088712894309872,0.00384481073635439,0.00124791826699359
"[75,80)",8.97870482530358e-05,0.000253589684263006,0.000545225875318391,0.00171133233291663,0.00452467890982924,0.00690305774855434,0.00747484218526771,0.00770199342198667,0.00797393667324345,0.00837694503962989,0.00867854914471416,0.00723517836689314,0.00472311507246065,0.00353547859861656,0.00247250957375631,0.000438510332200945,7.16765009761528e-05
"[80,Inf)",5.77826263048967e-05,0.00016964981062726,0.000369872052268395,0.00115584614056942,0.00329880641782536,0.00595428953412797,0.00792917890673627,0.0100566136389853,0.0128764831805397,0.0159683626825627,0.0162539454870343,0.0103276697551055,0.00414381639799976,0.00171299001582533,0.000705990232300878,6.30559874443004e-05,9.37547800844583e-08
