"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.688366899447987,0.571966653731506,0.286821395769321,0.192330830758692,0.275107319671672,0.525859455073756,0.710148815042091,0.538632117722854,0.29325969041747,0.194886202803544,0.200115067248449,0.232835875699847,0.217381587838434,0.157951895003224,0.1090895076886,0.0826629782738011,0.0492870143948128
"[5,10)",0.54040075074236,0.872121030391573,0.577916668507071,0.209718761108748,0.136529046433084,0.240287536017946,0.529328777653847,0.694992241530075,0.469655348288776,0.23522739510589,0.156107357507903,0.160794922084491,0.181186067709593,0.166878222143835,0.126596932412112,0.0932002114368636,0.0593574407154573
"[10,15)",0.245435960817831,0.523415569408283,0.85561185461509,0.442045471489118,0.149100689015902,0.113031646017354,0.226779168287442,0.477812060304477,0.560739534997819,0.35221675768874,0.17627977825203,0.117235030335381,0.115389557611071,0.125178051259461,0.116837142263261,0.0915322693539348,0.0554986687117842
"[15,20)",0.147500675449677,0.170230412327776,0.396173477155703,0.637532205898213,0.317420051910314,0.119723025837431,0.104051466183544,0.199575573568487,0.376791489272947,0.417138268930276,0.261317396705096,0.128529210727843,0.0792281530613875,0.0725196249041236,0.0781422290671337,0.0747740780345579,0.0477292191146131
"[20,25)",0.204440376190381,0.107385179832694,0.129484423045974,0.307576947508086,0.488903017931943,0.262404994099123,0.11404787291667,0.0961643683748977,0.163046285040135,0.290246696283052,0.321279147274145,0.197466986932739,0.0904521212941353,0.0520686750267663,0.0483092819952406,0.0553024814240927,0.0466852703973031
"[25,30)",0.429276671808104,0.207612554096503,0.107830347072647,0.127438363004019,0.288253886600609,0.457604399544978,0.273777742177894,0.11873339594584,0.0882574717552589,0.140079773026005,0.252331956158863,0.279010517491232,0.165300744587311,0.0736625866538861,0.0445555363243122,0.0451639561268748,0.0515228427633877
"[30,35)",0.671334219694902,0.529626479023687,0.250533569554776,0.128260379568449,0.145081515045192,0.317044303613292,0.503210790031906,0.300281453952365,0.118879149333473,0.0837344085708012,0.136905281891312,0.25041354988689,0.272498323145986,0.161235423302241,0.0767393778036191,0.0504146709306423,0.0541204652731976
"[35,40)",0.552634439994942,0.754710553246428,0.572896485054274,0.26699798568594,0.132768594578841,0.149228230275252,0.325900324038019,0.513354877874955,0.291340078818076,0.112418601544349,0.0837165258266375,0.14139740923882,0.253063219224978,0.269918652673386,0.165716565125084,0.0826187262626081,0.0525710918126485
"[40,45)",0.293648281525338,0.497747549025945,0.656159798902945,0.491961452353537,0.219695658164893,0.108257744129633,0.125919027946386,0.284334543470688,0.46251370840209,0.266602670184653,0.10898339171658,0.0835970855386326,0.134849004459204,0.228496528487002,0.245226279392433,0.154069105730055,0.0617447700630181
"[45,50)",0.177513191099923,0.226773447634913,0.374915073941757,0.495432474694622,0.355756051884199,0.156299419700439,0.0806796631731684,0.0998026367848905,0.242515186899617,0.426646062651859,0.259221284243865,0.105790004390251,0.0747645847200178,0.111171354701265,0.189918210627409,0.213338664295211,0.100027912988659
"[50,55)",0.165239789829145,0.136430975081003,0.170102497497321,0.281357221285862,0.356987375019884,0.255234570831272,0.119581949802664,0.0673752425227315,0.0898711031341299,0.234993562500321,0.433026833282114,0.256581746412809,0.095512803702236,0.0623719480106357,0.0955477654680296,0.176219559513196,0.158147772418139
"[55,60)",0.174497773488859,0.127546071805078,0.102676425729891,0.125602050974381,0.199145256267739,0.25614917736547,0.198521888883882,0.103284640874142,0.0625685422931647,0.0870432483057021,0.232879309176065,0.423802067332071,0.237600565228253,0.0852370819526011,0.0585470365143428,0.0963583304231627,0.169261578846496
"[60,65)",0.146978409345743,0.129661294119851,0.0911739235397499,0.0698498079938464,0.082297191946499,0.136910890404202,0.194897021568622,0.166768535240927,0.0910549245824397,0.0554979797638375,0.0782091444691904,0.214357292875921,0.39972591408699,0.225830816285361,0.0846299386492172,0.0601270573913079,0.119167817894894
"[65,70)",0.0916789291143514,0.102517763082309,0.0849075339020787,0.0548851857850352,0.0406683630396165,0.0523750022784079,0.098995564175434,0.152697486409662,0.132449159141823,0.0708415494502957,0.0438428880473483,0.0660135779852861,0.193863973134733,0.371687614591755,0.211594992223115,0.078602624912301,0.0670542689928641
"[70,75)",0.0498490900362733,0.061228300006964,0.062391945634734,0.0465602117967606,0.0297057355223894,0.0249406821498675,0.0370939522518964,0.0738064769922987,0.111909297697508,0.0952777133255894,0.0528761642822397,0.0356976131028106,0.0571962417183216,0.166584637136596,0.307120301004971,0.168001034712825,0.0499793315161386
"[75,80)",0.0275481953563023,0.0328740922290645,0.0356475498807184,0.0324928698452642,0.0248006006033528,0.0184376888336337,0.0177725450694091,0.0268358218631536,0.0512769961061474,0.0780552537407125,0.0711215760807823,0.0428480813673583,0.0296361148665183,0.0451309488061392,0.122523616994064,0.214007107315876,0.0734937280419484
"[80,Inf)",0.0198617483491164,0.025317154811983,0.0261361057799148,0.0250798070713252,0.0253163048476961,0.0254341471612861,0.0230705032023303,0.0206483931227808,0.0248490648594207,0.0442544180472941,0.0771814970602456,0.0910129852102111,0.0710253143480153,0.0465550401022242,0.0440758964192299,0.08886958173844,0.125360423040544
