"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.28565151723156,0.610614809588103,0.132064895460328,0.0657810337764258,0.0848515334889932,0.139457162102824,0.179705418606914,0.181975164451138,0.175458580570186,0.163642196693665,0.129050739837025,0.078524091258015,0.0349577964753651,0.0106379208437901,0.00244308992973742,0.000740104768160771,0.00284154679104554
"[5,10)",0.57154747719044,4.90014085192179,0.555661771807245,0.0803313560935344,0.0931969746403215,0.195225779387392,0.318709702662986,0.326490829754742,0.29918955487529,0.325814757516506,0.319376528222123,0.19641338048557,0.0817601364373682,0.0327742204806435,0.0145033759135008,0.00709234719942746,0.00704661800918533
"[10,15)",0.118706684079738,0.537682846871699,7.44048278400568,0.658129860240831,0.142526705270093,0.152633389089897,0.263362976125754,0.343171100816756,0.329500807445473,0.34306576300884,0.369426909838874,0.240820316015659,0.0799146993116128,0.023106805408175,0.0113037955494127,0.0086867654417149,0.00591538009642556
"[15,20)",0.0582817460870687,0.0763386349299697,0.649312048550285,6.30650558721131,0.585078081540676,0.156048810981589,0.141019568595312,0.202329947205676,0.249826706958574,0.256551505850695,0.236103342486038,0.147630527295612,0.0459055525320872,0.00954616779805664,0.00309252882357484,0.00266032154040641,0.00277515149994431
"[20,25)",0.0719882832016587,0.0848069347757094,0.134527349298911,0.561266761369387,2.27800805511194,0.388339796841762,0.121383772896657,0.0952455988880763,0.130309549711442,0.165561724998445,0.141059931019098,0.0732976048711495,0.0221089323656106,0.0046683013729954,0.00114480557779441,0.000722258586536992,0.00105789301692518
"[25,30)",0.106122478078982,0.159342327232345,0.129219580003079,0.13402788463457,0.348681936468019,0.720880735751874,0.223510272869374,0.0683214928905998,0.0530429999766737,0.0787611752667396,0.0900379104633961,0.0505197501620481,0.0149998087061295,0.00364929347270782,0.00101383809982993,0.000478233586207975,0.000432852643388835
"[30,35)",0.111450092962357,0.212002986468486,0.181713085220617,0.0987112801564862,0.0887314899138238,0.182282902804517,0.329531535609733,0.112338342737253,0.0375239644590424,0.037040721763368,0.0590344264311682,0.0533543718657133,0.0200944154704646,0.00497881613273163,0.00139526773941656,0.00055951732984656,0.000227051681757439
"[35,40)",0.0833362803744228,0.160368996068996,0.174841658657739,0.104580400287615,0.0514120341963009,0.0411161820056243,0.0830171948631979,0.141207589801216,0.0562780263053709,0.029253573034238,0.0371536283699102,0.0482009893803199,0.027467644277218,0.00735708753071793,0.00163781003406074,0.000531409511755721,0.000159795150212031
"[40,45)",0.0574803736959703,0.105128103532218,0.120091888035469,0.0923744731675339,0.0503175045341447,0.0228352878514104,0.019821404511404,0.0402872903145484,0.0646001283371984,0.0389184932104755,0.0271928467377468,0.0257790268957528,0.0176970618733406,0.00624535656308927,0.00143048112419194,0.00042655396420898,0.000155839771299762
"[45,50)",0.040858076832595,0.0872530872802167,0.0952954613950791,0.0722978409420903,0.0487237203390285,0.0258421265319049,0.0149122370257587,0.0159492236012507,0.0296700451461291,0.0460541542589685,0.0308895295925319,0.0141917201295877,0.00653496754883296,0.00306762195892903,0.00126067326255917,0.000583284664619912,0.000296660960960618
"[50,55)",0.0274207610403937,0.072786264635771,0.0873292541197647,0.0566225313151476,0.0353281220122102,0.0251407282453312,0.0202257712390401,0.0172384513054178,0.0176371622087053,0.0262905699957623,0.0337668319277839,0.0159336299131277,0.00434238851792312,0.00183601931789316,0.00138911493028078,0.00125071070318466,0.00079749999783746
"[55,60)",0.0153375151453484,0.0411481758303897,0.0523308062255452,0.0325459082837193,0.0168748432773665,0.012967215255401,0.0168036193225796,0.0205582454281664,0.0153699917302904,0.0111020838590117,0.0146475060765233,0.0184324547211478,0.00811674372429367,0.00248950351555146,0.00143721992749982,0.00153490294618103,0.00136260720407061
"[60,65)",0.00611440205852243,0.0153383619473278,0.0155506601830884,0.00906240155978338,0.0045580133557325,0.00344769710556188,0.00566716761925785,0.0104908183165465,0.00944857122574571,0.00457794697950806,0.00357453550696102,0.00726868457494945,0.012749479531139,0.00562010378882583,0.0013800353985583,0.000804902666429245,0.00122132340144444
"[65,70)",0.001487714488861,0.00491612186804659,0.00359513301580207,0.00150681537151491,0.000769519451938941,0.000670664114609721,0.00112271535840589,0.00224670871277927,0.00266609183778961,0.0017182330012808,0.00120842883347551,0.00178247520200207,0.0044938293459938,0.00685077750671695,0.00191917431468761,0.00053275081187772,0.000795879511394207
"[70,75)",0.0002453938699201,0.0015625027512582,0.00126316699081216,0.00035059535022191,0.000135535752656005,0.00013382162661444,0.000225976119327035,0.00035922436996945,0.000438592717460184,0.000507159048090594,0.000656664335572403,0.000739086723150345,0.000792509613677213,0.00137844088881107,0.00168926289159826,0.000634361553479952,0.000289455970585766
"[75,80)",5.03694115109503e-05,0.00051771541185303,0.000657724452053109,0.000204350613258327,5.79381024447893e-05,4.27707817698358e-05,6.1399941088898e-05,7.89734310303935e-05,8.86140703844306e-05,0.000158990660285243,0.000400600544834139,0.00053481368161433,0.00031318943081259,0.000259259665684706,0.000429825432834908,0.000166917374887183,2.16503977771993e-05
"[80,Inf)",0.00017013374826873,0.000452526293916939,0.000394031128309978,0.000187538524629082,7.46578171387729e-05,3.405721828711e-05,2.19200287166693e-05,2.08918674082981e-05,2.84819020954394e-05,7.11399306473522e-05,0.000224722906587738,0.000417690168981575,0.000418077113267756,0.00034073766643599,0.000172541637133935,1.90470743359082e-05,1.69667929373882e-08
