"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00714377193683817,0.0117376669508042,0.00883540072127312,0.0090731132105232,0.0180943871571033,0.0396763211376297,0.0659997829791227,0.0803251811637288,0.0829756919012975,0.0783251165324134,0.0605881010474514,0.0335651071955308,0.0138533723851155,0.0053297087703959,0.00235647947134537,0.00127390288445574,0.000927820658802386
"[5,10)",0.0106659657305869,0.0243116447951354,0.0188655261722269,0.015038987269862,0.0318252976481627,0.0609214069705069,0.0829675990244639,0.088402060345491,0.0883021686706654,0.086757460873159,0.0744632205938609,0.0489044325401876,0.0247675770178382,0.0113671696667892,0.00561323834490635,0.00330525785820399,0.00251035460145884
"[10,15)",0.0072349362259833,0.017000393620598,0.0511000386555592,0.0428423351141005,0.0587259433228276,0.0812699891597897,0.0901930774683893,0.0874343936837515,0.0859805673856919,0.0864564363364246,0.0773344449571093,0.0548284357427732,0.0319379145454625,0.0176087177358114,0.0100908495368708,0.00639190286992154,0.00494514072690222
"[15,20)",0.00653600987752419,0.0119222043157724,0.0376895583148959,0.159160490054446,0.20547471411885,0.204818604525949,0.196491419288393,0.180732089026075,0.175402009140143,0.176204687850042,0.156809408121888,0.109899274343576,0.0650861914966332,0.0386586191744811,0.0252291522030552,0.0175938350138862,0.0135874716670777
"[20,25)",0.0110784548216341,0.0214431895761318,0.043909334830155,0.174637428308078,0.500668247166587,0.503258897579529,0.43979191857462,0.389148856735642,0.365545993759748,0.355899088970678,0.307685298744846,0.209050320921545,0.120838945030001,0.0721701002329558,0.0507776274965925,0.0396701356907651,0.0330249056625869
"[25,30)",0.0202931575186667,0.0342901790601764,0.0507621461948542,0.145422384849455,0.420411298497071,0.684019382474422,0.627637456271708,0.535795020021879,0.482278739089952,0.449900817741017,0.376476046172152,0.250236343327015,0.142234744783738,0.0838070367204577,0.0601057826847464,0.0508519929490907,0.0497703566221274
"[30,35)",0.0283427525095812,0.0392093495613355,0.0473003404612483,0.117135014775025,0.308468945775845,0.526975155819536,0.6348800724804,0.557766749577294,0.479471171786818,0.429213726782831,0.349416335086689,0.229270528006074,0.129515596134571,0.0753844256670357,0.0533756920428114,0.046299638279415,0.0550188541122325
"[35,40)",0.0290626515497635,0.0351987715533547,0.0386329051631137,0.0907741978168804,0.229966178110564,0.379021603142086,0.469933737527759,0.524597576457779,0.463532260978607,0.403337886012474,0.322704710497254,0.209417140547372,0.117042055215867,0.0670048082812564,0.0464600302282727,0.0401920663483304,0.057597595460784
"[40,45)",0.0249537597980755,0.0292238934761399,0.0315774429016319,0.0732256611318215,0.179552651924883,0.283573076490627,0.335774793821962,0.385284512896837,0.420822630450893,0.379038730576889,0.299885133743171,0.191185727280278,0.104050411339365,0.0578946984042459,0.0395051735379546,0.0345843536634945,0.0598742150960589
"[45,50)",0.0192534580167453,0.0234690831784955,0.0259535378477186,0.0601268955447267,0.14288915119775,0.216225169114369,0.245686774299753,0.274026894619957,0.309817663023865,0.334798663278987,0.274159324002515,0.169599920324009,0.0886980034758015,0.04777221439313,0.0325427880833571,0.02968822063044,0.0599521026313753
"[50,55)",0.0120275123979345,0.0162671655545117,0.0187479155721879,0.0432119851103653,0.0997607960058138,0.146119302793343,0.16152217699849,0.177055839898386,0.197951274069048,0.221403152390884,0.223182915446141,0.141695563037227,0.071356277629816,0.0377480487484568,0.026117105392667,0.0248522827300397,0.0498960124253266
"[55,60)",0.00525542048749099,0.00842653936097078,0.0104837542213728,0.0238867952026913,0.0534607389428209,0.0766040245343488,0.0835926600487996,0.0906250241600853,0.0995382018356239,0.1080282603822,0.111760210294835,0.0890533825996246,0.0469467827336559,0.0250021272693186,0.017507692621503,0.0163704064807759,0.0257776499287539
"[60,65)",0.00161869789331147,0.00318475049490473,0.00455730811349332,0.0105570549656654,0.023061200180134,0.0324935948579034,0.0352397521230976,0.0377979904653342,0.0404267647000082,0.0421615379781959,0.0420004561815178,0.035034562393564,0.0248983024832756,0.0147087847166306,0.00984585728656039,0.00797818066808197,0.00796645804840533
"[65,70)",0.000433337894299439,0.00101708472245704,0.00174840671532809,0.00436328074603422,0.00958396427015877,0.0133224912993807,0.0142726725910128,0.01505724918588,0.0156522536818466,0.0158012291057691,0.0154607025575802,0.0129831692992618,0.0102350433968282,0.0101742644024219,0.0069370737203636,0.00415081290821527,0.00234209863982187
"[70,75)",0.000128997061017149,0.000338151436609592,0.000674583057655104,0.00191717802242002,0.00453997276770906,0.0064330093428912,0.00680393501398286,0.00702930069775872,0.00719092933733282,0.00724708275391777,0.0072019934892747,0.00612104591128434,0.00461274448644194,0.00467056343301389,0.00451207903798845,0.00195672310138486,0.00065853596896402
"[75,80)",4.42563937848052e-05,0.000126364954902345,0.000271182345483054,0.000848484370495817,0.00225096154272912,0.00345405660227565,0.0037455688346628,0.00385919314952164,0.00399516074343324,0.00419581351957651,0.00434928147668619,0.00363228346466395,0.00237210153999003,0.00177357545729701,0.00124180361309663,0.000220678471791924,3.76825628661022e-05
"[80,Inf)",2.60204974555927e-05,7.74761850262051e-05,0.000169364254936978,0.000528973405714916,0.00151271749624099,0.00272900341885851,0.00359305264763617,0.00446449549268993,0.00558349693678835,0.00683987686544666,0.0070490229382139,0.00461716555475963,0.00191208210593865,0.000807855244455998,0.000337376557682201,3.04195151343411e-05,4.83841883862289e-08
