"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.68178027992359,1.40017526203676,0.703657475613709,0.473651198448995,0.672988334190322,1.27882504952895,1.74119385542981,1.32859712774622,0.722580206594003,0.479441651448797,0.491782594960536,0.572618053957551,0.534759838080178,0.388190997121771,0.268127963251029,0.203616196051565,0.14057177173708
"[5,10)",1.1757431671193,1.89773455123621,1.25929082921031,0.458718305827117,0.297854585470084,0.516524693774728,1.14210549485603,1.51805418232382,1.02972214727075,0.515479432374056,0.341225775992013,0.351253176362339,0.396033973778527,0.364738804749145,0.276775217529217,0.204335205819196,0.145673922599127
"[10,15)",0.487480426212285,1.0389433167274,1.70204084436518,0.882646543635387,0.299485062754685,0.223335798852493,0.443418129189555,0.944081608761469,1.11763077445544,0.704189678434981,0.352029806933983,0.233475470351805,0.229726738539339,0.24934206435346,0.232872641110651,0.18314898944075,0.123518965738527
"[15,20)",0.266447874972648,0.307305001712611,0.716711823580795,1.15051527211079,0.577723101538907,0.21783823842563,0.186242876299006,0.357030278569544,0.678402963522478,0.753376310646897,0.47230706605596,0.231974504952506,0.143119244154562,0.131098472216066,0.141230126783408,0.135380098872505,0.0967620605383639
"[20,25)",0.307867709345072,0.162267233387162,0.197758834683907,0.469810499160308,0.743062413147773,0.39992104875899,0.173014435683999,0.145585165119317,0.248076044460129,0.4416490159627,0.487236525480601,0.298105393252848,0.136639358874877,0.0789529969369695,0.0734429115498188,0.0838677245576951,0.0777155935152094
"[25,30)",0.482475409251957,0.232073244705082,0.121626025406437,0.146098092107647,0.329823584233252,0.520802048468315,0.310585756971957,0.134410495812715,0.100828234409733,0.161149129713852,0.289449505801424,0.3171604144898,0.186357672933308,0.082929614418053,0.0505259410155901,0.0513044088971063,0.06098532386588
"[30,35)",0.548780268554597,0.428674371573839,0.201729276566746,0.104346385936804,0.119200231335071,0.259459065257588,0.412207099633357,0.244933565337114,0.0968768298772737,0.0688961606734272,0.113302886334022,0.206780053582819,0.222831601576561,0.130626613195209,0.0622415344553764,0.0411975231207832,0.0440125648358139
"[35,40)",0.346144725388067,0.471000771440541,0.355040641932729,0.165354431036614,0.0829134388543479,0.0928182858050662,0.202470311590638,0.320549893914583,0.181163657565946,0.0698877146782192,0.0522578809150875,0.0887002374601738,0.158487881568412,0.168024226692828,0.102779311778041,0.0516077830767047,0.0331639331993242
"[40,45)",0.150081927379338,0.254701984034656,0.335077150073409,0.250481960299538,0.112634273371659,0.055508622658425,0.063842648348622,0.144427205663759,0.235744754194614,0.135626763930034,0.0553800689307676,0.0425771873155069,0.0689065609083683,0.116773064190686,0.124931838024598,0.0789261506461507,0.0350932329123649
"[45,50)",0.0765079291730602,0.0979607192165437,0.162205085219806,0.213712057819889,0.154060516430534,0.0681607879653489,0.0348830415686184,0.0428062434312459,0.104201446703899,0.183363254267515,0.111227124169584,0.0453453749969779,0.0321872838415347,0.0480250537283789,0.0818394708901195,0.0919313210429487,0.0512479050584945
"[50,55)",0.060149431416045,0.0497015735937935,0.0621501145392493,0.102690246111844,0.130269157790406,0.0938354921140587,0.0439691412468646,0.0245327231611969,0.032611406253537,0.0852507864460705,0.157237430374946,0.0929923365562238,0.0346574457547571,0.0226974748800703,0.0347620128222427,0.0636978652687795,0.0668216624268966
"[55,60)",0.055319472512062,0.0404113343505524,0.0325580492969229,0.0398381928678748,0.0629544193437191,0.0812134428632049,0.0633826328209507,0.0328907189866181,0.0198037586260976,0.0274520831018257,0.073451688132755,0.134071625033115,0.0751468361952725,0.0269176957417289,0.0184965594948332,0.0301573736520682,0.0561414237224914
"[60,65)",0.0412504836605213,0.0363808332927871,0.025579139625498,0.0196252263950964,0.0230403712805682,0.0381025017810307,0.0545375572168821,0.0469247441526228,0.0255910732243376,0.0155590796911418,0.0218579003616014,0.0600023098125813,0.111911375586078,0.0630863699442135,0.0236815128595648,0.016779940087229,0.0304043035769491
"[65,70)",0.0229457135683966,0.0256748559926462,0.0212743247034312,0.013775269973155,0.0102015960862861,0.0129927686809947,0.0244983262418621,0.0381209403685695,0.0332319976095139,0.0177890715454676,0.0109692082318691,0.0164695220169092,0.0483416406170064,0.0928780534986604,0.0529916813250843,0.0198537954682191,0.0146900797826137
"[70,75)",0.0112230827444063,0.0137964449783482,0.0140699530467005,0.0105085739367231,0.00671990814847807,0.0056055782294815,0.00826606820707623,0.0165124437800523,0.0251768184167334,0.0214665465243163,0.0118964285051145,0.00801397559842635,0.0128501807645428,0.0375250816414371,0.0691478408161772,0.038226370904201,0.0121339817577375
"[75,80)",0.00507935067211352,0.0060702840507271,0.00659484401438216,0.00600339727605589,0.00457334677595456,0.00339223957911702,0.00326073587348886,0.00494136200788574,0.0094792605794924,0.014371056330785,0.0129915922975418,0.00778711163320987,0.00542645269318726,0.00837882870520126,0.0227818449109725,0.039537716058725,0.0168598044135703
"[80,Inf)",0.00216470480457906,0.00267148237970556,0.00274560674288605,0.00264881757966641,0.00261608665974948,0.00248921178458435,0.00215043281332234,0.00196020812594792,0.00260184609673516,0.00494545201897855,0.00841316616105729,0.00894892752292748,0.00606967392764898,0.00382708940555843,0.00446409927900716,0.0104077587622928,0.0157496325465847
