"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.637451802648712,0.333883223629042,0.120945925411667,0.07225062986313,0.0877455959536139,0.184498256841012,0.326788363841869,0.314163315911168,0.203126552575039,0.148443953417384,0.136927415940911,0.125435768764665,0.108977393916323,0.0961753645565312,0.0776118756711554,0.0491449311201472,0.0256120773149391
"[5,10)",0.325568735594437,1.43465086930817,0.552911451469246,0.144553333836148,0.0911179325092911,0.115554083082011,0.198011833001982,0.247516510221701,0.18688305998725,0.120480740809354,0.102467031053616,0.109670546137308,0.117144168660143,0.119747550828614,0.1093324768992,0.0795500353014164,0.046735956100328
"[10,15)",0.121985513962652,0.57190580974139,2.31354689828982,0.669456903288839,0.190776049014206,0.131158761358518,0.148432269042051,0.191475580216759,0.193755454984785,0.137856598419419,0.0874605059602186,0.0693429963072603,0.070157770430187,0.0736428380812671,0.0677558405701313,0.0507823114140407,0.0347482110194068
"[15,20)",0.0824216832285611,0.169114115823899,0.757191007804367,2.50413469128871,0.801470057405142,0.310877845627086,0.234768190012705,0.228368429792637,0.251005952512582,0.243604125863531,0.169731126005371,0.09824013255311,0.0713374138076535,0.0708896925269815,0.0706493843122072,0.0576132987306587,0.0465141166300774
"[20,25)",0.116723598235147,0.124305144028008,0.251617110585209,0.934589288175265,2.00446491950088,0.774936746510202,0.421339038101459,0.324058192558205,0.298032670904619,0.332879205920845,0.328465781965875,0.220889611091869,0.127590909706894,0.0982644887012612,0.098391000315844,0.0883850511674528,0.074309119610414
"[25,30)",0.271770411103241,0.174560953285675,0.191553544334034,0.401420766343343,0.858109717420751,1.28139082250473,0.651496571142042,0.417129445344911,0.330756628219174,0.329780146067615,0.393066382748145,0.382215334488364,0.258876528878088,0.15750049135252,0.119113300783553,0.10047505894427,0.082635572578647
"[30,35)",0.493439791305906,0.306627169178258,0.22221782490595,0.310747035443464,0.478262076104027,0.66783598230659,0.913812850638893,0.550559058482321,0.383560338397612,0.334504923899772,0.354632576077633,0.408239906576534,0.388121352595685,0.266022140553337,0.153215141957618,0.093785020152102,0.070510820892498
"[35,40)",0.455682045984883,0.36818197557636,0.275361247895412,0.290363932274744,0.353342690579143,0.410740369363092,0.528862499956717,0.756575370352207,0.48438912370106,0.362449740106509,0.324797598135266,0.324833920055434,0.361721103107369,0.34804988881873,0.228411279925618,0.107818671984497,0.0570865608711519
"[40,45)",0.272999134103489,0.257582535214232,0.258185288103948,0.295718674217763,0.301109950518174,0.30178192444399,0.34139777034824,0.448830652878806,0.605664394222608,0.390892534706832,0.297069404850496,0.254669639485825,0.254255144960731,0.294895369596396,0.273906849247917,0.146966070148712,0.0521863274075705
"[45,50)",0.190922579496955,0.158914788981323,0.175794515184389,0.274649984465894,0.321845994775551,0.287944894926486,0.284924445502084,0.321392789058291,0.374074053565953,0.481290171038577,0.324326252385591,0.246631940137628,0.21768208804015,0.225160470668742,0.243737626158709,0.182613782311768,0.0707415300636098
"[50,55)",0.183322477767271,0.140689395655095,0.116096806338571,0.199198909473359,0.330584205742289,0.357257458340362,0.314438958088943,0.299800028440614,0.29592977271071,0.337607921911712,0.517177418918688,0.371578137829966,0.286148932852232,0.253304787395014,0.240736841291099,0.217875801128632,0.1397243556505
"[55,60)",0.178371221916768,0.1599356585158,0.0977662543423596,0.122459502110171,0.236126833416028,0.368978953246783,0.384460089850435,0.318462514101185,0.269454842774477,0.272682916065166,0.39466465986032,0.663104887054781,0.465984150975872,0.364070589772669,0.320343711010151,0.277223348389318,0.245800814579036
"[60,65)",0.156012150371887,0.171986589568869,0.0995819818962102,0.0895240093227625,0.137311970566201,0.251596605654373,0.367978086521079,0.357017419095048,0.270830257736125,0.242298049644184,0.305977033259802,0.469126276465516,0.689023356695657,0.511165851502257,0.428933778563323,0.332479546747072,0.253107327382333
"[65,70)",0.125500395423836,0.160250649246492,0.09527846498462,0.0810894778024874,0.0963927815479812,0.139525395391752,0.229896019747263,0.313123964445163,0.28632194437902,0.228443402263029,0.246887638001226,0.334089986326041,0.465930436265133,0.722050576649258,0.547975642394338,0.328880638581806,0.194894638124734
"[70,75)",0.0788405556610499,0.113899702391541,0.0682419166761746,0.0629114994863897,0.0751352150962642,0.0821432445253454,0.10307553572408,0.159967809976294,0.207028348503272,0.192508226496921,0.182658021375707,0.22884124820788,0.304361517348203,0.426580990831788,0.659122409094869,0.325525792039455,0.179100633201988
"[75,80)",0.0351191846691833,0.0582985798897581,0.0359799984169027,0.0360901422713772,0.0474800505423441,0.0487432025011708,0.0443845259412776,0.0531194080666437,0.0781426623354729,0.101462244301666,0.116291878234066,0.139313148413584,0.165961985874493,0.180103746910804,0.228996898881643,0.272696648339458,0.132639036333598
"[80,Inf)",0.0202705738813728,0.037933618906074,0.0272669569074476,0.032270535750238,0.0442109672885741,0.0443995303878066,0.0369580821461529,0.0311493274896602,0.0307314748311622,0.0435312269085915,0.0825977181061662,0.136804746683284,0.139927782955141,0.118206097109383,0.139539404144095,0.146901727847893,0.0329545072812554
