"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.482183129629402,0.399187041538527,0.199988474706094,0.13279722262149,0.187187503817147,0.359298547595391,0.49381507145848,0.37562366788704,0.202804374536635,0.134963898803577,0.138364747355743,0.160972366290393,0.151170300467897,0.110139094440844,0.0759236159666384,0.0574837914187246,0.0328007541362122
"[5,10)",0.462013760535236,0.745601984067997,0.494678745309555,0.180563421545996,0.115560584415327,0.200008504264842,0.444659901256614,0.591240327942006,0.397140826134094,0.199308544005886,0.13267292790565,0.136129617332923,0.153527725257364,0.141993826246367,0.107772730791503,0.0792709206786954,0.048678271367827
"[10,15)",0.240860454271617,0.51476061092683,0.836007853684517,0.436200888899161,0.147624168823709,0.109813035167183,0.218952983977633,0.467340622352757,0.545920769710662,0.341483078292135,0.172112492906655,0.114580131619787,0.112417313403235,0.122039785248594,0.1139918448538,0.0892366996627552,0.0523382216473719
"[15,20)",0.147594867420944,0.173393799373329,0.402539290120061,0.642402284530474,0.322127930740674,0.121196495254188,0.104576148006409,0.202914653249628,0.383333756365227,0.418310619253616,0.261445369887363,0.129318633192366,0.0798681391102465,0.0730906792955198,0.0787821673583388,0.0752060731831243,0.0463437739905956
"[20,25)",0.184012912835622,0.0981528016822591,0.120494820623122,0.28491647775677,0.450518037948107,0.241714219094334,0.10463862297057,0.0889364329885747,0.153337997163457,0.270337265740473,0.294869798105606,0.180803470609117,0.0830795496642029,0.0478899260040098,0.0445944916850779,0.0510336313691542,0.0415760559371465
"[25,30)",0.337711011254595,0.162427569481953,0.0857004538705779,0.102493791159838,0.231110943999598,0.366425912847298,0.218150429252214,0.0937427339179383,0.0711160283566837,0.114493926728353,0.203908940890671,0.223169198455574,0.131875663428638,0.0585966326084384,0.0355544038908619,0.0362809945381729,0.0405061481054676
"[30,35)",0.470748231888736,0.366246807793815,0.173306436363334,0.0896963425236173,0.101471697455567,0.221253764699679,0.352352164110385,0.207323625771276,0.081644970118341,0.0589293199640145,0.096906048724921,0.175940069163655,0.190912912625172,0.112519183836043,0.0533346295918332,0.0352287789235179,0.0378002787125803
"[35,40)",0.393697877387377,0.535421365568354,0.406708382612845,0.191355641819324,0.0948240245954445,0.104534098841686,0.227947357873043,0.363765219643658,0.204285722566483,0.0792747182088522,0.0593698215471093,0.0995614307231253,0.17842696067962,0.191867847681173,0.117876958760248,0.0586407697591976,0.0371150593002644
"[40,45)",0.253669871007404,0.429197939555335,0.566970749589192,0.431406188978295,0.195105678104426,0.0946388172977196,0.107126433654045,0.243792005714332,0.400954111978736,0.232123346030601,0.0955640473489772,0.0722801153076912,0.114971967066565,0.196249998993918,0.213133935262976,0.134587057464074,0.0524404040966195
"[45,50)",0.196319553252576,0.25049172418858,0.412434129166602,0.547472826558237,0.400018807958858,0.177189765047264,0.0899193200365872,0.110019717217863,0.269943698782081,0.474177418961849,0.290657233657305,0.118985509008222,0.0826734803462492,0.121763519565757,0.209487385222986,0.237016713250221,0.106533869805297
"[50,55)",0.21148877518149,0.17521274964645,0.218430726189082,0.359551048433013,0.458480335132452,0.331595308097052,0.155377595600155,0.0865799811638913,0.11677902176542,0.305419711005577,0.557428393424713,0.332580600092456,0.123955489231456,0.0801269902062046,0.122783038865853,0.226997338578785,0.194319808217374
"[55,60)",0.230596451612781,0.168490507981157,0.136285633009294,0.166678711514867,0.26347329787377,0.340130663206429,0.264387971919468,0.136076238794886,0.082780597959213,0.117178901721207,0.311699666005205,0.562802876931485,0.316577885478132,0.113124518159263,0.0777996545491451,0.128887066337759,0.219485435663121
"[60,65)",0.186502374660905,0.16365385083158,0.115157057357816,0.0886562162484302,0.104265487039642,0.173098293914981,0.247075018283642,0.210023670033783,0.113401364945262,0.0701193963703616,0.100051081102971,0.272644770244079,0.506493429250497,0.284970737285858,0.106345844122443,0.0763387519897924,0.153037009873774
"[65,70)",0.111617517420107,0.124331691880677,0.102690852469594,0.0666454634536958,0.0493700510441551,0.0631791468044376,0.119617046208464,0.185516668651999,0.159004329968908,0.0848324693137895,0.0531260858199881,0.0800288005461077,0.234084810531844,0.450596188921439,0.254921653505667,0.0945805769437006,0.0839555688791402
"[70,75)",0.0623145882569905,0.0764263743682769,0.0776830190164242,0.0581779624827312,0.0372325358884894,0.0310467745476043,0.04591956575257,0.0923063640252949,0.139853674113256,0.118201987892304,0.065930953454437,0.0445747814671137,0.0707482137407615,0.206456573599078,0.382934341984141,0.208814448542577,0.0616735236580856
"[75,80)",0.0378150052207486,0.0450561611148123,0.0487418183376874,0.0445132608148503,0.0341510282978685,0.0253926591830061,0.0243103937572911,0.036805125097499,0.0707832482234441,0.107189387594855,0.097696196824514,0.0591870652768292,0.0407048281839478,0.0613945557760797,0.167365700447732,0.292934647827643,0.095024676408372
"[80,Inf)",0.0320632075372536,0.0411130606300764,0.0424797122520353,0.0407598213301732,0.0413423327585864,0.0421263977455046,0.038760893746514,0.0346149072190881,0.0409824197746652,0.0715920665195692,0.12427344648068,0.149770938946666,0.121255576072712,0.0809807488722811,0.0734529180140317,0.141201976792467,0.194659927641628
