"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00276379281358299,0.00430177009578135,0.00320527484237608,0.00333757396574813,0.00670069991856057,0.014630890255917,0.0241723110508625,0.029221441840343,0.0301136652118404,0.0283862646786241,0.0219274321055908,0.0121791444671265,0.00505184030874583,0.00195931294542387,0.00087002477390617,0.000469701045274137,0.000346329622106747
"[5,10)",0.00502021460977375,0.0115741156173049,0.00879926284252681,0.00715967448959431,0.0149321320484632,0.02824004870831,0.0381742767916259,0.0404874517896975,0.0404229486696113,0.0396826285260348,0.0339952360269619,0.0223427736744043,0.0113600006108383,0.00525375090038335,0.00260568692292136,0.00153231096670169,0.00116979670041275
"[10,15)",0.0042361574981702,0.00996501661987411,0.0296528123594197,0.0254207411910692,0.0345291961403334,0.0474314831777593,0.0524148706059414,0.0507179800072825,0.0499220871176846,0.0501718076492322,0.0447631691328326,0.0317081915346458,0.0185049623510217,0.010259990825288,0.00590388288810145,0.00373553995060491,0.00287641642192003
"[15,20)",0.00470008892143277,0.00863959463539627,0.027086728878123,0.115909462254272,0.147030504633284,0.145766856812088,0.139448604404691,0.12816968608959,0.124488269057577,0.124905796867535,0.110771359280542,0.0774885095105189,0.0459095929325762,0.0273565937313641,0.0178996135607968,0.0124758311098052,0.00953101102240339
"[20,25)",0.00951792900286814,0.0181747743110582,0.037110938378092,0.148304580339253,0.419332212034826,0.420811883244758,0.367426766998777,0.325071972423298,0.305580669750624,0.297135834011492,0.256006296038632,0.173675166256374,0.100456328493466,0.0601836344925821,0.042415281474895,0.0331371870985043,0.0273320308468232
"[25,30)",0.0199626210948653,0.0330169662099216,0.0489673602285535,0.141231126976851,0.404215082496942,0.653134459106299,0.598962651292956,0.51125682690108,0.460471701376859,0.429009437654022,0.357888824067002,0.237615276542648,0.135180812580655,0.0799065693768909,0.0573700275461217,0.0485343620284372,0.0477177560622866
"[30,35)",0.032221230202941,0.0436033316978858,0.0528654140306819,0.131996659493551,0.344804117359587,0.585163023501138,0.704141167923139,0.618437688212756,0.531878716151703,0.47552530418509,0.386059288774771,0.253093082893669,0.143103963749612,0.0835603377438999,0.05921542549489,0.0513548038654003,0.0632135795663666
"[35,40)",0.0391584261223269,0.046491006007335,0.0514255223249136,0.121964582179313,0.306676728419187,0.502129684535572,0.621721078250528,0.693681163235162,0.613376118925756,0.533207931682797,0.425581791134993,0.275955956707138,0.154346051146808,0.0886365352672171,0.0615154821375875,0.0532108708712833,0.0825731771934812
"[40,45)",0.0395602213363741,0.0455038347998483,0.0496227701839551,0.116131048716172,0.282617259981814,0.443354610943778,0.524184003126726,0.601309923507909,0.656538590656843,0.590921414903569,0.466385760321469,0.297038323794466,0.161740837417923,0.090273138048039,0.0616662761438311,0.0540123144317082,0.10616877013113
"[45,50)",0.0371350468769402,0.0444837174010081,0.0496625086201563,0.116033434612619,0.273658200473945,0.411335093999098,0.466686692335521,0.520533569491658,0.588451077853605,0.636014491318096,0.519486443784743,0.320937514412773,0.167903920127499,0.0907337654803183,0.0618976290055722,0.056547927943244,0.132735007306936
"[50,55)",0.0285936203087875,0.0379860682943967,0.044166742911103,0.102573147114844,0.235022653493937,0.342044567226218,0.377669082889426,0.414133937864291,0.462947302727451,0.517821241149712,0.520525333125309,0.330180153612109,0.166411844563641,0.0883824364274525,0.0612478687097977,0.0583505268256681,0.132866137571119
"[55,60)",0.0146533299623003,0.023034646210246,0.0288658397483065,0.066203611133059,0.147107555400868,0.209530425380797,0.22844196091866,0.247762590459212,0.2720426129832,0.295164622618561,0.304641553496548,0.242024153875073,0.127830532351703,0.0683672077327683,0.0479308683479805,0.0448055765530337,0.0755097817509746
"[60,65)",0.00507607183716728,0.00978095843851485,0.0140688800838503,0.032757172858737,0.0710613011688861,0.0995511743758607,0.107871288280263,0.115731100145519,0.123709410735552,0.128962443463981,0.128227451063875,0.106756222039981,0.0759834514616717,0.045097591619351,0.0302047309925061,0.0244136262722394,0.0244078548078292
"[65,70)",0.00146431964872435,0.0033645460157887,0.00580192660579373,0.0145184056790784,0.0316656349953537,0.0437691141203824,0.0468498629859141,0.0494334892872107,0.051356512788846,0.0518352608078037,0.0506543422702641,0.0424678600627206,0.0335434158020489,0.033399930071172,0.0227972343421141,0.013586729967297,0.00728991554372664
"[70,75)",0.000439431336645229,0.0011277336803373,0.00225626608331412,0.00641989439796819,0.0150820183993355,0.0212372193272486,0.0224372855676901,0.0231857020099869,0.0237089342975251,0.0238977872096525,0.0237229675370415,0.0201212591549085,0.0151829524212266,0.0154066950410027,0.0148777360069136,0.00641693100698982,0.00199177924515552
"[75,80)",0.000155427280784487,0.000434487758751988,0.000935302906828905,0.00293156841511344,0.00771967595286106,0.0117708611516094,0.0127486105323579,0.0131396108214666,0.013605152516452,0.014303643907309,0.014807070115796,0.0123230509885575,0.00804007071636559,0.00601573344239936,0.00420410629065356,0.000735054518444728,0.000113171423414975
"[80,Inf)",0.000119755260247997,0.000346609342780509,0.000752575187868095,0.00234028503920626,0.00665356754747957,0.012093114411034,0.0163980195524674,0.0213069049365595,0.0279451632746482,0.0350844529591221,0.0352320488227391,0.0217014437657234,0.00839955784435109,0.00337283716569236,0.00136359926278051,0.000118259493812466,1.59129662730575e-07
