"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00532733713958757,0.00906142169523291,0.00683962339374715,0.00710059537971409,0.01425160912275,0.0309960926432113,0.0512587872464196,0.0624304585625459,0.0645173961048675,0.0608388606645023,0.0470509299603858,0.0261510745493832,0.0107589264376236,0.00410175811265453,0.00180755266464314,0.000977821642005491,0.000712175582324903
"[5,10)",0.00710604038175168,0.0161804674433794,0.0125683764342664,0.0102847578745934,0.0218434641228409,0.0414723638531492,0.0562745907624972,0.0599862032981829,0.0599419721752594,0.0588590836728494,0.0505312641698687,0.0332960530141216,0.0168295369768444,0.00766547588781417,0.00377393323898248,0.00222440556078906,0.0016898688891143
"[10,15)",0.00453943227328559,0.010636952069865,0.0325209249967531,0.0276283294144854,0.0378101252710684,0.0519459052921224,0.0574796083106721,0.0557020978147976,0.0547930958135789,0.0550827884133042,0.0493035535883629,0.0350850833737786,0.0204336191311601,0.0112192353208329,0.00642133172300056,0.00407370313781536,0.0031548547834543
"[15,20)",0.00466967208184876,0.0086249058161086,0.0273764349536717,0.120021300546658,0.151679240601767,0.150242934578817,0.143774345301599,0.132135433460457,0.128212691914574,0.128701939431897,0.11455051516859,0.0805212492485643,0.0476359197823359,0.0281875893648414,0.0184059782486359,0.0128713618349444,0.00995569083634287
"[20,25)",0.0103932090753518,0.0203130877994028,0.041545551243099,0.168197791231724,0.477673817121074,0.479007273547126,0.418703424266464,0.370268867056695,0.34760723850075,0.338067912873797,0.292289577516693,0.199229730992336,0.115016795008688,0.0683968559288508,0.0481407273865337,0.0377317611659591,0.0315327729078054
"[25,30)",0.024248659517178,0.0413721648047689,0.0612297875718285,0.178724143426067,0.513850912297117,0.824245500640214,0.757267184773672,0.646269166392885,0.581434527281557,0.542006479997198,0.453811593125095,0.302764179771701,0.171941767074605,0.100863267476555,0.0722984303812714,0.06126197244078,0.0601295999078962
"[30,35)",0.0379370269078735,0.0531099609258422,0.0640972524753002,0.161802320490372,0.424928359937451,0.716412769466529,0.85958229775926,0.755218140516387,0.649136535201923,0.581021626838736,0.473533572554102,0.311934270021336,0.176077023090854,0.10203893241351,0.0722025401078078,0.062685007052193,0.0744122762412319
"[35,40)",0.0409556036885059,0.0501807158771067,0.0550578193673306,0.131808823000348,0.333079759802888,0.541937817326195,0.669413173117477,0.746986517196203,0.660037306251833,0.57436842278652,0.460147740482798,0.299804330029704,0.167423289201257,0.0954173317620958,0.0661168775700163,0.0572520421994138,0.0817297757780089
"[40,45)",0.0374331503760672,0.0443485317512098,0.0479000574920156,0.113114673869126,0.276555689763788,0.431220680331053,0.508886154633836,0.583755820726464,0.637664043018756,0.5744491712538,0.455111869637219,0.291332555247658,0.158403094365142,0.087712507564888,0.0598128661846726,0.0524252551985798,0.0902035988455943
"[45,50)",0.0308379611169864,0.0380440506729149,0.0420679306526553,0.0991968900925648,0.234975604297742,0.351178789665373,0.397925633525013,0.443790838729829,0.501853137444836,0.542193981223236,0.444650979322349,0.276263843597726,0.144338282939195,0.0773498762309431,0.0526675057460527,0.0481097254079571,0.0963463247451485
"[50,55)",0.0196459927445702,0.0269050994516873,0.0310180604661082,0.0727295994352139,0.167352935956733,0.242214740008234,0.267153935887819,0.292877665737867,0.327524944891971,0.366286098759741,0.369151155106238,0.235469268533676,0.118472681531939,0.062354654920092,0.0431245336845815,0.0410762068451498,0.0818437789707278
"[55,60)",0.00799821614667437,0.0129856897538323,0.0161680170587666,0.0374474701436349,0.0835549117615694,0.118366090804141,0.128905581457191,0.139773452219631,0.153572363425923,0.166695188059924,0.172477347563649,0.137858697118607,0.0725600161422015,0.0384411420349255,0.0269104196924605,0.025202180677237,0.0396258782546771
"[60,65)",0.00220658676827741,0.00440142098552474,0.00631434073730142,0.0148557645656271,0.0323465205820786,0.0450767578706596,0.0487932552124824,0.0523420989841543,0.0559933156317916,0.0584021750892523,0.0581921659643287,0.0486570578029235,0.034536205127911,0.0202879424437979,0.013579661777885,0.0110302965902674,0.0110494698321283
"[65,70)",0.000563848052482305,0.00134369230959393,0.0023237314957883,0.00589194055370431,0.0128926566258823,0.0177232876773321,0.0189523461281482,0.0199941294646379,0.0207813625080465,0.0209771787047463,0.0205284023647612,0.0172776520160123,0.0135980918895648,0.0135076152700731,0.00919628898323457,0.00550723077607445,0.00311823432780704
"[70,75)",0.000173696964420966,0.000462449328158302,0.000929730381599818,0.00268948145953997,0.00634348848094609,0.00888074402819367,0.00937473023907654,0.00968493694299147,0.0099064108398503,0.00998480151629239,0.00992475771019406,0.00845508819842603,0.00636265171062961,0.00642868046693613,0.00619072777727546,0.00268408702422897,0.0009079612980121
"[75,80)",6.18973046306949e-05,0.000179553855605855,0.00038853676347447,0.00123892487578952,0.00327516668657718,0.00495703839613869,0.00536143204495783,0.0055244146499266,0.00571969799074053,0.0060081447392002,0.00622725509991086,0.00521610848755124,0.00340445196737427,0.00253602382421315,0.00176810240991451,0.000313695718636135,5.39517693938917e-05
"[80,Inf)",3.64022484816624e-05,0.000110144498966644,0.00024296916000412,0.000773786081152826,0.00221012853716862,0.0039286981231032,0.00513914361454297,0.00636802311251566,0.00794667492356164,0.00971564636895585,0.0100189229489051,0.00662241562343088,0.00275378797695383,0.00115946552415617,0.000482955591519622,4.35647002593785e-05,7.04344067661799e-08
