"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.01157306537236,0.434875662812161,0.0810162866967558,0.0404521542205283,0.0523589302132437,0.0862462228199462,0.111125940304404,0.112167933417854,0.108189937327937,0.100911778385955,0.0798507876634455,0.0488724372457612,0.0217320209102577,0.00653678599192246,0.00149779861491061,0.000458147225029734,0.00196032170594739
"[5,10)",0.424380280562053,4.75617547490072,0.456483217507253,0.051697784664905,0.0599537440231419,0.125727106877753,0.205429029995522,0.208869318060804,0.192175179704879,0.209534169567834,0.205441358216459,0.127319472607189,0.0527872252647141,0.0209395593260352,0.00926558101635602,0.0045558733179305,0.00473076286707958
"[10,15)",0.0791462769683125,0.457753713695224,7.25383440335264,0.545667649435586,0.0952805170185198,0.102136865831071,0.177186106772133,0.229380123588048,0.219775045561376,0.229439858802549,0.246734675944097,0.162287862302128,0.0537119518005926,0.0153032974866043,0.00749747779240348,0.00578145487174874,0.00386043701105763
"[15,20)",0.0406472896198215,0.0533485772630113,0.559046080188263,6.02937574591745,0.444082365603994,0.108605469076327,0.0985871396361495,0.142040232497931,0.174153939361159,0.178449645047509,0.164260939880628,0.103533558303822,0.0321564958356291,0.00657336658942047,0.0021330996376651,0.00184536426437586,0.00187870687020971
"[20,25)",0.0528966391868984,0.0622034675905056,0.0985333534463013,0.446217099910698,2.01625278332947,0.287798174298058,0.0879088038379683,0.0699131105699734,0.0960014878627607,0.121009224754866,0.103210955208791,0.0540974991804192,0.0162696471728607,0.00337867181669414,0.000828862664407091,0.000527123756811582,0.000763229834430316
"[25,30)",0.0821015934553788,0.122914012127311,0.0995258447217331,0.102890021997839,0.271413935363141,0.588501055055695,0.169390142834861,0.0514474088001902,0.0408844672289559,0.0606065636945204,0.0691597766071841,0.0392740885230254,0.0116263423108018,0.00278531367734011,0.000773622130647401,0.000367170864310787,0.000326687874791916
"[30,35)",0.0986563511315429,0.187297675006925,0.161020477040811,0.0871043669264178,0.0772510970153615,0.158024121376206,0.291200676899917,0.0964975394180003,0.032711923966588,0.0325832524867163,0.0516991046667019,0.047547560253255,0.0180424526863577,0.0044010919845336,0.00122812033992264,0.000493487288133374,0.000191427982546203
"[35,40)",0.100077613104585,0.191383212363331,0.209491229629837,0.126121653839181,0.0617432562908888,0.0482192248000158,0.0969761585398675,0.162314167246652,0.0669761448621937,0.0354322513013859,0.0442373048682685,0.0576666225696949,0.033415563906972,0.00887056479464268,0.00195691988874265,0.000634589367011909,0.00018265864796236
"[40,45)",0.101141780331247,0.184502387983388,0.210311948386062,0.162026887631408,0.0888350545624092,0.0401504637136996,0.0344461122827192,0.070171214442932,0.107620737859774,0.0688568696081833,0.0479688846395131,0.0446288902249905,0.0306417462836446,0.0107901196572109,0.00248435669881378,0.00074909580110994,0.000266280049566419
"[45,50)",0.0927265288708645,0.197732459753861,0.215810640084508,0.163187877414267,0.110063496707298,0.05850194451381,0.0337246131483647,0.0364915802019479,0.067681482846577,0.100545240972081,0.0702635414577401,0.0323729233824036,0.014710753959448,0.00685331580427732,0.00283543283403717,0.00132796250221597,0.000657697288509058
"[50,55)",0.0657933289275207,0.173840717149051,0.208101250032836,0.134693619103876,0.084176553190539,0.0598611059288473,0.0479817494276423,0.040852919302052,0.042278400853738,0.0630067092348896,0.0787582980856699,0.0383594633125643,0.0103999321746406,0.00436063414806563,0.00330298353239358,0.0029679553906929,0.00183209972957548
"[55,60)",0.0333860384543796,0.0893216410634787,0.11348246862972,0.0703869414976568,0.0365797527267992,0.0281835375616151,0.036586387441979,0.0441526920002939,0.0326116861721441,0.0240669285284914,0.0318045380267217,0.039408392807409,0.0173674400852053,0.00527523857158345,0.0030854349051782,0.00330857004636952,0.00285087852974462
"[60,65)",0.0118472911385442,0.029553488460615,0.0299731042571129,0.0174460746238767,0.00877929750799677,0.00665810362922759,0.011079111215771,0.0204173569336218,0.0178685262436074,0.00872753774829422,0.00688092457567786,0.0138602629835405,0.0242806160272945,0.010609204040492,0.00261466687711578,0.00154696196594988,0.00235466547799694
"[65,70)",0.00286481086221344,0.00942454074787134,0.00686528470004209,0.00286701261117776,0.00146568411747681,0.00128231374544646,0.00217261379872496,0.00435727269080784,0.00505841228963325,0.00326866407504496,0.00231941618254795,0.00338433154141301,0.00852913611248797,0.0130500071862866,0.00365799402973636,0.00102556424003978,0.0015588474159464
"[70,75)",0.000525132078018887,0.00333617445253482,0.00269074260254711,0.000744279963897597,0.00028764735566092,0.000284926279025959,0.000485005259050794,0.000768988686705567,0.000931719853984668,0.00108186319153708,0.00140546124841808,0.00158354576924712,0.00168156067356772,0.00292637708761387,0.00356904482496675,0.00135532588202814,0.000600216014291969
"[75,80)",0.000118607458208838,0.0012112660615994,0.00153209579949055,0.000475443711018033,0.000135077250834723,9.98535819088975e-05,0.000143904146708924,0.000184132949240771,0.000207443855981144,0.000374136955363631,0.000932527507156649,0.00125385229877548,0.000734628254753581,0.00060581234628818,0.00100077775317913,0.000382533577367362,4.67017941800041e-05
"[80,Inf)",0.000512092165629958,0.00126914993888888,0.00103228376464242,0.000488415984632158,0.000197350761365808,8.96483491677962e-05,5.63269979586645e-05,5.34801727558782e-05,7.44073242750639e-05,0.000186975494973379,0.000580854338103743,0.00109018098968525,0.00112831679529878,0.000929164700878748,0.000447211783307218,4.71245871429809e-05,3.86988984722347e-08
