"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.599045464318522,0.496636873772884,0.247838520803119,0.166855748439022,0.237794346706545,0.451671306765291,0.616862135664068,0.469102280388074,0.253654456123186,0.168997916372452,0.173769302074174,0.20206763166303,0.18890660684617,0.137331314543525,0.0948417719838681,0.0718106188897537,0.042060405188934
"[5,10)",0.495904502915401,0.801984245155008,0.528077335061363,0.191658506010802,0.125077703672661,0.216621899864927,0.479770671976158,0.638169148656298,0.429548022993233,0.215117754725121,0.143211817607025,0.147345895221427,0.166073133424379,0.153202487924763,0.116328824779053,0.0855691872656679,0.0537654231056176
"[10,15)",0.248010268430376,0.529223708515721,0.867927889803474,0.448370289333577,0.152775699565313,0.113860074628876,0.225334251755581,0.481909017894853,0.56842076385075,0.35702910037272,0.179325729792914,0.119028616602421,0.116711063932437,0.126666451656865,0.118506887204485,0.0929034061725234,0.0555809585777496
"[15,20)",0.171705573896248,0.197520523610299,0.461083087880324,0.742104020176326,0.374374065112317,0.141894017517492,0.120271535771496,0.230525139861837,0.43853509618595,0.485235431535489,0.305031618299924,0.150413208166429,0.0923161125933857,0.0841541061372432,0.0907022572589299,0.0869556843515971,0.0548056715829611
"[20,25)",0.249707337536617,0.13153780413115,0.160318339343197,0.382025465592565,0.600991184070181,0.326158963717109,0.140986442712308,0.118128186197464,0.202025085598337,0.358478423147568,0.394066798626984,0.24209083856535,0.111021805578513,0.0639240958898622,0.0593616053813127,0.0679688067963928,0.0566482752572502
"[25,30)",0.458239950485551,0.220096794437365,0.115435943617446,0.13989149533606,0.315115660646349,0.494997790388348,0.295436047858863,0.127139521290602,0.0959876870137213,0.154454148843195,0.275768776216165,0.301136237129474,0.177154147083562,0.0788750755824116,0.048026909097467,0.0489632196704112,0.055463326647408
"[30,35)",0.58789796103148,0.457918771373042,0.214605178850741,0.111386735871438,0.127956223872403,0.277528046393025,0.440755636897625,0.260076990729836,0.102419763952449,0.0737862412566877,0.121768105363651,0.221021662367078,0.238227361593313,0.139886323821867,0.0665856975559329,0.0440250590808047,0.0476255508255683
"[35,40)",0.437152082055006,0.595582216606348,0.448775569063842,0.208756535701681,0.1048307671879,0.116781791058582,0.254303945135045,0.404841089249035,0.227413137767799,0.0879763236162071,0.0661467238969459,0.111664694817022,0.199633529361808,0.212913058876568,0.130658615732479,0.0650412006391894,0.0414209265030664
"[40,45)",0.246377189663421,0.417840598586935,0.551730611787171,0.413922597418285,0.18686739082426,0.0918973695195759,0.104382556815661,0.237032853213597,0.389463521415029,0.224642482967429,0.092229140293588,0.0703324115774463,0.112724805034762,0.191597892445433,0.206939018339004,0.130405293281429,0.051406357069493
"[45,50)",0.171214780622346,0.218261466853243,0.361462014938604,0.477715341714301,0.345854272935778,0.154237165324049,0.078437085891621,0.0956446552646095,0.234311602111541,0.412669910909832,0.251965257776076,0.103024383150353,0.0721117053257453,0.106610812952844,0.182628420274609,0.20641912885525,0.0948646345835591
"[50,55)",0.175616586456591,0.144948004526788,0.181106579138985,0.299567098659525,0.379256071103656,0.274705350947062,0.129125549410603,0.0717357770250497,0.0959627387468503,0.251346726311478,0.460771620267604,0.274134233673624,0.102066250925461,0.0662743964928747,0.101275630768454,0.187282935893012,0.165231488780182
"[55,60)",0.190912273209941,0.139417101325069,0.112379638202996,0.138095603360934,0.217813941386232,0.280433356187439,0.219107930909754,0.113210829839075,0.0684123652283032,0.0960765095487192,0.256275976094441,0.464197365850437,0.260604201849046,0.0933605621770417,0.0641134593158998,0.10575200813294,0.184866690828751
"[60,65)",0.158655327744862,0.13968436661001,0.0979532133036433,0.0753428078669839,0.0887944907553026,0.146652134825746,0.20993522425008,0.179918570174766,0.0974695599483985,0.0597796510650523,0.0848197916765556,0.231660414757908,0.43126546339166,0.243349239621054,0.0911946076578048,0.0649203863080423,0.130480090135478
"[65,70)",0.0979547132889414,0.109436573922383,0.0902851889564042,0.0583294460438942,0.0434200757094707,0.0554530070705205,0.104692887224731,0.162964516696151,0.14069818250771,0.0750580214391918,0.0467744907397235,0.0704826332853822,0.206670381375543,0.396771962304322,0.225796958800548,0.0837052243769962,0.0726295768723789
"[70,75)",0.0531205070080745,0.0652515454571652,0.066329280853758,0.0493670785351272,0.0316620048387531,0.0265140909695065,0.0391317855563691,0.0785300000319974,0.119329256783782,0.100965037479844,0.0561274141417767,0.0380079691408038,0.0608168886084703,0.177306590863496,0.326997473464318,0.178360994088279,0.0525197422761673
"[75,80)",0.0297461657629761,0.0354977348279733,0.0384567967692335,0.0350023401900853,0.026811566654592,0.0199913372081402,0.0191349984211314,0.0289111832646881,0.055613412349309,0.0843980400708634,0.0767623140698905,0.0463653827812379,0.032019600292889,0.0486115118773434,0.131910588039698,0.230900620840374,0.0767623171377734
"[80,Inf)",0.0235782311341357,0.0301843443012185,0.0311360092149704,0.0298552046437596,0.0302408978832521,0.0306459603934408,0.02801327853012,0.0249168174548137,0.029668568776446,0.0524906805025129,0.0916511903900684,0.109688055691466,0.0870912458668729,0.0570815190464557,0.0525651372708712,0.103882769725457,0.147256103275451
