"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.30776195209851,0.62203205209679,0.136124310363759,0.0673888044383593,0.0867717399666309,0.143218680562779,0.184555890813873,0.186531899612202,0.17989943828566,0.167861820368922,0.132832497597887,0.0812957247621484,0.0363274363837797,0.0110385622504221,0.00253383607377699,0.00076535620067423,0.00343766479050083
"[5,10)",0.58776400924769,4.91415157105792,0.573642136810768,0.0831004908017086,0.0961320286678511,0.202400585088998,0.33050763805308,0.336935293597759,0.309435606485296,0.336998907033791,0.330846827693547,0.205158328730625,0.0855213326558848,0.0341035879317304,0.015064569593602,0.00736517423304424,0.00778319981238747
"[10,15)",0.119135598846316,0.53701626293799,7.4334933441765,0.668972851789536,0.14162951493712,0.152488789373645,0.264549119653552,0.342400328504954,0.328013193849192,0.34198029143836,0.368578035553327,0.242757538458256,0.0810033788030341,0.0232857086098668,0.0113536304149978,0.00870434729633989,0.00573726636073785
"[15,20)",0.0534277832284921,0.0699408768399533,0.612359682007498,6.26109661725383,0.547336682984004,0.142160000647047,0.130180056555706,0.187364453631,0.229877450327652,0.23564997559489,0.21758440622858,0.1375287742421,0.0430506527389658,0.0088928593214254,0.00286971930294042,0.00245935192103372,0.00245538103780326
"[20,25)",0.0609716342660218,0.0717076875120117,0.113709680137448,0.487979182756592,2.14491381283142,0.329214318636649,0.101977117706015,0.0811832536849822,0.111292333828867,0.140682182133854,0.120188643743066,0.0630892365093266,0.0191212112063419,0.00400998040024667,0.000978098330147636,0.000613998419472183,0.000869656144287323
"[25,30)",0.0894086517579946,0.134134261149412,0.108770702756715,0.111938089580543,0.292885711022005,0.629258129448995,0.185830319197671,0.0567823627556626,0.0445721563684699,0.0660503024343761,0.0756817138144144,0.0430076736013246,0.0128167943456622,0.00309743575697173,0.000857788627921014,0.000403164991383591,0.000350337621106392
"[30,35)",0.103206806580022,0.19620497223407,0.169036654753649,0.0918217320212952,0.0811584289561901,0.166529550399286,0.304846728086364,0.102714537624775,0.0345683028505455,0.034097882415624,0.0542336060755727,0.0498675873584783,0.0190177587669202,0.00468272730741691,0.00130493680548846,0.000522175104229822,0.000199568891794047
"[35,40)",0.0919586208065551,0.176333132010318,0.192871318364807,0.116505689195664,0.0569582004174461,0.0448407552049935,0.090578630806295,0.15224016763488,0.0619922902756512,0.0324502022796937,0.0407104935229198,0.0531459950271816,0.0308310110162041,0.00826583104200243,0.00182786636227863,0.000590883975462233,0.000167570728810541
"[40,45)",0.0757971561833524,0.138401714690511,0.157909608823913,0.122163107712296,0.0667327196221494,0.0300820114529071,0.0260447824505884,0.052995644025357,0.0827650485674972,0.0514935203503323,0.0359249679032395,0.0337896938027491,0.0233518585931349,0.00828175739920821,0.0019010555063834,0.000567259838941766,0.000196756662729508
"[45,50)",0.0589279176049322,0.125587304240741,0.137171656803255,0.104341520509875,0.0702843660730757,0.0371418984883111,0.0214050450482331,0.0231071954633449,0.0429101972906839,0.0650243317943097,0.0446931147693394,0.0206511553596606,0.00947617503920076,0.0044370906524038,0.00182468699957946,0.000845128522070647,0.000409378810633746
"[50,55)",0.0381723774738533,0.100929919332081,0.121023152770582,0.0788666211088739,0.0491539898941985,0.0348382195452267,0.0278697405086391,0.023730773946337,0.0245029376849275,0.0365901445086163,0.046407365189161,0.0223265705554795,0.00608265465490484,0.00255148430317898,0.00192066206038861,0.00172328967735591,0.00104873860766935
"[55,60)",0.0186322934470272,0.0499155477201451,0.0635719413026188,0.0397569241075425,0.0205780562572975,0.015789365630167,0.0204379125702742,0.0247075574995345,0.0183806032205031,0.0134826045408878,0.0178079152016819,0.0222334894400906,0.00977480554132203,0.00298018040048597,0.00172755282980293,0.00184827195708236,0.00157231077532094
"[60,65)",0.00630883342054357,0.0157665564249214,0.0160735418128049,0.00943006413395387,0.00472585267047199,0.00356544587188259,0.00590599690848345,0.0108608230952931,0.00962526415662827,0.00468789869313489,0.00367589077399153,0.0074073463973296,0.0129782701175957,0.00570260486147768,0.00140675737619429,0.000824602486955973,0.00122725255870233
"[65,70)",0.00135314066803492,0.0044379109952666,0.00326147485445255,0.00137496756693071,0.000699557079129477,0.000608209032558179,0.00102647617861264,0.00205531136349271,0.002409516117026,0.0015493858006514,0.00108837476911747,0.00159394885317095,0.0040255060963231,0.00620042374819979,0.00172924082035036,0.000478628669788373,0.000714114394156673
"[70,75)",0.000206589376892274,0.00130386995839728,0.0010576899168689,0.000295113778169063,0.000113491270701886,0.000112028849936738,0.000190256070635841,0.000302297513912473,0.000367875752887863,0.000423788027241483,0.000544923525109332,0.000614557042691457,0.000660441511197029,0.00115019475848854,0.00141749235252842,0.000530589144667057,0.000233671996895351
"[75,80)",3.84942908502582e-05,0.000393245556152001,0.000500222323733055,0.000156017743777695,4.39491461277713e-05,3.24814683815672e-05,4.69643647126253e-05,6.02831023734669e-05,6.77160553351256e-05,0.000121083875093724,0.000301610275745701,0.000405601903321327,0.000238815796089934,0.000196381689456695,0.000327318771842797,0.00012978613150348,1.5926198396344e-05
"[80,Inf)",0.000150890319264959,0.000362663719627196,0.000287737857081841,0.000135936894852119,5.43245192093262e-05,2.46322878199041e-05,1.56642739106884e-05,1.49195826244903e-05,2.04976557345503e-05,5.11863362841649e-05,0.000160184406490987,0.000301118635608853,0.000310182640164933,0.000255702634688787,0.000125798380594745,1.38988179227246e-05,1.14594919529963e-08
