"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.31832467709566,0.690635223017535,0.250955840239397,0.149391787138902,0.179251458182912,0.375564191112089,0.67020289303253,0.649710590622899,0.419957104705722,0.30624504604223,0.282397146730854,0.259316579917537,0.225489095037958,0.19900641414323,0.160588180150595,0.101786663547457,0.0528275398532288
"[5,10)",0.687874196567896,3.0212529011268,1.17508898186628,0.307225134491298,0.192043522536715,0.241498761492591,0.41398389339838,0.521131522580151,0.394659282403237,0.25435776961587,0.215586383275752,0.230416588566481,0.246328998229271,0.251987883906345,0.230143348581183,0.167485930478548,0.0979049535476118
"[10,15)",0.250335810811038,1.17689070517873,4.71285916701306,1.37823307856251,0.390662802322885,0.266806924187248,0.301416720180229,0.389768707087234,0.395237620562893,0.28165490613524,0.179076886519185,0.141682083705259,0.143182365016931,0.150421375823382,0.138418455795488,0.103725941305824,0.0703242266296946
"[15,20)",0.149573416858806,0.308833313169121,1.38332647203462,4.53401256221157,1.45325081097362,0.559794978920662,0.42230398670921,0.411513064828483,0.452824995532942,0.439003666266136,0.306618648965484,0.177698060949782,0.128863777913839,0.127992146402751,0.127502556319039,0.103849247637639,0.0829057224153816
"[20,25)",0.174730198371349,0.187951000323418,0.381752298348179,1.41487526585327,3.06131934747953,1.17214413461871,0.635640544896196,0.488958998195061,0.450048774300522,0.502303924458176,0.495175893372383,0.333254314807861,0.192253995340717,0.147840469884704,0.148238170846465,0.133073823438649,0.110821850043389
"[25,30)",0.338393557313075,0.218470358953154,0.240995721190402,0.503778020469674,1.08346192753777,1.62928591309853,0.823362507434299,0.526485387223143,0.41697540061598,0.415732657870989,0.494954075014641,0.481837701675136,0.326340505406148,0.197990877591876,0.149973716213297,0.126852634798315,0.103426907415983
"[30,35)",0.523946315750111,0.324940349099423,0.236222988286971,0.329744819981142,0.509784716729857,0.714387210374394,0.978538357307604,0.5875232574423,0.408821744063872,0.356519437012402,0.377948300107766,0.435498323917645,0.414435264488776,0.283385292500389,0.162782855606464,0.100096164861265,0.0747475827495565
"[35,40)",0.418090251711876,0.336695370383432,0.251438276235552,0.264488035716459,0.322787914226153,0.376009232110214,0.483609324498698,0.692801021404631,0.44239217485173,0.331365817824111,0.297197625656556,0.297248179194104,0.330953880822136,0.318367100272764,0.208006016898093,0.0982661809953971,0.0518547655369032
"[40,45)",0.222860143937651,0.210275900287898,0.210261654036397,0.240010462111829,0.245008857023374,0.245583960784922,0.277511489041638,0.364825187798655,0.493589675496733,0.318673416862108,0.242335578865322,0.207681250381382,0.206881194878225,0.240035830483807,0.222841422961059,0.119353614755095,0.0422650117715718
"[45,50)",0.140627741846353,0.11726992422568,0.12965628634412,0.201345712475397,0.23662641802255,0.211874242988422,0.209413487942631,0.236461010965966,0.275753030612368,0.354596518658038,0.239206695594991,0.181666916768584,0.16014509697583,0.165609380591467,0.179570190733059,0.134213282825723,0.0517144907944304
"[50,55)",0.114845539238246,0.0880267887726935,0.0730075355401221,0.124544542144877,0.206589406480698,0.22339879286784,0.196610057657529,0.187823127058916,0.185713525069174,0.21184841917918,0.322661176360259,0.231896001819552,0.178535532031412,0.15802427357178,0.150461902754251,0.136091003878789,0.0861896264431968
"[55,60)",0.0917942193042493,0.0818914376113086,0.050277573490268,0.0628260917328996,0.12101955618245,0.189298824495953,0.197192794989168,0.163513703409162,0.138533518152852,0.140042211998422,0.201848014375192,0.339364492803132,0.238502828293994,0.186026629095684,0.163515142572344,0.141721498932731,0.124404620622596
"[60,65)",0.0661060321252394,0.0725054734510277,0.0420803559689451,0.0377327722280421,0.0578210065864818,0.106181442127708,0.155414579125811,0.150776247084548,0.114290225294401,0.102241511780549,0.12870232186749,0.19752589248071,0.290936924379224,0.214842912918836,0.18032235513225,0.14007270734235,0.106157368032323
"[65,70)",0.045018563768565,0.057232659355582,0.0341120990873924,0.0289187949074919,0.0343093604631061,0.0497086344679568,0.0820014204653782,0.111918697587467,0.102322975749172,0.0815844824996672,0.0879011459586349,0.118881596920112,0.165779202703493,0.257026135635635,0.194923149797873,0.117459178973404,0.0692174114472711
"[70,75)",0.0265628793735055,0.038220794165523,0.0229524949300665,0.0210645785062741,0.0251545381752572,0.0275320669905838,0.0344421095425818,0.0534671919360655,0.0694592393098089,0.0646835558708955,0.0611975867086815,0.0764072384483314,0.101740905314994,0.142528079384756,0.221200565107743,0.109257131904638,0.0597005705246747
"[75,80)",0.0116375966582088,0.0192260672895169,0.0118886935780913,0.0118590004238791,0.0156084502545693,0.0160965945677731,0.0146389311276501,0.0174592830054839,0.0257146445243478,0.0334168870286865,0.0382602684617,0.0457744475796477,0.0546273833527621,0.0593655945729381,0.0755197675238475,0.090024138300179,0.043459980258527
"[80,Inf)",0.0064772793342757,0.012052485323419,0.00864393578126615,0.0101528753911761,0.0139396658527127,0.0140743345533405,0.0117232735843276,0.00988031565535766,0.0097653038428109,0.013808374654414,0.0259856396555184,0.0430907153531097,0.0443983505622932,0.0375165619766677,0.0442536552364343,0.0466068061366881,0.0106425287689161
