"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.15191274382839,0.515157287050786,0.105227191493458,0.0524418252010616,0.0678701333582877,0.111929525593395,0.144252682127008,0.145829961727177,0.140616386710649,0.131234914619068,0.103728404284795,0.0633472261330748,0.0282554399175328,0.00858492254859845,0.00197237449558814,0.000599016977080801,0.00303477358341975
"[5,10)",0.513239471665533,4.84895520856552,0.513862009397309,0.0685899052488529,0.0793582364906029,0.16632787098282,0.271579610057922,0.277554198611403,0.254644722303387,0.277568751483966,0.272206932549635,0.168210390333256,0.0699480981045369,0.0279022886001506,0.0123530945301895,0.00605791862313738,0.00674862854998032
"[10,15)",0.10496720967623,0.51458605880288,7.37650249655115,0.619222328625506,0.126001311733445,0.134984137828773,0.233230721375091,0.303179258060434,0.290902479819323,0.303297068153897,0.326304910249296,0.213846293486784,0.0710315370309954,0.0203850441213835,0.00995619693535529,0.00765907940163369,0.00492402513451892
"[15,20)",0.0525055836860822,0.0689489410527358,0.620990338868619,6.21540623778501,0.5378177027728,0.140150218828883,0.127009307647065,0.182453259353172,0.224769025041138,0.230587751768692,0.212247384738604,0.133381923237499,0.0415666916304493,0.00857996129728898,0.00277375617581152,0.00238940736085015,0.00231138823915987
"[20,25)",0.0661582448778874,0.07766708158282,0.12312738777052,0.524251856757094,2.19309270479487,0.355486173174075,0.110561791388236,0.0871707256039306,0.119494857052968,0.151340479986302,0.128971432921022,0.0673855238422761,0.0203484330413355,0.00426740327978458,0.00104397823618521,0.000659723773946568,0.000918219613780478
"[25,30)",0.100851548763896,0.150467478395932,0.121925619975588,0.126125818323949,0.328859579078954,0.686724592791825,0.209533451075227,0.0639613956038625,0.0500127906479249,0.074270173608916,0.0847968948852071,0.0479259546704611,0.0142435099426006,0.00344256731034391,0.000954616024081926,0.000450627970352791,0.000384942231885345
"[30,35)",0.112772806747418,0.213165716608171,0.182785009174696,0.0991718349911035,0.0886707305828042,0.181889556777356,0.328867327845313,0.111824769388499,0.0375010156377263,0.0372063211873787,0.0591295341544156,0.0538750281799029,0.0204038131156366,0.00502232591326059,0.00140237823695201,0.000562032923894368,0.00020626267952935
"[35,40)",0.0938419140546785,0.179323663324492,0.195579759613765,0.117266517884431,0.0575460453803697,0.0456804231026315,0.0920901286467409,0.15480439178073,0.0626505799310226,0.032832994390534,0.0414715905478863,0.0539116171864465,0.0309993694811848,0.00827707991326588,0.00183299532184836,0.000593776538965991,0.000159358701260948
"[40,45)",0.0746214025936941,0.135675633700659,0.154756615736602,0.119134142551158,0.065053612005105,0.0294557885167333,0.0254559911289191,0.0516832335051567,0.0811568668307625,0.0502941582776882,0.0351451628501748,0.0330639862708602,0.0227452803993024,0.00803188115622322,0.00184126815452241,0.000550502741319979,0.000182310256665223
"[45,50)",0.0602630799511237,0.127971189962464,0.13961898287336,0.105757329005588,0.0712938003014822,0.0378510961601938,0.0218543638424172,0.0234294626331873,0.0435250125557448,0.0660852362265813,0.0453540655616806,0.0208792252297041,0.00955263680568216,0.00447216193659392,0.00184484279717299,0.000858172901632502,0.000400882863809358
"[50,55)",0.0421843657498559,0.11114571240504,0.133030665179616,0.0862121512925089,0.0538074089161732,0.0382732962764999,0.0307593951766622,0.0262092397393929,0.0269334454007824,0.0401693628512717,0.0507784792232678,0.0244287474464242,0.00665166671119121,0.00279680375153324,0.00211477368752056,0.00190245086656595,0.00111262039990525
"[55,60)",0.0224239775560224,0.0597829816475008,0.0758859021213289,0.0471578862483924,0.0244706994813134,0.0188285948783671,0.0243945080921236,0.0296563235705356,0.022055290662245,0.0160952414341116,0.021264359616846,0.0265118008481671,0.0117069727473329,0.00357397293807004,0.00207256468827814,0.00221773151824375,0.0018318436714307
"[60,65)",0.00828357140103276,0.0205888060542022,0.0208757018570837,0.0121711976240033,0.00611985659295405,0.00463441222162547,0.00765149662599293,0.014122718793173,0.0125654882395219,0.00609869453980766,0.00479503962196378,0.00969607795696101,0.0169663169102851,0.0074597872064196,0.00183457911108824,0.00107740931575374,0.00161842197201047
"[65,70)",0.00194205239497512,0.00633729746818733,0.00462285789611431,0.00193857317065185,0.00099033693197642,0.000864309114352065,0.00145327887447399,0.00290972277891288,0.00342384709446079,0.00220313013640076,0.00155572463156751,0.00228397198988371,0.00575641991370021,0.00880495700720475,0.00246208757645205,0.000685189007680228,0.00104388273079047
"[70,75)",0.000326250324006129,0.00205152608692087,0.00165093273413715,0.000458249672864949,0.000177152687774714,0.000175247723327256,0.000296719606479958,0.00047116479682985,0.000573919712408458,0.000664536756667762,0.000860144951926187,0.000968466539830079,0.00103510038728811,0.00180031798352674,0.00220559190185611,0.000830179521645762,0.000353916840873894
"[75,80)",6.84875378338308e-05,0.000695401403270555,0.00087785607872022,0.000272856891597469,7.73800995666821e-05,5.71811200547783e-05,8.21965684276214e-05,0.000105498275508535,0.000118605392319029,0.000213670855083482,0.00053485005485621,0.000716302296349309,0.000420182152799168,0.000346304590167351,0.000573835124804064,0.000221661343004887,2.51125239916883e-05
"[80,Inf)",0.000372099027717437,0.000830782750050424,0.000605238892597357,0.000283059312302262,0.000115497752388138,5.23829426078558e-05,3.23498598004917e-05,3.03639261423733e-05,4.21226677900564e-05,0.000107040419251507,0.000335448173735516,0.000634505807115324,0.000676874977242843,0.000565795373551459,0.000262344458700407,2.69308739469051e-05,2.00908969499611e-08
