"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.83317720393519,0.303229744185427,0.0444130534877329,0.0221780158480296,0.028902695631956,0.0480138853316188,0.0616884475058977,0.0621011852244641,0.0599163536542449,0.0559912261244284,0.0442544853685057,0.0269532485669339,0.0119560399562178,0.00361764637024681,0.000833261835912422,0.000256307367451767,0.0013886143315484
"[5,10)",0.32967600089465,4.67320434221714,0.387811245050142,0.0321166296691633,0.0370849965978392,0.0781851173371624,0.127155951925586,0.128908756694272,0.118606007850311,0.12942038338767,0.12684104618949,0.0780861550691913,0.0322465690645724,0.0128346073188776,0.00570411675826594,0.00281388168175506,0.0032345491790593
"[10,15)",0.0522642170591986,0.41148580288713,7.12805650070609,0.473836507888525,0.0627406371315489,0.0676513332951204,0.117353906998256,0.151022462059779,0.144730099220682,0.151106866260973,0.162296201879328,0.105793188662817,0.0348078442587606,0.00996989906710771,0.00490602987751453,0.0037898010260852,0.00240447451788544
"[15,20)",0.027024635240173,0.0356516392204593,0.488379342354071,5.82817943327348,0.332667897063939,0.0713931501618038,0.0656384530569168,0.0943328117769673,0.115449945056881,0.118291573474389,0.108719769471143,0.0679705103645247,0.0209539262658492,0.0043045760037865,0.0014074821795229,0.00122732335859469,0.0011621997487642
"[20,25)",0.0360033922224322,0.0420838732018585,0.0664140830452086,0.339659854333264,1.78013988566279,0.196338533488056,0.0587787843151886,0.0470200582706509,0.0644468638717348,0.0813640885281326,0.0691905287344873,0.0359611142496079,0.0107525727006139,0.00224202784767752,0.000552565392934053,0.00035448647363437,0.000489915674378118
"[25,30)",0.0634970295854847,0.0941939562850669,0.0760272186265403,0.0774829152171531,0.208233666637874,0.479817865443133,0.128401576613517,0.0390641699326458,0.030774016405654,0.0456308846517341,0.0522271713129782,0.0295002391620978,0.00870206318310587,0.00209621281624011,0.000584937725737292,0.000278032102276534,0.000233563317321809
"[30,35)",0.0917116524698173,0.172214517478678,0.148260143084829,0.0800832821180954,0.0701513778354332,0.144261407372858,0.267760767310997,0.0889042887722221,0.0301105299839245,0.0297302113093489,0.0473210511652313,0.0434303152208891,0.0164293276071281,0.00402129099290582,0.00112217537035562,0.000449330114003729,0.000158988624156152
"[35,40)",0.104500486783789,0.197611962824956,0.215956437535957,0.130269891915644,0.0635179561735719,0.0497061889828292,0.100595082329906,0.166389392265786,0.0693265091280348,0.0365841377970864,0.0457440250166872,0.0593659416513819,0.0340745844531978,0.00904672095375861,0.00199644559994017,0.000645980526272986,0.000168411899124681
"[40,45)",0.107376214832301,0.193634077479434,0.22040820549932,0.169792809325459,0.0927170128405936,0.0417023316163166,0.0362961395929942,0.07382521238923,0.112501855347124,0.0720071523148226,0.0501809166402354,0.0467098877842601,0.0318347236034277,0.0111730762977594,0.00256994719795372,0.000774894808447651,0.000252583850602476
"[45,50)",0.0993388461382238,0.209177131367353,0.227818777036094,0.172232771631443,0.11588489312754,0.0612169183333543,0.0354794150599811,0.0385721220961072,0.0712878606149395,0.105935025447327,0.0738126631266754,0.0338250916463797,0.0153622644337161,0.00716883137521704,0.00296990472757535,0.00139243288347111,0.000640829897079701
"[50,55)",0.0753593088619115,0.196766796529879,0.234851940211441,0.15193260475528,0.0945847649990412,0.0672495771944404,0.0542017510622952,0.0462908934427786,0.0476821124225138,0.070846232351206,0.0884727334973272,0.0428642374953311,0.0116148111013837,0.00490300846480885,0.00373444241731019,0.00336467781591716,0.00192382149022161
"[55,60)",0.0432425160983694,0.114126438818572,0.144232699006742,0.0894917949389917,0.046315665303379,0.0357881144724248,0.0468675382809474,0.0566003055469167,0.0418163332725899,0.0305871975553134,0.04038500793003,0.0501332630434054,0.0222009797026561,0.00677530404287343,0.00395555829780243,0.00423983772764279,0.00344552512719137
"[60,65)",0.0178383839838859,0.0438292512899058,0.0441317817275517,0.0256564409101748,0.0128788019825446,0.00981756588138213,0.0164879727909434,0.0302120569106947,0.0265037007379483,0.0129188618391954,0.0101765527803628,0.0206464054873466,0.0361919768448562,0.0158497654199574,0.00388515265874386,0.00229634089492513,0.00350280837902207
"[65,70)",0.00493785772654535,0.0159590646554841,0.0115640352387964,0.00482176110937251,0.00245667887360877,0.00216352179393705,0.00369196252304035,0.0073381271215866,0.00850986186235655,0.00551520541780701,0.00393002661749297,0.00576423144838149,0.0145000527682862,0.0219760465536477,0.00617384638031011,0.00173925949674527,0.00269146293730166
"[70,75)",0.00101196177030434,0.00631078535595416,0.00506312894115406,0.00140277613372266,0.00053871767445444,0.000537162502885577,0.000916690370695696,0.00144085962239443,0.00174158269379849,0.0020329467326953,0.00266335323683339,0.00299426728430915,0.00316244187920795,0.00549322207580163,0.00666056205316766,0.00253609637865386,0.00105372855594941
"[75,80)",0.000265609929321595,0.00265644871665877,0.00333738115485936,0.00104377061174777,0.00029490206403432,0.000217867074333314,0.000313204551146273,0.000397817805816546,0.000448087937292465,0.000813314198453673,0.00204760927931884,0.0027386252752635,0.00159496598664589,0.00132049006749016,0.00216404792620485,0.000798135963765513,8.52050426948274e-05
"[80,Inf)",0.00196457586040295,0.00416882156270691,0.0028907698935466,0.00134936917848423,0.000556420884702962,0.000249864890946216,0.000151297772191371,0.000141592910488828,0.000199402236490385,0.000511011639108581,0.00159835159915898,0.00303838457290862,0.00332150866432863,0.00278973597648594,0.00122753333544463,0.000116323987850773,8.17948776869059e-08
