"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00276438522602746,0.00434243195949417,0.00323888931244957,0.00337402900081843,0.00677146039233709,0.0147838176639109,0.0244064585276625,0.0295348493262591,0.0304471904500492,0.028710680299683,0.0221777854992641,0.012264006354398,0.0050500372086329,0.00195193947827891,0.000869772166427584,0.000471158678352013,0.000349438051050266
"[5,10)",0.00485981730518316,0.0111860441260091,0.00851809793862586,0.00694630349180096,0.0145045664854875,0.0274475091021537,0.0370990992511803,0.039373796520829,0.0393144471964823,0.0386011900703258,0.0330750917738816,0.0216713150513932,0.0109538616451484,0.00504778536840922,0.0025100173336806,0.00148083014737282,0.00112566819489374
"[10,15)",0.00399962164806652,0.009398932100827,0.0280746202041701,0.0240777161315786,0.0327084101202203,0.044922917225454,0.0496350426825504,0.0480354560538719,0.0472767070803064,0.0475188782455373,0.0424122807101488,0.0299763503415961,0.0174227920038012,0.00963727049984946,0.00555494097797997,0.00352384152341262,0.00266645647290449
"[15,20)",0.00447131181753314,0.00822532334882874,0.0258391743515813,0.110954801392759,0.140536754170367,0.139270645343104,0.133235215582556,0.122451118623041,0.118912125983235,0.119322635425409,0.105860258388136,0.0738852075342051,0.0436151383929641,0.025961490467807,0.0170189710718228,0.0118826936501158,0.00884198222011946
"[20,25)",0.00917451102157238,0.0175597535548111,0.0358870049756883,0.143682659093983,0.4059265565908,0.407301781870552,0.355756422220787,0.314714345763798,0.295778160081191,0.287647585235306,0.247912759561308,0.167776916086941,0.0966833921893754,0.0579006111160145,0.0409132236236364,0.0320121406875711,0.0257229800658457
"[25,30)",0.019633858876104,0.0325712993835877,0.0483130232127699,0.139570138416244,0.399240686193709,0.644669530517353,0.591468479098224,0.504806497395456,0.45454724827717,0.423598357916953,0.353463929225657,0.234085129231547,0.132663461027019,0.0783974937403848,0.0564665654530422,0.0478622005020372,0.0465702166943839
"[30,35)",0.0315609806273838,0.0428669087940432,0.0519770130361688,0.130010552876715,0.339545428069703,0.57591482730577,0.692515879348642,0.608220370853643,0.523012156847469,0.467820284992502,0.379897467463923,0.24841776439633,0.139918549847975,0.0816692820089677,0.0580740996106374,0.0504909036675796,0.0637472365888559
"[35,40)",0.0373344847515724,0.0444729332010994,0.0491716200139665,0.116802466283535,0.293623869876952,0.480486589637594,0.594553091468045,0.66340202123181,0.586499562651921,0.510098443030545,0.407207683047238,0.263351442154414,0.146716689131462,0.0842115425872857,0.0586485727723952,0.0508806257836013,0.0855378058412777
"[40,45)",0.0373747127858992,0.0431217018703788,0.0469953681012357,0.110146483754919,0.267976159639353,0.420136686157301,0.496474219026188,0.569538294348941,0.621954884713716,0.560059709699277,0.44209630911643,0.280800501026208,0.152266111934473,0.084936413080627,0.0582385404785555,0.0511780986360673,0.115409863430766
"[45,50)",0.034057027188618,0.0409144790767734,0.0456464102145045,0.106807055733003,0.251839240629136,0.378354107563764,0.429137611337128,0.478676215017654,0.541211409613313,0.584767633455216,0.477718508576772,0.29430912153637,0.153317136529948,0.0828203105789301,0.0567382155629501,0.0520144251879928,0.143875113199558
"[50,55)",0.0250976435067595,0.0334448232035387,0.0388672300371236,0.0903985721544186,0.207068035298546,0.301190175028843,0.332456970726843,0.364548510865986,0.407568880512703,0.455746752202003,0.458347600308434,0.289853519597727,0.145431424721451,0.077225031917046,0.053763314999289,0.0514070262327403,0.134412085294047
"[55,60)",0.0128954890521573,0.0203612199429803,0.0255247444188626,0.05862418274451,0.13020782166999,0.185336180140229,0.201995817372037,0.219061344450131,0.240531903657269,0.260883084013945,0.269320406311753,0.21366805579254,0.112366953276382,0.060100898062177,0.0423240359658681,0.0396796770424451,0.0716426634265173
"[60,65)",0.00481956594521359,0.00934100660894728,0.0134650601280043,0.031409748395699,0.0681027492345159,0.0953335147404858,0.103262568168758,0.110768803487849,0.118382080228181,0.123350466309491,0.122646974759536,0.101987396247075,0.0725280366407268,0.0430767662921622,0.0289252132182948,0.0233801804628908,0.0230259098307698
"[65,70)",0.00161528234886362,0.00373246770827241,0.00645822757409363,0.0162115886375674,0.0353642671618071,0.0488500723278763,0.0522630937500143,0.0551287721580619,0.0572592131711475,0.0577770949290705,0.0564709935118423,0.0472996155462583,0.0373518265745629,0.0373779653332399,0.0255127553049382,0.015150831945626,0.00748391071256418
"[70,75)",0.000575797193625647,0.00148475172303583,0.00297797250106978,0.00850180602349982,0.0199906609589161,0.0281472741731371,0.0297304033176832,0.030714686267749,0.0314082602293765,0.0316647787814579,0.031451061640354,0.0266468368377217,0.0200644499360917,0.0204098260064849,0.0194698258236869,0.00836072514667523,0.00230713332966393
"[75,80)",0.00023306926149716,0.000654539908967124,0.0014115990912183,0.00443554060691355,0.0116877775676218,0.0178275391743995,0.0193145781124812,0.0199110813540787,0.0206239245903068,0.0216909391403514,0.0224711614204544,0.0186672560139824,0.0121185962127685,0.00905674597391877,0.00624737698838786,0.0010749869361254,0.000143838843588319
"[80,Inf)",0.000248981435778416,0.000716671686598906,0.00153853885048394,0.00475401188911814,0.0135274977234524,0.0249853802764879,0.0351246829751433,0.0482147007865886,0.0669898583582734,0.086420982233963,0.084629217235621,0.0485470724207088,0.0171909636960518,0.00644381807253628,0.0024831641385225,0.00020718349272713,2.26956266115055e-07
