"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00747780109497346,0.0122868474165616,0.00925641501860873,0.00948491912913955,0.0189604190719461,0.04158187930043,0.0691007075307662,0.0840647913469976,0.0868511623917871,0.0820118918510043,0.0635325026645592,0.0353407816515271,0.0145619726995632,0.0055390648718464,0.00242836787618206,0.00131710170524396,0.000975295267679214
"[5,10)",0.0111284999984655,0.0253276224685294,0.0197024995460984,0.0156386845866558,0.0332196832676194,0.0635965913864672,0.0865649125969712,0.0922298958232056,0.0921224640800727,0.0905326243636191,0.0777802959411065,0.0512422486323234,0.0259193228671556,0.0117825299811266,0.00577338097449132,0.00341093169196214,0.00262320256760219
"[10,15)",0.00739643500452082,0.0173822018208685,0.0521529504458639,0.0435608669922126,0.0598725248650819,0.0828987468331008,0.0920071296869591,0.0892108450837261,0.0877118103776386,0.0882117933025679,0.0789712454409373,0.0561312206099595,0.0326553987845947,0.0178662313682462,0.0101646984280935,0.00645176282187293,0.00503690174099306
"[15,20)",0.0064375683986349,0.0117190465565989,0.0370002886425391,0.155936481313126,0.201842316895332,0.20137285816245,0.19324635677613,0.177794804390278,0.172527945558851,0.173362206025073,0.154434793958947,0.108525796262165,0.0641973329245898,0.0378949790372381,0.0246056336797987,0.0171686813102436,0.0133312030615735
"[20,25)",0.0108613309388069,0.0210104056213732,0.0429223074035137,0.170356658585969,0.490745758982973,0.493221773360994,0.43106866607163,0.381509632479549,0.358323686860387,0.348877969773164,0.301899686535753,0.205665111666207,0.118716428597194,0.0704838463468265,0.0494592875276704,0.0386866127028771,0.0323178029934109
"[25,30)",0.0204089635571418,0.0344631135457993,0.0509196224906275,0.145622856857213,0.422594618793333,0.687278140395461,0.630704855175077,0.538566602093429,0.484782984673244,0.452175258570042,0.37873195531666,0.252412750858987,0.143267431096563,0.0839074421903092,0.0600830528801102,0.0509768878668652,0.0502639130809185
"[30,35)",0.0288547636454545,0.039909910781426,0.0480813754047756,0.118893501635538,0.31422907584511,0.536592211315495,0.646142552507643,0.567915118301704,0.48831096839971,0.437028867838794,0.356117484871961,0.234293998454971,0.132164371621624,0.0764511729168705,0.0540499212373641,0.0470889198837317,0.0569835037058978
"[35,40)",0.0296880640205771,0.0359619548594865,0.0394280923350782,0.0925121086542103,0.23520044094905,0.387516607934553,0.480303931427854,0.536032833372092,0.473798000776577,0.412156165420131,0.330084325969208,0.214790636764962,0.119876191298267,0.0681917724629897,0.047203323514049,0.0410530499355198,0.0607767851219889
"[40,45)",0.0242315018867254,0.0283774964780304,0.030625497019556,0.0709211753377961,0.174519958500659,0.275572089364293,0.326261741471095,0.374308925342148,0.408676301285918,0.367976807524468,0.291439492995798,0.186349390925615,0.101287479861706,0.0559902023637529,0.0381463755738636,0.0335986244858114,0.0608700219836472
"[45,50)",0.0177955414651539,0.0216891894072329,0.0239541850758602,0.055424345992802,0.132151716458687,0.199905312355932,0.227095994667634,0.253237745701318,0.286187147659042,0.309372771025762,0.253610908125261,0.157376162487778,0.0821848204758873,0.0439569762275992,0.0299134698888911,0.0274853534864367,0.0585013593341117
"[50,55)",0.0106929563650533,0.0144535742375161,0.0166337891293162,0.0382964713853989,0.0887011762179629,0.129872423422419,0.143535756181918,0.157310964979839,0.175810794438099,0.196714051839819,0.198428528625989,0.12637681333173,0.0635383693036966,0.0333724392605732,0.0230820964622933,0.0221318697621388,0.0466244170944985
"[55,60)",0.00434445818051539,0.00695490952349803,0.00863543718953312,0.0196564111290359,0.0441351880593653,0.0632199173087718,0.0689740309043343,0.074766504568787,0.0821074851300168,0.0891587651569302,0.0923049601628702,0.0737400221884541,0.0387847642080882,0.0205073172451826,0.0143569304924472,0.0135189753929367,0.0220296366750137
"[60,65)",0.00122606254357629,0.00240946098759812,0.00344086613588406,0.00796381520511513,0.0174489026985279,0.0245766706353923,0.0266484393990191,0.0285796963311877,0.0305663428670205,0.0318896422115261,0.0317853242166544,0.0265640382898154,0.0188521979626784,0.0110544786816975,0.00738619209057584,0.00601146469116722,0.00607657220623402
"[65,70)",0.000329932303696641,0.000774873442481727,0.00133180829274655,0.00332569053947671,0.00732896873757085,0.0101829130068379,0.0109052973955845,0.0115014508627112,0.0119535176603024,0.0120665140069858,0.0118106692617265,0.00993659908574474,0.00782049498886381,0.00778431005064463,0.005267645042019,0.00314078749553817,0.00174888036529702
"[70,75)",0.000118501348889951,0.000311059068017729,0.00062075994513017,0.00176911125216656,0.00421329197547429,0.00597370771694504,0.00631638877549482,0.0065224934851109,0.00667202089211725,0.00672730675495616,0.00669240531066517,0.00569916121536035,0.00428091890036983,0.00431555771747507,0.00408931722726842,0.00174798273622313,0.000571955012888765
"[75,80)",5.56932380589255e-05,0.000159242876567058,0.000341414469884641,0.00106962580543051,0.00285567479324059,0.00439177051305226,0.00476833609124253,0.0049154224184001,0.00509213556649057,0.00535611764002891,0.00556031545883464,0.00465015537509827,0.00301905514059051,0.00222963268462755,0.00151464718200853,0.000255886611146508,4.18673963638009e-05
"[80,Inf)",4.57376450711378e-05,0.000135823008767083,0.000295611642759047,0.000921125494423269,0.00264572315197628,0.00480260802278003,0.00639958489801491,0.00807063428957257,0.0102314325157314,0.0126435568019925,0.0129911999474367,0.00840399039472084,0.00338457337394779,0.00137692218412166,0.000549655703782053,4.64333994530314e-05,7.09156727746576e-08
