"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",2.04005620006593,1.07724257903934,0.392811507211367,0.233439047685918,0.279430428277552,0.587861510972977,1.05128398202758,1.0168851847156,0.65859328240798,0.480356243753929,0.441863841899732,0.404686660339428,0.350721497709888,0.308843861048934,0.249853197001868,0.160355446046072,0.0840165216935677
"[5,10)",0.971828474899762,4.24630828946019,1.66854100081569,0.435573270661102,0.27162196182335,0.342531228425559,0.589746465999448,0.741007277755116,0.561014459986893,0.362221554347147,0.306816341555935,0.328028940332416,0.3506394389808,0.358641283157197,0.328629385496174,0.241693361989638,0.155781195579667
"[10,15)",0.313748939936402,1.47726646613112,5.90184497583522,1.72683645341421,0.487365038842203,0.332796953672771,0.377886778509198,0.489601403366107,0.495523234337079,0.353355451850695,0.224852256206544,0.178174629218911,0.18033085899301,0.189433260727885,0.174803842380155,0.132151724391046,0.095603573383099
"[15,20)",0.161297673089253,0.333610500315094,1.49385258167961,4.90700097710572,1.56177066822039,0.599778919344358,0.453267210295793,0.443394024688355,0.488212505147864,0.472783734656641,0.330132687402212,0.191252369918796,0.138894661137677,0.13810988824007,0.137715901368686,0.112864304059063,0.091990932559176
"[20,25)",0.164751242108927,0.17751856309951,0.359758701959069,1.332654787561,2.91890455353741,1.10667854667733,0.599938239477634,0.462136854071323,0.426118337339624,0.475174630102811,0.468502833721756,0.3149598649253,0.18135318902923,0.139672452640641,0.140190100458784,0.126605454440925,0.107965326094026
"[25,30)",0.295566487977825,0.190899252472681,0.209489105049747,0.436432177127518,0.943727595730753,1.42666020891696,0.717905775206759,0.459538712647613,0.364353044291278,0.362801263021912,0.431856876983833,0.421104696440984,0.284901321332471,0.172944028566534,0.131297390103355,0.111508406883154,0.0948687972044942
"[30,35)",0.449051670783772,0.279232206082602,0.202087709244555,0.280205059565976,0.434638118944169,0.60990690714391,0.836719797675849,0.502398181850822,0.350000593230146,0.305045474385793,0.322754795224458,0.372174318778484,0.354710199065208,0.243000509178701,0.140477988677459,0.086679846230926,0.0672259744263972
"[35,40)",0.361120515533589,0.291693402369672,0.21768315850669,0.227884862928783,0.278352960138248,0.324580317229385,0.417688031837501,0.598451057945523,0.383005582474159,0.286683103497942,0.256881634148599,0.256595182831534,0.285756653183005,0.275322201495664,0.181639975400134,0.087040618731359,0.0482617634804874
"[40,45)",0.188798429851919,0.178270313340086,0.177847202751113,0.202551461637702,0.207184043229241,0.207741526949266,0.234894902770083,0.309176120818932,0.41796102236613,0.270224136006007,0.205265012650843,0.175809853399518,0.175070243615974,0.20307215844318,0.189495741480092,0.103701803568718,0.041907436323892
"[45,50)",0.108457779815883,0.0906557699606663,0.0998874671386461,0.15449171612571,0.181968206231524,0.162924311936275,0.161244751314281,0.182271650181266,0.212833665793263,0.273384800946202,0.184171064675854,0.139789001182001,0.123187397304129,0.127521844785416,0.138520044488617,0.105127480019727,0.0488614792771708
"[50,55)",0.0779365471946412,0.0599867143996067,0.0496537303490997,0.0842726449932313,0.140155426715416,0.151499909110289,0.133275135020954,0.127586731161608,0.126295113031203,0.143872180576796,0.218677297952461,0.156930704439928,0.120846344009695,0.107048860864522,0.102117218784598,0.09281972029948,0.0681598430367739
"[55,60)",0.0558437629437663,0.05017551490461,0.0307824784524881,0.0381951317066698,0.0737150221217916,0.115575480114356,0.120233618779261,0.0997066312264456,0.0846287480303726,0.0854341529217364,0.122775302537003,0.206906048792754,0.145204500473493,0.113335296798162,0.0997907857942117,0.086658331276995,0.0814941240670873
"[60,65)",0.037612987932815,0.0416831087525589,0.0242129348572212,0.021557897404998,0.03298721441057,0.0607700713728525,0.0890579828701572,0.0862961770208234,0.0654947821835133,0.0585119345621631,0.0734778206411566,0.112849525894019,0.166619781447182,0.123003833851868,0.103439140506263,0.0810586840816797,0.062937370758447
"[65,70)",0.0244969167665608,0.0315323707443715,0.0188118116956072,0.0158541377707907,0.0187900619355617,0.0272833604087618,0.0451235612393792,0.0614940993585701,0.0561877649279937,0.044798118097459,0.0481395256405482,0.0651451148116013,0.0909736571593588,0.140889697973556,0.107503349549193,0.0657053474650395,0.0382285443025828
"[70,75)",0.0128141398281151,0.0186824932362082,0.0112242532533838,0.0102219567120681,0.0121945813061921,0.0133930804211885,0.0168669500603965,0.0262322619570784,0.0339018127578575,0.0314644323013309,0.0296927778329359,0.0370884944764821,0.0494668212681011,0.069511088690743,0.107936180630805,0.054277611105108,0.0272403634402951
"[75,80)",0.00416807352083425,0.00696370348696976,0.00430057400766769,0.00424574263920337,0.00558147613315991,0.00576473175177359,0.00527464844992389,0.00637079139196187,0.00940279320615596,0.01210237598527,0.0136785233147975,0.0163232334845023,0.0196460732155217,0.0215317792983217,0.0275085585458409,0.0334113633092981,0.0160340028844322
"[80,Inf)",0.000933949649620651,0.00191954231175169,0.00133056111018419,0.00147995730949574,0.00203557948586209,0.00209750012625223,0.00174952278328885,0.00151071211178277,0.00162505767113525,0.00240562598934898,0.00429570698878827,0.00656491755090402,0.00652366895168437,0.00535764672338215,0.00590428231998169,0.00685723552657148,0.00279716787535447
