"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.621786099859566,0.323357770721977,0.11730062807578,0.0698570270913648,0.0838733009361327,0.176268634355896,0.313875298700795,0.300790996663966,0.194448922026685,0.142548460750498,0.131800429684328,0.121378209207827,0.105887684786922,0.0937061482466519,0.075817435995202,0.0480329782818035,0.0249159301133286
"[5,10)",0.35240707175477,1.55480040600931,0.600824564068239,0.157242436608787,0.0982426681674127,0.123709208832404,0.21246713450722,0.265032546523367,0.19981138699923,0.129231098595883,0.109678609407176,0.117152654196626,0.125271805251428,0.128205646058972,0.117202225599321,0.0851620391563986,0.0491975247625968
"[10,15)",0.140964324850296,0.662514282755231,2.6523569586532,0.776142702071165,0.220122492878776,0.150347704065105,0.170264185948452,0.219659115361391,0.221543984620802,0.157878205229619,0.100484575365528,0.079455288737514,0.0801746362657756,0.0842570161307504,0.0776246630982081,0.0580982245068452,0.038977297357718
"[15,20)",0.092167832724238,0.190360890723989,0.852122388731713,2.78567080306673,0.893810448977179,0.344299075813661,0.259937187429864,0.253710758942637,0.279058277606081,0.270090943796343,0.188668184303588,0.109555956760437,0.079359736485612,0.0786885329046898,0.0785048885586218,0.0639223500800913,0.050645227296616
"[20,25)",0.117047451693397,0.125798963703996,0.255619376823319,0.945397345888852,2.03377644195438,0.778661638742757,0.422731093509908,0.325567280895418,0.300739333867458,0.335826890805518,0.330897356020789,0.223250654474529,0.129048737452181,0.0989431244776977,0.0990957463274887,0.0889560030877985,0.0734473560221264
"[25,30)",0.252394946968227,0.162534789381152,0.179140399522324,0.373656203653522,0.798943684765336,1.19878385705172,0.605620580406096,0.388301515035938,0.308599397339473,0.308256528373042,0.366905240495888,0.357974349316077,0.243765578918169,0.147902696123435,0.111381785409303,0.0938868052428359,0.0757652733468951
"[30,35)",0.472980331327179,0.293776052002611,0.213501224586815,0.296882830274751,0.456469650688823,0.637354345407259,0.874864063071548,0.526427066709558,0.367626350399554,0.321038259964702,0.339536695559624,0.390712006060722,0.374161408683119,0.257994882134934,0.147831990445687,0.0899317499197725,0.0662449327290866
"[35,40)",0.487894248724292,0.394456178256002,0.296483970511734,0.311910844402482,0.378410685125539,0.43986999153667,0.566647705619408,0.811916631800396,0.52063406487011,0.390009980631754,0.349265213600859,0.347929505642366,0.387114369438724,0.375700969189638,0.247657191275232,0.116265728743265,0.0600759853102632
"[40,45)",0.334140373962678,0.315052069120911,0.31679221381398,0.363453661020958,0.370318510169719,0.370350445947395,0.419222038182086,0.551563004811372,0.742953532874831,0.481268731582204,0.365562374381571,0.313159577813679,0.311055526500877,0.360772130770388,0.337515754715541,0.181092671323125,0.0628704486397333
"[45,50)",0.250997424947395,0.208791328383343,0.231323650034861,0.36045203376632,0.42372488954,0.37906475030722,0.375126361360477,0.423371470327877,0.493140834228311,0.633409556443915,0.428268530195591,0.325342231415433,0.286733724079053,0.295629955285498,0.320735142276671,0.240214065788507,0.0910274441468095
"[50,55)",0.230447467786744,0.17596072268827,0.146199415963709,0.250025617275684,0.414581753361366,0.448026201251406,0.393963411725003,0.376486649888343,0.371957387968757,0.42526980043904,0.648181106477517,0.466732312483125,0.359141329969232,0.317665750758781,0.302021398418964,0.273129662230544,0.170442499794346
"[55,60)",0.196270990166986,0.173822586260924,0.106912705507815,0.134270964223901,0.258684198577958,0.404260845504731,0.419262676355734,0.34685326086643,0.294684757193033,0.298778329634031,0.431646418909778,0.723533118620796,0.509311067127885,0.396988554802497,0.348909947573596,0.302085009958103,0.261790393094952
"[60,65)",0.141356921019298,0.153448853362814,0.0890634972455893,0.0802976000850641,0.123448880816387,0.227268051744622,0.331470340295245,0.318603139280037,0.241649628436886,0.217392053944292,0.274209121044889,0.420474197048432,0.618216358540773,0.456609310018461,0.383083504613662,0.297262962188147,0.22363913490123
"[65,70)",0.0917199629943986,0.115144082325325,0.0686266786951181,0.0583764870021302,0.0693973964270672,0.101103515960075,0.167579516418215,0.226713422688703,0.205496936101791,0.164337807265909,0.177832471202958,0.240302551746686,0.334787259271453,0.517971583555882,0.393039778003038,0.236682330803475,0.139385695216022
"[70,75)",0.0503833899811987,0.0714649078094454,0.0429248851621878,0.0395408241614009,0.047188381005211,0.0516924183994322,0.0651929711024763,0.101463156499867,0.130523564991806,0.121048135726795,0.114789163650027,0.143389138539844,0.190695357109465,0.266844965520276,0.414897307411192,0.203992055874308,0.112195613002059
"[75,80)",0.0218003448103604,0.0354657040746996,0.0219420817740854,0.0219890923969368,0.0289308291657759,0.0297593055188413,0.0270863788717888,0.0325322947913294,0.0478301020599837,0.0619178042850551,0.0708985903409016,0.0847886331951473,0.101063194975687,0.109747314087722,0.139321714418703,0.166271320747633,0.0799671405414201
"[80,Inf)",0.0130382731453733,0.0236224485228924,0.016972499916887,0.0200868677204963,0.0275410764167591,0.0276890177249016,0.0230043354705814,0.0193813046179249,0.0191454736921163,0.0270525735228445,0.0510112248789009,0.0847190912253463,0.0876635694882841,0.0745187210317495,0.0883487796395711,0.0921999511440495,0.0199674052454825
