"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00249781336301711,0.00405022395448134,0.00303409093759181,0.00316808823780992,0.00638751414845578,0.0139106775250232,0.0228810567950732,0.0276858980053555,0.0285632274164683,0.0269236233377628,0.020712962724122,0.0114111427377507,0.00471755655476744,0.00182621540516304,0.000809853174898251,0.000437347121958773,0.000324070368223276
"[5,10)",0.00392439032984896,0.00898384640291204,0.00689212303559316,0.00567056441011051,0.011937286780065,0.0225549049344702,0.0304312119716486,0.0323093076695597,0.0322701587591067,0.031680554303486,0.0270820711262191,0.017700810380398,0.00897307151093521,0.00413849123221349,0.00204900515190284,0.00120577120883123,0.000926325173661335
"[10,15)",0.00292512898347071,0.00685766538930609,0.0207032995689555,0.017775944755173,0.0242187304089252,0.0331887149529993,0.036619466972946,0.035446735003727,0.0348821622446921,0.0350624920714995,0.0312509959355584,0.0220639247391449,0.0128693433522011,0.00712918842379374,0.00409750213563501,0.00259464200965625,0.0020171695506748
"[15,20)",0.00330848310217029,0.00611173873346349,0.0192551947678861,0.0843588697024303,0.105969461014567,0.104775502614217,0.100132164213276,0.092040243796432,0.089346776337626,0.0896483298401842,0.0794104652489915,0.0553608986963759,0.032799293738192,0.0195556849152308,0.0128040870907279,0.00893658011114922,0.00690046274477263
"[20,25)",0.00779036890700494,0.0150258350580571,0.0306380481147748,0.123758552851419,0.349961609258735,0.350427805214759,0.306171279776548,0.270944198858724,0.254505465361346,0.247369271004387,0.212776147607688,0.143819927995689,0.0831847311193137,0.0498728919657862,0.0351944905554124,0.0275567043121022,0.0229940070375801
"[25,30)",0.0196331280758642,0.0328540609632235,0.0485864564720906,0.141601977295205,0.405521259026617,0.650192468310814,0.596911411562334,0.509778693916537,0.458854328274276,0.427294221869768,0.355804826637273,0.235402917481878,0.133950728201904,0.0792427512324653,0.0569519690798703,0.0482705370380554,0.0479471950976321
"[30,35)",0.0351883438200896,0.0483001898526227,0.0584141872359658,0.147456763960729,0.386065548858609,0.65041629413856,0.779915704657098,0.68567117392039,0.589669392070042,0.527124509918388,0.427207738802579,0.279134154456471,0.157876704067938,0.0922654491848289,0.0654535435777567,0.0568636165338719,0.0701793720327937
"[35,40)",0.0429290809086212,0.0517043959691828,0.0570102291575812,0.136659266223666,0.344466255437424,0.560058560074062,0.691331140970278,0.770571908519599,0.681541443081137,0.592455958721694,0.472039536750877,0.305069101395819,0.170691690963736,0.0981128268532606,0.0681722741907178,0.059091975864271,0.0906763992693873
"[40,45)",0.0413184157282152,0.0481775073518173,0.0523387508577637,0.1237609456693,0.301861237132883,0.470294607754924,0.554654091730929,0.635822184621926,0.69403153077092,0.624620552000832,0.492086690586806,0.312358540096445,0.170169210997698,0.0950803802981765,0.0650359799004572,0.0570921498522279,0.109024376827625
"[45,50)",0.0360532528648878,0.0437835086228153,0.0487009352066667,0.114953314943234,0.271600489857928,0.405412142202896,0.45898808428906,0.511651255724856,0.57821697176972,0.625013583743553,0.509530701069357,0.313672927728709,0.164193066895264,0.0888318341842312,0.0606930902039631,0.05558782383826,0.12572182950413
"[50,55)",0.027327962169962,0.036876843445673,0.0427673616231328,0.100325449194456,0.230176942565736,0.332610260724106,0.366506252380271,0.401652453115908,0.448817993421177,0.502023945671687,0.504762032181716,0.31893131665984,0.160804591736284,0.085508302527857,0.0593702352309713,0.0567291573738674,0.125686195647005
"[55,60)",0.0150297348514368,0.0240614708603648,0.0301431420982442,0.0698222212671498,0.155315607398381,0.219681156120012,0.239063026294699,0.259135807460375,0.284406280219579,0.308523514745876,0.318386263897169,0.252271351368074,0.133367303046502,0.0714323864807031,0.0501659604419419,0.0469794879697439,0.0783369573009514
"[60,65)",0.00571018360528554,0.0112093628448193,0.0161574536113823,0.0380159456412588,0.0825563390461531,0.114877987765617,0.124259116417467,0.133245442177945,0.142389367022439,0.148414667703917,0.147525256723959,0.122563215207378,0.0873311768345815,0.0519232443872457,0.0347902522374677,0.0281156116009289,0.028238641315457
"[65,70)",0.00178518694386037,0.00417523169239361,0.00722861950772561,0.0183051410376468,0.0399733092511753,0.0548845400028119,0.0586473040262936,0.0618535332675159,0.064251937279202,0.0648469241064089,0.0633541342909273,0.0530157217792294,0.0419334470034575,0.0418646813840205,0.0285412142647497,0.0169694257187871,0.00920584912461296
"[70,75)",0.000592413986667349,0.00154692374471351,0.00310900753953824,0.00896883392030273,0.0211089945989259,0.0295179737247917,0.031133606387534,0.0321613166908271,0.032887913326072,0.0331548689951931,0.0329171904216382,0.0278615943327465,0.0210253693802162,0.0213579595837328,0.0204585055128343,0.00878220745926333,0.00276100325494353
"[75,80)",0.000233048874385203,0.000663120550868231,0.00143410765642261,0.0045599537508505,0.0120398718445214,0.0182247529839875,0.0197030049531665,0.0203074911476833,0.021031040050556,0.0221202209599487,0.0229119496022253,0.0190067050215097,0.0123775678135218,0.00925030775681918,0.00639742811236652,0.00110028774274415,0.000171083494264324
"[80,Inf)",0.000199769700188594,0.000589332786229102,0.00128978188008537,0.00407321054052144,0.0116219447487561,0.0209417169162317,0.028130472400466,0.0360488641646851,0.0464598202139884,0.0578748714061379,0.0587236243615339,0.036663575263794,0.0143813989735095,0.00580527033250879,0.00232668826533355,0.000197914525904489,2.67699234276681e-07
