"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",4.48916866049901,2.69768246730292,1.03778790298068,0.645975008183165,0.863860975810613,1.67719611915878,2.51408175137048,2.18631379829773,1.40721887004414,1.04710368072503,0.966277189729988,0.912290176835792,0.769158490200764,0.586392991784131,0.430683293269093,0.297364067136756,0.179903163018966
"[5,10)",2.52113737195804,10.5162995571424,3.22261089851082,0.893146935950683,0.634892585700324,1.02468410923058,1.9378806012806,2.40202883314875,1.80004300272269,1.21534966113515,0.999178035490698,0.86545324223387,0.770747838698598,0.684451999957993,0.556933275527465,0.403576830175589,0.265416561122569
"[10,15)",0.882918709694206,2.94119550709815,14.7298838575089,3.20484193681852,0.950835902236641,0.764367364911915,1.13866335621767,1.78513303319403,1.93304704618919,1.43468890141581,1.00697787609966,0.696633014236708,0.499576924160691,0.451443804572376,0.402539856300195,0.308855307914428,0.210499746647789
"[15,20)",0.482434486390557,0.714316878474877,2.82155370824729,12.3574593650714,2.8541692248867,1.14237251633158,0.948663258164947,1.15373667622607,1.55390407239772,1.62098336861147,1.16770298716471,0.665641461074973,0.383946166788776,0.310425835824774,0.300974122379142,0.262753581256312,0.198282192728874
"[20,25)",0.548366694229885,0.431591456891124,0.709448164963826,2.42977149024648,6.2233605900113,2.29324863333699,1.28214918639905,1.05284100314971,1.13234149372642,1.40010474818771,1.37542486306737,0.879882900246353,0.452679689156336,0.290294563763051,0.261707846720685,0.247896008331735,0.21585788895635
"[25,30)",0.910118628230252,0.595455794938524,0.487533177051214,0.830040477529876,1.96089615684018,3.22325883490272,1.82216212786263,1.17108535392157,0.979616441976732,1.0312232109382,1.1730523133296,1.03841991886222,0.630025341684048,0.342250483642729,0.241561973019738,0.213489903894198,0.205399519363604
"[30,35)",1.21761169256367,1.00508270456678,0.648205397437559,0.615203596316933,0.978229513340311,1.62637380510624,2.28027157937304,1.47441823936417,1.00366473253204,0.872189032327465,0.875817359680525,0.903116331809029,0.771855842224634,0.481708229330121,0.271528120321978,0.183968094889643,0.175656098889347
"[35,40)",0.956999878089801,1.12596002790238,0.91845494622044,0.676212907254841,0.725997229084186,0.944656204902149,1.33259337239966,1.8023670732165,1.23475037890194,0.891139579487715,0.752606265269648,0.681520120698029,0.675604636303992,0.599477697570265,0.383953820955344,0.205635859097862,0.156831359387386
"[40,45)",0.52590042398738,0.720394057071365,0.84912607776288,0.777577072172272,0.66664108991901,0.674658166673804,0.774463795888687,1.05421122670973,1.37309665471485,0.987601404645457,0.69654665000989,0.516695617654273,0.439711092787547,0.46954196777375,0.436884072122322,0.265733857629157,0.15776155295483
"[45,50)",0.30951055247254,0.384709037411324,0.498461244011875,0.641566537229475,0.651957204347787,0.561725706523731,0.532312888094941,0.601772199678081,0.781142010433434,1.01001130478611,0.718773603400738,0.436013176773577,0.296942709444566,0.273914501757528,0.314422450938211,0.283318655282466,0.183629743447913
"[50,55)",0.219895238215375,0.24350189540305,0.269353057921305,0.35581467777375,0.493087228648281,0.491945874530991,0.411526903382268,0.391275396323033,0.424152893864038,0.553381262152886,0.750922971457114,0.482112509243941,0.26932439290696,0.197874860410418,0.196293613852283,0.224183947474634,0.215112989338797
"[55,60)",0.158969488624666,0.161498970439183,0.142683158662764,0.155309676296665,0.241534093795887,0.333456842863715,0.324933927884502,0.271306422063285,0.240920461211809,0.257036393307513,0.369162151169479,0.526529240502357,0.32240247029704,0.192859546266378,0.157483808412009,0.157549688185841,0.193332713305205
"[60,65)",0.102322252936957,0.109802427450928,0.0781168117025271,0.0683914737626017,0.0948676299146212,0.154453629929604,0.212012290059518,0.20532767528769,0.156523592328533,0.133641440526584,0.157440277958415,0.246134773845746,0.36731159771423,0.238379294210337,0.157124983267192,0.120468034754892,0.1196997251426
"[65,70)",0.0592874224250081,0.0741075004242508,0.053649463034955,0.0420251263683994,0.0462365570390473,0.0637681347659621,0.100560737478381,0.138467369558424,0.127030013149445,0.0936921164370308,0.087912437631351,0.111901049634117,0.181170972270397,0.297853671029844,0.200200543067694,0.104814387950208,0.0664253066372836
"[70,75)",0.0311429606158656,0.043127115135718,0.0342135896756302,0.0291412648998872,0.0298120198365825,0.0321896522304813,0.0405403291304716,0.0634280673109825,0.0845329863798462,0.0769182944305856,0.0623726138705999,0.0653517168520576,0.085406880620431,0.14318365339174,0.232576038881574,0.119779625162969,0.0518765617226575
"[75,80)",0.0134586239879787,0.0195606718227018,0.0164306644013948,0.0159234873234587,0.0176747993209607,0.0178063685781256,0.0171919551088566,0.0212623682143821,0.0321823084563841,0.0433812008080024,0.0445864183240875,0.0409212546806063,0.0409854531972661,0.046920137507187,0.0749709977733599,0.104777536796037,0.0463815974185833
"[80,Inf)",0.00618495836172842,0.00977172798944215,0.00850623629228597,0.00912765181013901,0.0116906509169964,0.0130131743778097,0.0124690050344378,0.0123177532851007,0.0145130029323471,0.0213577370020213,0.032497542419441,0.0381436763353231,0.0309340568043561,0.0225869583423131,0.0246642148029862,0.0352315306471552,0.0301673524097652
