"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.03984022728374,0.441695060897069,0.0842045768158313,0.0417916683264584,0.054168029137777,0.0897130648637784,0.115444613691539,0.116444375514391,0.112316557473819,0.104839356351018,0.0828218789722573,0.0505383083119363,0.0225351897925827,0.00689290250320434,0.00160415656322233,0.000483545310016556,0.00239348210949001
"[5,10)",0.451180015608168,4.7861474978553,0.477865724202042,0.0561901364495498,0.0649621774844529,0.13683640830766,0.222957814687379,0.226696639290484,0.208370005334926,0.227267101837915,0.222547086396286,0.137283432122793,0.057066256011467,0.0228593198475894,0.0101857223023643,0.00498463759808206,0.00548524470757923
"[10,15)",0.0851174173495272,0.472749062544619,7.27616469121498,0.570625909652971,0.101326801930028,0.109359421345049,0.189731401192563,0.244785708652615,0.234483601829759,0.244846411256579,0.263168226078957,0.171987688580081,0.0571022225801968,0.016503482760642,0.00808666590161022,0.00620160582726719,0.00399680995257908
"[15,20)",0.0403765913738897,0.0530441615366247,0.548585660302196,6.04884528676011,0.440094343622917,0.106991826616523,0.0982132465021572,0.141228813306843,0.173100454184677,0.177367218773781,0.163256366804297,0.1024278905794,0.031870563481574,0.0066249133372108,0.00215264672412197,0.00184304202946034,0.00179149854730069
"[20,25)",0.0499445741741954,0.0585252681417507,0.0924244502174645,0.42115788506916,1.97788662667245,0.269228471092614,0.0824888734290598,0.0657709871430022,0.0901997411902851,0.113948147282028,0.0968964552098643,0.0505386565024073,0.0152456039889983,0.00321883826806592,0.000792992068901893,0.000496176712869655,0.000693890884296579
"[25,30)",0.080625692856903,0.12015918955893,0.097227972507568,0.0995241378351834,0.262513471411701,0.574487145658722,0.164940373875876,0.0503777920376974,0.0395984824265047,0.0587892406141499,0.0671250872045326,0.0379355285548876,0.0112733607656153,0.00274344761981467,0.000767708352551827,0.000359517163037053,0.000305397463787635
"[30,35)",0.104047569374012,0.196344401103057,0.169166645823032,0.0916195991832108,0.0806321716088676,0.165407131149784,0.302332702327712,0.102098806852487,0.034439779632193,0.0340855880876601,0.0542047942466448,0.0495980509742447,0.0188541071766483,0.0046683574796359,0.00131079461003953,0.000521993814037451,0.00018998048884392
"[35,40)",0.104052802219344,0.197932862057234,0.216390695658227,0.130622692119322,0.0637418030790776,0.0500906454261442,0.101228554053003,0.167837862757044,0.0693485585625645,0.036492623519935,0.0458644961278584,0.0595367908690869,0.034320239180868,0.00923826468028888,0.00205991972746404,0.000662024662317192,0.000177785653463317
"[40,45)",0.0955581118340466,0.173219402815383,0.197357444237457,0.152434067836737,0.0832307459799356,0.0374873337102377,0.032510666683147,0.0660329546232071,0.101609790891292,0.0643108943980725,0.0449026015305306,0.0419965527042335,0.028808431552812,0.0102496460430706,0.00238236726316611,0.000709082916194492,0.000235592051590015
"[45,50)",0.0843165528817752,0.178592258263606,0.194804730934975,0.147646075921818,0.0993917837747744,0.0526100338603503,0.0304159246712562,0.0328441721062667,0.0607943615342413,0.0910170496409188,0.0631575154156952,0.0290160656525912,0.0132360594679147,0.00622360240800809,0.00259629028086586,0.00120834685516734,0.000566067708613151
"[50,55)",0.0628749171462124,0.165078995550962,0.197643738276174,0.128281057033809,0.0797801697111505,0.0567021391655152,0.045657463701575,0.0389649128216549,0.040066377097797,0.0596180273345987,0.0746727614269715,0.0361931284416144,0.00986128550224121,0.00415837867512701,0.00314963588452987,0.00284162886393175,0.00167135497382942
"[55,60)",0.0351865557573436,0.0933924446449474,0.118459713277997,0.0738132524505456,0.0381622937142993,0.0293889744153855,0.0383144330523279,0.0463880604779239,0.0343673403670394,0.0251192163015046,0.0331938727188968,0.0412052574582841,0.01831091822793,0.00561846866115206,0.00324832791490411,0.00346687047619637,0.00288594976170036
"[60,65)",0.0135667964448818,0.0335685844104159,0.0340084126238857,0.0198593891848617,0.0099544081378383,0.00755182170889822,0.0125940031022721,0.0231223052491435,0.020385056853237,0.00990800692861728,0.00782018945838338,0.0158336233798426,0.0276279759346083,0.0122539803050279,0.00303053696459788,0.0017577422688971,0.00265018701940361
"[65,70)",0.00326415462886467,0.0105771691757868,0.00773145890754716,0.00324719855932942,0.00165318883608926,0.00144559785410576,0.00245286941818276,0.00489580063805724,0.00570497413962011,0.00366456079837934,0.002593942092206,0.00382147034371809,0.00963915373324755,0.0146775377667211,0.00415904194336683,0.00114569243544072,0.0017421217654396
"[70,75)",0.000516448905003173,0.00320412904099158,0.00257553448406813,0.000717320804619179,0.00027688802395287,0.000275016726309251,0.000468227579556606,0.000742156748326945,0.000901499614034489,0.00103931060565937,0.00133569903310686,0.00150205008899508,0.00162063086284752,0.00282756226789555,0.00346219960858536,0.00129374271274159,0.000557863452143861
"[75,80)",9.55567269305642e-05,0.00096248780892436,0.00121239883183221,0.00037698093331906,0.000106344537683256,7.90543827799393e-05,0.00011445405454192,0.00014640738855167,0.000164701417281215,0.00029691163014232,0.000739705927805642,0.000984023906036556,0.00057698323964214,0.000478105288535724,0.000794136803372958,0.000312895511999136,3.5782738257829e-05
"[80,Inf)",0.000478855385878513,0.00107227888993689,0.0007910518469687,0.00037098017957013,0.000150563635520599,6.79863695916326e-05,4.21720708297776e-05,3.98048176534429e-05,5.54001638209125e-05,0.00014081667165291,0.000440464125599151,0.000829290900631101,0.000880713441191063,0.000736010668212243,0.000346674176325506,3.62262913773144e-05,2.66887942722081e-08
