"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.42855172696025,0.703431238351541,0.159674337270849,0.0788842623477762,0.101198998563685,0.166798814567014,0.215276313614733,0.217758108923891,0.209996665273593,0.195823354467629,0.154920696451124,0.0947429188266038,0.0421812553235662,0.0127626996557824,0.00293386306383403,0.000889360288987561,0.00347738407356922
"[5,10)",0.643257810577572,4.96485882503764,0.613813886672529,0.0938620251751892,0.108483603314979,0.22825713096197,0.373648251531175,0.381280792090354,0.350145352980709,0.381286559775424,0.374127709892789,0.231764889137788,0.0963963236580995,0.0384273904964329,0.0169906665023422,0.00831457371785345,0.0083148851087832
"[10,15)",0.130723178840813,0.55770395105882,7.48485499624672,0.704347947583281,0.155129951946152,0.166707466761087,0.289529114894251,0.375244398428679,0.359331503106663,0.374739282802829,0.403951172990201,0.265794417766078,0.0883703174074219,0.0254425981148019,0.0124625833407591,0.00955784266875706,0.00647376543523605
"[15,20)",0.0564331083745682,0.0737525131900428,0.623957860798903,6.3174777583964,0.574572117166347,0.150514616852934,0.137656580378415,0.198393337149668,0.243360652297544,0.249389816130129,0.230443228158313,0.145589261761114,0.0453564020403041,0.00936077970659789,0.00304144150843949,0.0026108830440854,0.00269870475490172
"[20,25)",0.0611376462645803,0.0719846507817785,0.114475007329465,0.4891160734843,2.16279687228517,0.332801659061766,0.102842935806915,0.0819684682748352,0.112504501870643,0.142030315687262,0.12128647831129,0.0636320807406836,0.0192041254347109,0.00401681083307116,0.000984813605406461,0.00062060312403422,0.000901250321387151
"[25,30)",0.083642189204876,0.125718759139757,0.102110406639633,0.105503655044025,0.276853420252749,0.604189812458916,0.17524752241649,0.0534209224285458,0.0420913931763747,0.0624021536884429,0.071328492123886,0.0404127001020638,0.0119871630706257,0.00289187283550321,0.000803368628752612,0.000379066978019689,0.000339933601928652
"[30,35)",0.0905036826155336,0.172534622366928,0.148677335005548,0.0808953161219408,0.0715668609851085,0.147028074927388,0.274174958674471,0.0904885750791978,0.0303885690407368,0.0300715120555225,0.0477950478108022,0.0438165955428736,0.0166075761605712,0.00408318603733875,0.00114332452645465,0.000459379225999771,0.000184259234244604
"[35,40)",0.0775013412779196,0.149046955633316,0.163129168439966,0.0987002747619601,0.0482891100963958,0.0379152421208244,0.0766415564714095,0.131376542670125,0.0524238199425465,0.0274190638344795,0.0344305374223612,0.0449426424276061,0.0259480757573279,0.00693254100092149,0.00154009104747125,0.000500091824918077,0.000149590306976193
"[40,45)",0.0632335239316703,0.115804824849553,0.132163887061266,0.102433436836997,0.0560754010238929,0.0252752730581783,0.0217658300603189,0.0443686775315349,0.0702512637134177,0.0431415144744681,0.0300794446490908,0.0282838331023745,0.0194912667242385,0.00688776694814213,0.00158632766051019,0.000475365881327258,0.000173014050217831
"[45,50)",0.0493137815704167,0.105462635077226,0.115269806667072,0.0877887636945842,0.0592041804667743,0.0313379778079097,0.0180131258847852,0.0194008859072726,0.0360857294105156,0.0551080090930757,0.0375895627952958,0.0173392374830435,0.00793922561661638,0.00371289261169716,0.0015301970890175,0.000710756966773343,0.000358794848035521
"[50,55)",0.0318620961391979,0.0845138874473705,0.101479027979189,0.0662499034993471,0.0412899910806151,0.0292546909617116,0.0233817924017818,0.0198963687916748,0.0205446964888526,0.030703399699933,0.0391288802675512,0.0186985265396283,0.00507611275207132,0.00213390702632192,0.00160962575066225,0.00144466228336671,0.000915797602940546
"[55,60)",0.0155721233921528,0.0418400331640302,0.0533616750435659,0.0334492832807276,0.0173118986466841,0.0132460537385955,0.0171304867670312,0.0207550984208667,0.0154384734405041,0.0113168940386802,0.0149447262532185,0.018727529327354,0.00818262815183379,0.00249434772649423,0.00145086704105287,0.00155210330652138,0.0013656521255624
"[60,65)",0.00541673717756058,0.0135963405845115,0.0138614033331429,0.0081416655195957,0.00408206858878007,0.00306974461064113,0.00507287911393524,0.00936242902699832,0.00831234081001639,0.00404848548124413,0.00316945522487503,0.00639367126607089,0.0112525849391638,0.00492561103590027,0.00121680389390885,0.000712446259212884,0.00106738229269075
"[65,70)",0.0012271898971247,0.00405838660591492,0.00298822436290127,0.00125816512717634,0.000639319721847353,0.000554518426815344,0.000933895723411502,0.00187295260018498,0.00219944283698591,0.00141767861746925,0.000997653688545438,0.00145923468032173,0.00368841363390583,0.00566988789286869,0.00158860328427434,0.000440903330313761,0.000649772578612551
"[70,75)",0.000196795860499622,0.00125178526517023,0.0010210963343796,0.000285175351026203,0.000109344680350793,0.000107462900094588,0.000182421337808656,0.000290260295742548,0.000353373541890396,0.000407586386031133,0.000524971984623945,0.000592110358032244,0.000635592035734408,0.00110825131180165,0.00136171641139471,0.00051206770503684,0.000231900198122428
"[75,80)",3.71569699523996e-05,0.000381545069536434,0.000487758624079904,0.000152477713875136,4.29184486098546e-05,3.15824690356363e-05,4.56524307152962e-05,5.87053160171095e-05,6.59561926984462e-05,0.000117917933983156,0.000293470187167224,0.000394531883218619,0.000231790912044367,0.000191574064978657,0.000318950524880153,0.000126702339940183,1.65636282073599e-05
"[80,Inf)",0.000115001990248615,0.000302031506294466,0.000261512334286348,0.000124756868920226,4.9336192315682e-05,2.24189031216874e-05,1.44947908953557e-05,1.39002069671123e-05,1.90019898460297e-05,4.71188923445708e-05,0.000147260847356224,0.000274784166647965,0.000274887141939503,0.00022348318546487,0.000114334605049129,1.3111316221106e-05,1.17414791789565e-08
