"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.0024165831185726,0.0039267894774722,0.00294183670996161,0.0030690713098522,0.00617633355071876,0.0134597885301492,0.0221743551127244,0.0268634985018307,0.0277051215695294,0.0260938973390124,0.0201450182659101,0.0111433932057887,0.00456763460136803,0.00175375539860535,0.000780017500593116,0.000422467035656267,0.000316281127611574
"[5,10)",0.00378208606371424,0.0086697692688604,0.00664823908108811,0.00546092289894872,0.0114882560620079,0.0217315666574637,0.0293511746212321,0.0311744842268435,0.0311406841632293,0.0305542934511902,0.0261786776625775,0.0171680704194018,0.00864816320380915,0.00396139624201047,0.00196601810368239,0.00116016242386583,0.000893758697915185
"[10,15)",0.00283998475711603,0.00666362097130803,0.0201285085187179,0.0172681272682795,0.0235176039185366,0.0322491006642321,0.0355993139095873,0.0344541321103551,0.033920683581991,0.0340795191669738,0.0304267411574978,0.0215412441156436,0.0125007503204597,0.00688926277038767,0.00396565635859456,0.00251660966299458,0.00194238185785584
"[15,20)",0.00318738349567905,0.0058884310806489,0.0185769809139694,0.0810034672248311,0.101990903913706,0.100906476564689,0.0964665447885188,0.088640889738551,0.0860964359233296,0.0863542003433226,0.0766314703694945,0.0535718462867597,0.0315798606028102,0.0187508759345832,0.0122924787926455,0.00858935971123974,0.00654072324612326
"[20,25)",0.00723596966362167,0.0139741793821264,0.0285405028927242,0.11505356927928,0.325367811778001,0.325997775345924,0.284822148871569,0.251905305985839,0.236703886120004,0.230057381099028,0.198327975431783,0.134438819130917,0.0773486221093198,0.0462048930421454,0.0326663862245425,0.0255963129057686,0.0210563872871579
"[25,30)",0.017507310494391,0.0293479955836016,0.043451158414561,0.126378413498201,0.361934379793916,0.581266325500889,0.533602005609408,0.455333750990742,0.409833841246976,0.381754867763553,0.318724415585801,0.211464250440732,0.119667176153351,0.0705343492284786,0.0508198463616537,0.0431279742724849,0.0427325875530897
"[30,35)",0.0303294388933853,0.0416816665527344,0.0504379654136534,0.12704651623882,0.332522579341988,0.561112099005128,0.67324906163966,0.591250509573633,0.508239039932133,0.454578920197507,0.369497809456883,0.242086356857759,0.13615747915936,0.0792676631791494,0.0563840869989961,0.0490775473936978,0.0621402986449513
"[35,40)",0.0372022033589437,0.0448241001031754,0.0494253734794525,0.118198742900236,0.297767579669617,0.484791209839943,0.598637945437236,0.667808069022425,0.590172168984295,0.513359630184288,0.410275491308377,0.265857404666042,0.147891935318301,0.0846551925328962,0.0589751925228313,0.0512342267160495,0.0842731565903268
"[40,45)",0.0398974677853181,0.0465607142309332,0.0506002220011208,0.119383169846456,0.29095422301544,0.453745041058716,0.53510611876989,0.613702520371685,0.670472091906435,0.60385267157524,0.477217661078944,0.303688944786129,0.164388308969945,0.0914193886327179,0.0627058693981754,0.0552036314076213,0.118448423347034
"[45,50)",0.0396773688159232,0.0482372312215106,0.0536784451514606,0.126432883187557,0.298589197159483,0.44627987322169,0.505358797192895,0.563663012384034,0.637601946915806,0.688761814928492,0.563351814751636,0.347770417323699,0.18083624945824,0.0973855336056213,0.0667615011730339,0.0613347786712899,0.159008521304812
"[50,55)",0.0300787401540133,0.04058316309351,0.0470597884222444,0.110172142439254,0.252760938592633,0.36586942042873,0.403357806843088,0.442345343108117,0.494792618105268,0.553181641952425,0.55606290577672,0.352466420199412,0.176548023232698,0.0934706536842277,0.0651249666933969,0.0623906482078189,0.155183848089119
"[55,60)",0.01489010642016,0.0238181509693158,0.0298162954172343,0.0689270386840275,0.153334202917979,0.217238155276838,0.236503342887537,0.256521054214277,0.281789013308977,0.305611060454629,0.315432267306605,0.250613158624167,0.131536347013294,0.0701447618125229,0.0494369405912522,0.0464389603657858,0.0826531734134334
"[60,65)",0.00531242397887493,0.0104431487056563,0.0150605214535678,0.0353658615645384,0.0767870459157593,0.107002819043066,0.115778921264287,0.124205199045397,0.132766048478087,0.138319353463612,0.137522024448352,0.114489802005851,0.081333831001483,0.048163841619964,0.0323547432838293,0.0261841988778406,0.0262622522827554
"[65,70)",0.00179896438694281,0.00421898558532993,0.00732029948194064,0.0185202892489191,0.0404553086300786,0.0556253826257244,0.0594478596353064,0.0627048387942169,0.0651188294249294,0.0656967791321259,0.0642150534753296,0.0538478593887063,0.0424789027836006,0.0425456037805552,0.0290036768390048,0.0171994277566359,0.00881653643624207
"[70,75)",0.000681271884639355,0.00178282963151662,0.00358784565305324,0.0103378028911017,0.0243529297932917,0.0341246550553694,0.0360047081363117,0.0371945574661568,0.0380311134662905,0.0383476096760522,0.0380953227678651,0.0323137499448096,0.0242970028116053,0.0246953753947516,0.0234354494241391,0.010028902873106,0.00290203952226806
"[75,80)",0.000296468654347003,0.000845300179456251,0.00182938186079335,0.00580389310938567,0.0153319491364518,0.0232682551291753,0.0251799827582256,0.0259621138076649,0.0269009941253522,0.0283066739281145,0.0293233427090305,0.0243886688541151,0.0157987916427404,0.0117664758405754,0.00805792573287495,0.00137003457702436,0.000192816912433224
"[80,Inf)",0.000323195294936222,0.000948239939820674,0.00205602749541511,0.00643561691585349,0.0183657900608033,0.0335714225910166,0.0464249783498324,0.0621834654745302,0.0840496216730781,0.106858293689929,0.106205324856888,0.0632078382642919,0.0230739711933403,0.00878286511197762,0.00339530626008434,0.000280770141405096,3.27238214237656e-07
