"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.46855581787169,1.22032825286529,0.611689108418554,0.411800335502199,0.581391063720528,1.10570931822942,1.51700726686892,1.15629617402125,0.624421096391206,0.416894049730321,0.427805748132543,0.498071672765896,0.46567421778291,0.338481325457111,0.234089557362829,0.177681076531784,0.121578422233337
"[5,10)",1.09811643681516,1.77446111268088,1.17415123413022,0.429145160765753,0.277368796293818,0.4766919576162,1.05871347796439,1.41618719929485,0.953087987187814,0.479409961764671,0.318386402985181,0.327218438251518,0.369082321916742,0.340426468587652,0.258888111241148,0.191080324054691,0.135134421650927
"[10,15)",0.493363540266759,1.05241884722193,1.72438365735519,0.898581588475937,0.306575589101363,0.225460753119934,0.444874183465023,0.956565190213186,1.12933555275008,0.71145615837172,0.35746523693177,0.236686132758927,0.232345294405052,0.252206928128416,0.236059055620994,0.185918923061206,0.124439029681507
"[15,20)",0.28766366373427,0.333143086290274,0.778250705307438,1.24445986355195,0.630075093916706,0.237056659202363,0.200923145921229,0.387646465796095,0.738505614699991,0.813124261343328,0.510442898166771,0.251109344871649,0.154723998297392,0.141672107347885,0.152608017190155,0.146456991718814,0.103967120215177
"[20,25)",0.319908879571676,0.169607017922962,0.209150645786388,0.496308763962849,0.780191802449744,0.419760909674762,0.181164640069224,0.153183897374755,0.264515390653331,0.466541971979645,0.510336671268242,0.311490101983189,0.142675292627093,0.0827448661275829,0.0771018022868823,0.0880155681538708,0.0809526396104724
"[25,30)",0.457778981127365,0.219321383837944,0.115730952579244,0.140497542220865,0.315834034724301,0.498387753049993,0.296334304646219,0.127389797302705,0.0969284978194996,0.156131627293561,0.278304372701879,0.303113468500663,0.177235101688834,0.078944250206102,0.0482929712636911,0.0490896775819613,0.0581578916046212
"[30,35)",0.482160721062143,0.373947713935581,0.175309344734832,0.0914188649684857,0.104645283679547,0.227494665763545,0.362174200337795,0.212923995237369,0.0837269156613296,0.0607120129460017,0.100128131881161,0.182129676985079,0.195511281404791,0.114340287104526,0.0546112632066127,0.0361687548030986,0.0387078054702058
"[35,40)",0.301445030507487,0.410287209713247,0.309184211463132,0.144669359121246,0.072576197813822,0.0802155947666082,0.17464633641607,0.278953669701023,0.156161193334101,0.060747935247732,0.0455182100071269,0.0769517494328483,0.137769533300597,0.146605484279834,0.0901993610818092,0.0452640601991502,0.0289111077480119
"[40,45)",0.154088150306061,0.261368318567192,0.345524120825465,0.260883831754085,0.118627308788753,0.0577734467070653,0.0650058738211448,0.147817466141392,0.243673421067618,0.141346557076068,0.0579648988102811,0.0439434158716626,0.0705101320006463,0.119862698068031,0.129722481775515,0.0827548627854743,0.0364416460901584
"[45,50)",0.094502935968398,0.120768850497398,0.199954620149262,0.263862827964635,0.192199557162416,0.0854861212152477,0.043300216744513,0.0528216649249105,0.129841392545067,0.227076843193187,0.138719067408179,0.0565512293208772,0.0397670628835433,0.0589940940820222,0.100642677989652,0.114030735591285,0.0632531548045853
"[50,55)",0.0802980208465166,0.066411151710443,0.0831870521760046,0.137153558503802,0.174083279423519,0.126172113181125,0.059130312228027,0.0327721067374546,0.0440891405684041,0.114861578762202,0.210269963679507,0.124635284019299,0.0463725857323048,0.0303273658757725,0.0462783825684924,0.0849282686230075,0.0885810270248385
"[55,60)",0.0746879245725688,0.0545286304996557,0.0440042940908689,0.0539042630147692,0.0848877177068851,0.109786491038157,0.0859280783509012,0.0442627106435482,0.0267030388560206,0.0374094216893389,0.0995729401926679,0.18126769624623,0.10146165248752,0.0363849103136972,0.0249932669032563,0.040674231437635,0.0755874915013529
"[60,65)",0.0560040459367521,0.0493274570903771,0.0346445389842662,0.026637691066348,0.0311837283670373,0.0514839748587855,0.0739783881818864,0.0635552390575125,0.0343634740066089,0.021097991880666,0.029712575393452,0.0813730495061665,0.151964495420741,0.0857850308095208,0.0322821517519032,0.0227747404572676,0.0414951987472647
"[65,70)",0.0316623457358414,0.035388321769751,0.0292502163127961,0.0189711831412792,0.0140666761460379,0.0178366791209707,0.0336514270104863,0.0526040946752077,0.0454360688321898,0.0243443008090266,0.0151141886659739,0.0226971398523338,0.0667240925412954,0.128058637125974,0.0732980931702527,0.0274348165906028,0.020449332407073
"[70,75)",0.0150999057238195,0.0185580600777482,0.018878894368526,0.0140919545477241,0.00903855037248167,0.00752421580537623,0.0110833296568085,0.0223180690336886,0.0339090614803533,0.0286387972655629,0.0159042114738665,0.0107511933775982,0.017314799249578,0.0505448018373946,0.0928521481922691,0.0513006624738605,0.0162049176484735
"[75,80)",0.00654350047469159,0.00782011616616189,0.00848899450121882,0.00772112812870259,0.00589074896403734,0.00436660856663034,0.00419081367156764,0.00639415896549654,0.0123501095498752,0.0185255573451316,0.0166633764740847,0.00998917836479937,0.00697405211492751,0.0108009672365428,0.0292886759814746,0.0508851371753434,0.0213687161703446
"[80,Inf)",0.00271740638169474,0.00335654403471593,0.00344840606075172,0.00332656329483799,0.00328829793374358,0.00313972682090394,0.00272202726474988,0.00247869893478999,0.00330068743263132,0.00623678358629156,0.0105482538709177,0.0112665116911333,0.00771185273140068,0.00488617310106184,0.00561503827371167,0.0129690318578968,0.0195132730907275
