"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.0076843221922633,0.0126548487624647,0.00952849865330673,0.00976440945343926,0.0193750922571265,0.0425463615729904,0.0710289481216324,0.0866662066664901,0.0894952665913779,0.0844281286378648,0.0653423615795027,0.0361132542141369,0.0148139871464278,0.00570914683911894,0.00254644303634056,0.00138172415361663,0.000993345600719102
"[5,10)",0.0113875077454316,0.0259542103211745,0.020147362487904,0.0159997247541641,0.0337780340317659,0.0648664854103336,0.0885908050070525,0.0944997272099843,0.0944086176537606,0.0927092858505845,0.0795927041396386,0.0521827966980951,0.026298119703601,0.0120818488807082,0.00601102105972113,0.00355029746838611,0.00267529010268113
"[10,15)",0.00768529922197951,0.0180585459417325,0.0543229783710533,0.0454358989573156,0.0622103344164193,0.0862631625637844,0.0958701252422913,0.0929357918889176,0.0914335437774682,0.0918949066435412,0.0822106137489095,0.058206608638393,0.0337815127599845,0.0186418419429706,0.0107465343046779,0.00682687947365134,0.00526989272469874
"[15,20)",0.0068209410129606,0.0124205005012432,0.0393514855671397,0.164957030514874,0.213830523010924,0.213434430708788,0.204912925809594,0.188383294628106,0.182949441547895,0.183727663561008,0.163544276468363,0.114481192966892,0.0675846048709638,0.04019524290855,0.0263468881747683,0.0184149490178059,0.0142556340790986
"[20,25)",0.0106610927521147,0.0206547805664462,0.0424408598738086,0.168433832090355,0.482491988327591,0.485405293804828,0.424212002927345,0.375034049938641,0.352480280508807,0.343262348637476,0.296921448864059,0.20149587966784,0.116105115271969,0.069471302999585,0.0490569585122493,0.038354626706756,0.0319956619066764
"[25,30)",0.017614783316422,0.0298444459101877,0.0442796266660846,0.126497239270954,0.365225796126892,0.596823706345479,0.547458528240487,0.46675229052231,0.420194627792843,0.392260664039294,0.328475168317008,0.218037090309804,0.123512700921771,0.0729219896023565,0.0525022210553509,0.0444170806765091,0.043144658578213
"[30,35)",0.0225756129127171,0.0312911186053818,0.0377790608233705,0.0932341916556927,0.245035595078811,0.420281732316344,0.507162349701074,0.444766287662212,0.382191441912765,0.34247208157141,0.279015800077742,0.182815421344298,0.102913743455275,0.0600167411356625,0.0426695421497765,0.0369953314391584,0.0427234050971765
"[35,40)",0.0225937764904065,0.0273777572731577,0.0300390185905394,0.0703044988351124,0.177685421651579,0.293907466576437,0.364809999995477,0.407813471832335,0.360047662688407,0.313615665576797,0.251092522532464,0.162688024807909,0.090591218675003,0.0519518178929647,0.0361708743497861,0.0312649598498179,0.0422859749924122
"[40,45)",0.0220847120155171,0.0258899723699422,0.0279744091565473,0.0646285558000446,0.158076953384784,0.250453607365214,0.296734788953625,0.34081023622089,0.372617959724699,0.335999684138807,0.266004697587551,0.169263330217905,0.0917269985881353,0.0511111470352875,0.0350238622250873,0.0306328360425346,0.0485067444779043
"[45,50)",0.0191384502603409,0.023354529057754,0.0258270463124739,0.059620531802178,0.141412510258631,0.214772901911717,0.244253396344738,0.272695714426258,0.30865036818553,0.33318376025284,0.27304168297899,0.168593342954524,0.0877994804857141,0.0473805676639892,0.0324206333320142,0.0295249385333345,0.0534694813063914
"[50,55)",0.0122645904950439,0.0166019751475002,0.0191315347865763,0.0439435626808097,0.101284235406766,0.148917552792022,0.164771788559193,0.180781075269046,0.202327938882094,0.226082825964891,0.227771040883947,0.144347875947959,0.0723907022637402,0.0383846919430793,0.0266724387354145,0.0253177824334788,0.0461678346853697
"[55,60)",0.00541533308215907,0.00869589273389877,0.0108216763470666,0.0245750485275095,0.0549119385927299,0.0789721657031244,0.0862516098917408,0.0935782879572712,0.102856029601987,0.111526832154518,0.115321616441129,0.0917922998836721,0.04820093004593,0.025734258899086,0.0180959257221249,0.0168856267737813,0.0250940518592941
"[60,65)",0.0017815957701179,0.00351471553690292,0.00503709334315368,0.0116355435821508,0.0253764356112285,0.0358784728781395,0.0389409388956051,0.0417911451208803,0.0447036226177927,0.0465810797201436,0.0463833138659316,0.0386575279498149,0.027448403871404,0.0162671962466995,0.0109303977335037,0.00884423189405584,0.00871098650806522
"[65,70)",0.000534047131943692,0.00125594333935853,0.00216202589416261,0.00538250844786131,0.0118101625692603,0.0164760083983857,0.0176634940743826,0.0186410376147611,0.0193745813519852,0.0195519027737065,0.0191297021406152,0.0160531953546918,0.0126527192158067,0.0126165748177932,0.008645604293419,0.00518217196659758,0.00299879586321769
"[70,75)",0.000164257860166832,0.000430892285551905,0.000859457331268383,0.00243289413930449,0.00575088749526088,0.00818003181715672,0.00865976309981775,0.00894977593039964,0.00915513087026117,0.00922558862466053,0.00916635549101037,0.00778420834452301,0.00586260928107125,0.00596182433778154,0.00576793662549128,0.00252630910422631,0.000896433402834382
"[75,80)",5.08850623350761e-05,0.000145298783454352,0.000311712984122822,0.000970825490687316,0.00256701720250073,0.00395097329093125,0.00428658773638839,0.00441659723962093,0.00457156073026651,0.00479665363092312,0.00496748311272809,0.00414693853289783,0.00270826946464572,0.00204019842598558,0.00144232540506539,0.000264321424092374,4.85821056125702e-05
"[80,Inf)",2.22023252567126e-05,6.64503457045529e-05,0.000146037220459484,0.000456127562002511,0.00129966446360165,0.00232921858030346,0.00300441402204997,0.00362539554291053,0.00439347886481221,0.00527210989569569,0.00549767887422759,0.00374033352655423,0.00161893055397995,0.000716533693655529,0.00031061607198126,2.94852938468773e-05,5.25488327915407e-08
