"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.28459328950362,0.593352682034745,0.129120343177967,0.063927956945915,0.0821814853732847,0.136155558343642,0.176143378900851,0.177877473321765,0.171565637246399,0.160246287755471,0.126788921947577,0.0775893535483907,0.0346647822851712,0.0104348792079919,0.00238119561418593,0.000728046377401105,0.00368422568544132
"[5,10)",0.596776977174038,4.93283898728132,0.575538184481749,0.0844829894097173,0.09684173953537,0.203644990254247,0.334612385554818,0.341057403877535,0.313362989510694,0.341461070548821,0.335161313551395,0.207735256082632,0.0864470067280336,0.0342172413700548,0.0150899918880887,0.00740549419274054,0.00828972812741245
"[10,15)",0.125486956135459,0.557696213926531,7.46623515427871,0.691020190251715,0.149571941296448,0.15979430627432,0.278113124475975,0.360103887129112,0.34488224410552,0.359770318629556,0.387435220914169,0.254842990363877,0.0848997915651007,0.0241950956049559,0.0118413628254859,0.0091079426373029,0.00586461694457148
"[15,20)",0.0558052615205767,0.0732864577020621,0.627590237182598,6.30695978914279,0.572188845001895,0.148607028118786,0.135975157407831,0.19615391972194,0.240133908097965,0.245964084251928,0.227082027492914,0.143457834465874,0.0448282955200198,0.00914935900445833,0.00297328046691936,0.00258445399712689,0.0024877865675524
"[20,25)",0.0595188169210632,0.0696968291758186,0.11146192018022,0.479054883921236,2.14577439068741,0.322846714816689,0.0992448750376135,0.0796918620010321,0.109493856511223,0.137877164059993,0.117471937796905,0.0616980859769847,0.018682423901511,0.00386041877763704,0.00094188513766062,0.000604228958314598,0.000847033404723774
"[25,30)",0.0790198489331787,0.11744774576587,0.0954241295259328,0.0987997501277217,0.259456070940759,0.576038336593949,0.162902048734709,0.0496982716222286,0.0394624269332036,0.0585044340209051,0.0666968325285068,0.0377689878562361,0.0112372667797909,0.0026821128602193,0.000739717854195743,0.000351657166372231,0.000305362058858546
"[30,35)",0.0878622205412997,0.165862420653544,0.142742540783747,0.0776982253796632,0.0683539533679089,0.140098514587543,0.263743091178333,0.0863466292753385,0.0291130175920967,0.0288397611256134,0.0458616685363899,0.0420797784990917,0.0160209465069865,0.00389772735807671,0.00108256975631849,0.000434209633398072,0.000159707638942106
"[35,40)",0.0814599791454476,0.155210450624101,0.169686479241563,0.102904889629779,0.0503914683688748,0.0392160464620166,0.0792927241044212,0.135305966606965,0.0545245330873086,0.0286066823992925,0.0358515831519009,0.0467307725765556,0.0271015489359866,0.00717235877391298,0.00157524799784758,0.000510186758448181,0.000137380333948733
"[40,45)",0.0724496251468752,0.131499369958047,0.149855524301114,0.116164921012226,0.0638432936645274,0.0287136767044287,0.0246466107326447,0.050284697165523,0.0786883680760245,0.0489795071481925,0.0341167783796212,0.0319755894789873,0.0220481954286093,0.00773201621209607,0.00176269709958959,0.000529175878069036,0.000176653808986849
"[45,50)",0.0593750200704615,0.125726586552917,0.13716307392263,0.104400641038989,0.0705387615565112,0.0373511308034868,0.0214225713934575,0.0231451470057641,0.0429805138374132,0.06499942284527,0.0446212739398941,0.0206033960060305,0.00943480386627321,0.00438517479244673,0.00179723637043226,0.000836040712402512,0.000392777908100049
"[50,55)",0.0400739427482991,0.105270038856033,0.126001568061712,0.0822203279746285,0.0512666091696164,0.0363232879956313,0.0290599433545722,0.0247437637093766,0.0255354163594711,0.0380666399828092,0.0482002053252161,0.0232321558874902,0.00632555617315188,0.00264237952400641,0.00199806386338159,0.00179266366139651,0.00104945074111814
"[55,60)",0.0204143368419286,0.0543142125977189,0.0689925063412715,0.0432387461052811,0.0224142664838236,0.0171225195208226,0.0221957965893814,0.0268480508271788,0.0199225932141836,0.0146303986846299,0.0193405675936652,0.0241111050326767,0.0106128852961005,0.00321119083585536,0.0018745792245731,0.00201215632294741,0.00165909227493662
"[60,65)",0.00703006474931977,0.0174217165493223,0.01771632174156,0.0104145078539803,0.00523147033064089,0.00392672710190804,0.00651363121785766,0.012001668260908,0.0105885883029482,0.00516402020119679,0.00405871728141473,0.00818099977447189,0.0143237535097367,0.00622209061589524,0.00152923857215448,0.000910661016442603,0.00137462312353675
"[65,70)",0.00162839648766038,0.00530625185442384,0.00388504595248976,0.00163560743913682,0.000831815189963991,0.000721188777037005,0.00121940602431741,0.00244405735714889,0.00285732507029799,0.00184690198414191,0.00130462940224158,0.0019046084359514,0.00478804454529551,0.00736677148297154,0.00204423736208086,0.00057365242214909,0.000884721022645778
"[70,75)",0.000297343546808026,0.00187250327112193,0.0015214623805748,0.000425319210222163,0.000162398152485179,0.000159158092347049,0.000271008855193798,0.000429525584131512,0.000521237074243755,0.000605693412589578,0.00078939077101338,0.00088968055796243,0.000941603012257645,0.00163579510861672,0.00200059493720668,0.000757006890243846,0.00032208429712571
"[75,80)",7.13449907112627e-05,0.00072115500402863,0.000918376609280447,0.000290127518970624,8.17571365780038e-05,5.93776619876637e-05,8.53037342102895e-05,0.000109171752101085,0.000122800078526335,0.000221113915520496,0.000555805053771697,0.000749433349639897,0.000440038158025759,0.000360230550118582,0.000594078234318484,0.000223371833018562,2.49943858260931e-05
"[80,Inf)",0.000434167551180139,0.000970781650325211,0.000711126517459764,0.000335845808160551,0.00013782606933498,6.20048114933441e-05,3.77312308971203e-05,3.53518675177619e-05,4.92978872280342e-05,0.000124922997608847,0.000391284307087795,0.00074310217795575,0.000798774023758996,0.000668105046556331,0.000303960565791417,3.00572579619384e-05,2.2336601540915e-08
