"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",1.60804819338977,0.834082056733174,0.196775891483436,0.0967368183378319,0.12371273628846,0.203234356920154,0.261954856163212,0.265252409032454,0.255794609977993,0.238215082840389,0.188217602292489,0.115203534640454,0.0514798489933799,0.0155634430354284,0.00353905380036139,0.0010696828668722,0.00366743077198687
"[5,10)",0.701736607949533,5.00772206480214,0.662440581298972,0.105065338164113,0.122141254945889,0.257417682245094,0.420481306554614,0.429029134072537,0.393998455904518,0.428780922982398,0.420206364295854,0.26043690866607,0.108960442662376,0.0434660513721039,0.0190698788965713,0.00928688849576368,0.00886418899630599
"[10,15)",0.135706646795283,0.557166279756877,7.49763741906718,0.720503125930045,0.159692405719957,0.172720813824175,0.300100039401278,0.388526750783154,0.37175133886177,0.387716654046091,0.418232411548717,0.275403067226314,0.0922280316491678,0.0266220423604195,0.0129890098723854,0.00993702623660618,0.00686867751205115
"[15,20)",0.0547851828553269,0.0712514680658912,0.60369374355487,6.30513179971969,0.560702685077662,0.146155291063644,0.134070272715639,0.193228764324486,0.237004400222457,0.24289401211757,0.224598160090448,0.142105421489355,0.0445848488773926,0.00921631427156946,0.00297401841305737,0.00255156065513849,0.00270882696066938
"[20,25)",0.0579825971416289,0.0685501907373161,0.108527121449676,0.468260255997792,2.12514901718806,0.318032161111623,0.0981452663680972,0.0780891590515922,0.107087443764301,0.135368430439879,0.115626196777556,0.0607279519767945,0.0184512361704425,0.00386754079073589,0.000940288103025367,0.000591592617512446,0.000874386610592947
"[25,30)",0.0793291748690308,0.120319833776628,0.0977577628035162,0.100734685635372,0.26545469078522,0.584872442191919,0.168191798230706,0.0512185951961912,0.0402138285918838,0.0596167714470726,0.0682201727678123,0.038696351242446,0.0115514397339434,0.00279028506709415,0.000769636039005805,0.000362636624347365,0.000331570871539091
"[30,35)",0.0847883888244656,0.162974501028388,0.140846724108265,0.0766251090365786,0.0677791370836182,0.139581603286111,0.261945091927926,0.085926289099943,0.0287959305500814,0.0284307793729478,0.0452257505662857,0.0414535061352015,0.0158025516535578,0.00389145191414518,0.00108220702052478,0.000434465964069914,0.00018103169572116
"[35,40)",0.070353764911889,0.13626296332225,0.14942377412885,0.0904958090058438,0.0441911700737694,0.0348032546799116,0.0704544059371699,0.121953669125945,0.0481274765387924,0.025076793997052,0.031536845149953,0.0411668330174143,0.0238729705182336,0.00639794271106273,0.00141150938861558,0.000458054788985209,0.000143176727437682
"[40,45)",0.0545777720323543,0.100665805278367,0.115013209926183,0.089291374257626,0.0487505718510125,0.0219818392224548,0.0189821588165211,0.038735331006501,0.062040508339135,0.0375324881839977,0.0261647729242908,0.0246805113109603,0.0170851948354445,0.00605568247888458,0.00138350299924013,0.000413682003115731,0.000156381507755307
"[45,50)",0.0406194185318385,0.0875513685913651,0.0958627032499822,0.0731324190006161,0.0492491328688001,0.0260433645393915,0.0149776363754596,0.0161216115368282,0.0300022214735769,0.0463308143645169,0.0312603193370093,0.014440473090868,0.00664385893095935,0.00311037255924812,0.00127416091086699,0.000590302350996657,0.000307833338536033
"[50,55)",0.025817502458372,0.0690207468569157,0.0831845067131125,0.0543987434983816,0.0338397370575195,0.0239734753044148,0.0191659276637053,0.0163096345428662,0.0168207960991564,0.0251511080295011,0.0323080103541949,0.0153509612368845,0.0041862636513048,0.00175443349956174,0.00131922810778152,0.0011838666549279,0.000775486496317302
"[55,60)",0.0125630138070157,0.0340089796900657,0.0435479358747357,0.0273632301859022,0.0141297154641856,0.0108109097012879,0.0139662358919099,0.0169257329476789,0.0126141436273045,0.00923517242064867,0.0122057447991728,0.0153518522640874,0.00671182348727321,0.00204383077044509,0.00118300699214615,0.00126563860923606,0.00114228080778287
"[60,65)",0.0042134027967895,0.0106789268589478,0.0109453442110496,0.00644334962908021,0.00322209195923426,0.00242212204321413,0.00399588521797376,0.00736672011996344,0.00655377061174076,0.00318897908593116,0.00249786119546776,0.00503809997488428,0.00885640183662694,0.00387241041612879,0.000953002997846231,0.000559909288299991,0.000836535882840641
"[65,70)",0.000876031570113324,0.0029297280159694,0.00217283233787531,0.000916009623590464,0.000464478620187811,0.000402371157537437,0.000676730602867793,0.00135777065307894,0.00159754374226488,0.00102674368971263,0.000719941150628592,0.00105494781598528,0.00266348598167322,0.00411995178261441,0.00114032099382018,0.000316394817453613,0.000462665878149406
"[70,75)",0.000132178487701047,0.000852873434463965,0.000703429260734651,0.000196130868188918,7.49292358581356e-05,7.36415973612101e-05,0.000124874577536477,0.000198760178770644,0.000242174997975219,0.000279083040009965,0.000359202639550626,0.000405165905434373,0.000434882734405607,0.000756679502248313,0.000935626116017084,0.000350449725809078,0.000162918705185362
"[75,80)",2.4643336174568e-05,0.000256199177485,0.000331949231348733,0.000103795623585512,2.90793005464661e-05,2.14032791487975e-05,3.09236174850174e-05,3.97863302766796e-05,4.46669887686314e-05,7.97543772642354e-05,0.000198835195055197,0.000267378291399076,0.000157603703596143,0.000129497011492712,0.000216177552811756,8.61382343280694e-05,1.18545246661419e-05
"[80,Inf)",6.18111705186259e-05,0.000178898660429498,0.000167860664818971,8.0614838892704e-05,3.14430951865124e-05,1.43167883490882e-05,9.42648398138726e-06,9.09807407591482e-06,1.23528175014179e-05,3.04267978619588e-05,9.52851654927927e-05,0.000176542751240694,0.000172263752305946,0.000138534658195564,7.35194719700337e-05,8.67252957635387e-06,8.35354964295089e-09
