"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00300914362158063,0.00478993270031612,0.00358446917257717,0.00371401163349722,0.0074651214012218,0.0163463540075174,0.0269885563078269,0.0326531735321672,0.0336584284990835,0.0317153139109113,0.0244637286763673,0.0135488407569699,0.00559661128605939,0.00215734377181001,0.000956483580268137,0.000517524336272016,0.000383731731644135
"[5,10)",0.00502651635360439,0.0115199582443905,0.00883917099130071,0.007144589588133,0.0150345813639332,0.0285611679435598,0.0386231213728822,0.0409931055132456,0.040940820837413,0.0401791008520354,0.0343939673043642,0.0225610295329811,0.0114297523745659,0.00525428134215281,0.00260083947409006,0.00153295871417127,0.00117783119912876
"[10,15)",0.00384736966926515,0.00904092599187278,0.0270118437063984,0.0229690380672601,0.0313621673968656,0.0431824941346509,0.04773394460268,0.0462023892556736,0.0454873042042942,0.0457022181295552,0.0407617606660899,0.0288461774949637,0.016798801650361,0.00927237978914458,0.00532279377947702,0.00337298507295688,0.0026207207725256
"[15,20)",0.00394973775024874,0.00724043400004032,0.0227577195607771,0.0972863864786599,0.124031408900379,0.123149389417201,0.117878525520648,0.108364793706471,0.105294815581345,0.105648793612652,0.0936859751414165,0.0655001641833443,0.038759669541111,0.0230393122311954,0.0150593217350148,0.0105030699318993,0.00810079489887717
"[20,25)",0.00781364408193626,0.0149958263064674,0.0305832582068588,0.12207407044016,0.347776550709058,0.348836543321727,0.304707745308438,0.269576347615046,0.253455594600752,0.246450055980164,0.21228490729198,0.143902965664516,0.0831222671518982,0.0497027755439589,0.0350467785410611,0.0274120178168668,0.0227980668881626
"[25,30)",0.017108733532705,0.0284862470743175,0.042108097289016,0.121200447691166,0.348820649572682,0.564135467483,0.517502669524024,0.441641146510674,0.397732919422258,0.370560443742741,0.30901901012661,0.204997920233052,0.116458622862143,0.0687064515369766,0.0493871019223368,0.0418699164240771,0.0414131036239951
"[30,35)",0.0288788241327878,0.0393830668780037,0.0475869762503038,0.118606788345796,0.31150612898307,0.529072860796751,0.635963026835267,0.558446757285922,0.480257841042457,0.429507486517993,0.348608638492196,0.22836276375032,0.128938228917346,0.0751354311566502,0.0533131135141557,0.046364169814687,0.0570229157202454
"[35,40)",0.0359199423118694,0.0429717822347124,0.047351702856938,0.112091696348249,0.283318718699573,0.464176127085021,0.574106091911362,0.640513585554455,0.566347387332605,0.492557076640385,0.393040478453855,0.254651268683985,0.142218096656821,0.0814905931481576,0.0566253217999353,0.0491435877312338,0.0753409599542745
"[40,45)",0.0382537266144895,0.0443403148033199,0.0481649425660928,0.112528337324128,0.275210529993755,0.431891334645029,0.510099063915095,0.585130291976642,0.638987247480126,0.575406897705925,0.454020222821403,0.288901963218211,0.157047971989253,0.0874412659287542,0.0598165378749166,0.0525987097753898,0.10070859320263
"[45,50)",0.0368799082373173,0.0445228895895133,0.0495129758279831,0.115520845455715,0.273799713012033,0.411701939628555,0.46675792800229,0.520675504317399,0.588729728420415,0.636020508545949,0.519360410521822,0.320580090286878,0.167444455732233,0.0902757418424101,0.0617055624243238,0.0566203955428744,0.128342524688344
"[50,55)",0.0285271897355628,0.0382191412817366,0.0442843430827573,0.102727310901181,0.236504118323996,0.344290131112504,0.379904669434754,0.416642323861697,0.465834470466295,0.520816054494834,0.523463069234866,0.331745436632413,0.166922298082644,0.0884594131805206,0.0614499298786226,0.0588089305304227,0.130221379758703
"[55,60)",0.0148670138504606,0.0235908089391956,0.0294897310564784,0.0675832379329171,0.150860173156138,0.214918648277867,0.23417851387994,0.254013745091134,0.278928046957218,0.302508329242223,0.312169325446846,0.247846982848935,0.130705094162722,0.0697641802128622,0.0490220115849968,0.0459937998251089,0.0766106048352652
"[60,65)",0.005303871635985,0.0103220746120267,0.0148322520111442,0.0345400470964925,0.0752607411488416,0.1054490202189,0.114195688932311,0.122521551795572,0.130954455356538,0.136463911520934,0.135658145801785,0.112885657674299,0.0803237224329246,0.0475907652512376,0.0318974753701467,0.0258164907676053,0.0258979063007098
"[65,70)",0.00166247279832626,0.00385843179727152,0.00665713458807663,0.0166947416240351,0.0365930900479018,0.0505866301674223,0.0541103226153543,0.0570863712499538,0.0592886708743281,0.0598253766060835,0.0584578592889099,0.0489943590388731,0.0386981336499483,0.0386534685322022,0.0263186670964957,0.0156362388684189,0.00847812858506908
"[70,75)",0.000581152178235774,0.00150587252868113,0.00301309569109426,0.00860384864236136,0.0203443446806571,0.0286700817224148,0.030272378502507,0.0312761148961791,0.0319781775183144,0.0322415452772367,0.0320182361437831,0.0271445015761251,0.0204503526223212,0.0207510964467486,0.0197839118516467,0.00847209220978177,0.00267191770599206
"[75,80)",0.000244829166925188,0.0006910749451749,0.00148664655835237,0.00467222376190674,0.0123895813939652,0.0189250706549732,0.0204981663464092,0.0211343552182191,0.021894123032196,0.0230348007109393,0.0238582903826442,0.0198294222556627,0.0128872936743911,0.00959907713077333,0.0065964564686622,0.00112432255755312,0.000175644269424898
"[80,Inf)",0.000214723786195524,0.000628055189708325,0.00136626243206992,0.00426240859032203,0.0121880356653044,0.0221407974962275,0.0298196135320991,0.0383242229701488,0.0495837144177862,0.0617592770738381,0.0624882548901878,0.039067869325356,0.0152914700117496,0.00615626419529793,0.00246072550069422,0.000207756227299858,2.8766129426602e-07
