"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,80)","[80,Inf)"
"[0,5)",0.00433523508909774,0.00695124134157138,0.00520193877994838,0.00541136463464443,0.0108684045185735,0.0236704229678922,0.0390281243244836,0.0473727078445691,0.0489207285785843,0.0462034144315663,0.0358123680304773,0.0198718345412607,0.00818607813708768,0.00314142208789191,0.00139309190897045,0.000754406720401763,0.000555096114589242
"[5,10)",0.00707938222816137,0.0162289616091928,0.0124367881474931,0.0101414683476862,0.0212917059928483,0.0402862954067311,0.0544761650117335,0.0579497264489244,0.0578650782123432,0.0568717045805843,0.0488691267770992,0.0321281542422425,0.0162506719965317,0.00744593832569685,0.00368702931775637,0.00217454493233569,0.00165697503767247
"[10,15)",0.00541505200814269,0.0127119635121014,0.0381725653116393,0.0326342266494526,0.0444494665342474,0.0610351749472423,0.0674777681479371,0.0653729887015312,0.064273648723007,0.0646507471662774,0.0578706532754996,0.0410400089208877,0.0238729441047861,0.0131509128331348,0.00755716402145341,0.00479405745701984,0.00368711601845029
"[15,20)",0.00587166976449605,0.0108049476799677,0.0340165882394079,0.146907942323481,0.18602816815089,0.184358680241012,0.176477763016013,0.162255371238781,0.157348225666214,0.158010318735435,0.140623290477012,0.0984824963402016,0.0581700357027782,0.0344946299044907,0.022567773768244,0.0157659893215447,0.0120327189160856
"[20,25)",0.0123621457780068,0.0237796540797731,0.0485687832997736,0.195007786573712,0.552290129301834,0.55418555373208,0.484488513998748,0.428709651781055,0.402337520805307,0.391475295770417,0.33843244592213,0.229797044558548,0.132472593466749,0.0789867307298563,0.0556976661285202,0.0436057838100207,0.0359417020222328
"[25,30)",0.0270839769257876,0.0452616889283559,0.0670886750766991,0.194408470869595,0.557485467922641,0.897781544104073,0.824792083276673,0.704387648036559,0.633521260860833,0.590688547119734,0.494373454053906,0.328475446185203,0.186243726520428,0.109558448226066,0.0787144989818209,0.0666936042941726,0.0654170496961873
"[30,35)",0.0410803066650521,0.0563027399008922,0.0682306190468538,0.171195034729377,0.448344056003129,0.758741893807168,0.911078283285787,0.801115227795431,0.688371523948046,0.616136853530758,0.501827407849565,0.329189849886884,0.185510417309534,0.107800923982983,0.0764695716743475,0.0664238703659707,0.0811773249974188
"[35,40)",0.0417806650337041,0.050184030058247,0.0553870307518254,0.131883783611014,0.332416317016319,0.542940768807941,0.671252827978675,0.748733317230754,0.661383062133605,0.575488564604381,0.460705190564487,0.298906722847837,0.166655184218548,0.0952506229301746,0.0661770037353226,0.0573461769493782,0.0880330374393815
"[40,45)",0.0346864909117001,0.0402857079714529,0.0437787149565487,0.102819260735374,0.250801378451278,0.392574627725188,0.463697067319153,0.53170822671864,0.580833641755776,0.523132921598619,0.414129236048591,0.263963090970588,0.143299703632261,0.0795954711431631,0.0544284363147423,0.0477413431750165,0.0927021923254919
"[45,50)",0.026326903022,0.0318191778237961,0.0353884756284493,0.0829767324713032,0.196111019411879,0.294156084660356,0.333539206938448,0.371805031209389,0.420407354050798,0.454362266576374,0.37228367395199,0.23024845094464,0.120094864056088,0.0645666725379708,0.0440882581204085,0.0403130140502877,0.0935516768642582
"[50,55)",0.0160462587753798,0.0215001919633103,0.0249093125755433,0.0580688447131163,0.133316738134965,0.193592923759671,0.213618633552118,0.234054351300073,0.261703297051161,0.292744700183907,0.295185486250583,0.187354567945475,0.0940867767118414,0.0496865526659615,0.0344661330473894,0.032877375435952,0.0743781151514929
"[55,60)",0.00687784083103444,0.0109185996111972,0.0136453352358909,0.0314136488146315,0.0699246870274449,0.0993597872956947,0.108244190588279,0.11730126700276,0.1288516291341,0.139857310725874,0.144723045142611,0.115345302593961,0.0606298695480507,0.0322363751366957,0.0226311481559577,0.0212066777611203,0.035649474695396
"[60,65)",0.00213298573914366,0.00415767364500794,0.00597558807642779,0.0139687187606696,0.0303465998833188,0.0424118583436241,0.045922378236916,0.0492361125213391,0.0526610978006095,0.0549175050216928,0.0547141811212484,0.0456440887691556,0.0324057736693119,0.0191191205270219,0.0128192893654885,0.0103904617519266,0.0103845931284868
"[65,70)",0.000615275171287952,0.00143195555148756,0.00247435267617347,0.00622643937445996,0.0136009476624229,0.01875350949147,0.0200590140742473,0.0211526012725796,0.0219869001852976,0.0221935001207905,0.0217190692440918,0.018242112908326,0.0143713955189057,0.0143217667120489,0.00976519285272621,0.00582412376674848,0.00312225371249151
"[70,75)",0.000202025774970351,0.000525013666224135,0.00105280627436823,0.00301620536569107,0.00710126864879871,0.00997643392078242,0.0105356096631212,0.0108814550624612,0.0111323132709507,0.0112208110597591,0.0111552374449174,0.00948242553091045,0.00713475223620021,0.0072304402089841,0.00693566757748516,0.00299353502194926,0.000932117903949658
"[75,80)",7.60289993451964e-05,0.000215183574637601,0.000464129919489153,0.00146433394927106,0.00386357864615662,0.00587423745095911,0.00635977726992965,0.00655286254134268,0.006785797721682,0.00713006178762566,0.00739486268924932,0.00617493235993383,0.00401880105834185,0.002996823906431,0.00208032437603458,0.000363905022728293,5.64481996457199e-05
"[80,Inf)",5.80229961048339e-05,0.000170064996582534,0.000370238323743329,0.00115915339578433,0.00330295408146411,0.00597608133854375,0.00806140428595993,0.0104335117910043,0.0136664122777408,0.0171616024325757,0.0173514741964286,0.0107664106166343,0.00416590519492665,0.00166631481924687,0.000671855383371983,5.85474968769272e-05,8.05316727271385e-08
